Index,variable,value
Canada-2015,Entity,Canada
Canada-2010,Entity,Canada
Canada-2019,Entity,Canada
Canada-2020,Entity,Canada
Canada-2012,Entity,Canada
Canada-2011,Entity,Canada
Canada-2018,Entity,Canada
Canada-2014,Entity,Canada
Canada-2017,Entity,Canada
Canada-2013,Entity,Canada
Canada-2016,Entity,Canada
Canada-2015,Year,2015
Canada-2010,Year,2010
Canada-2019,Year,2019
Canada-2020,Year,2020
Canada-2012,Year,2012
Canada-2011,Year,2011
Canada-2018,Year,2018
Canada-2014,Year,2014
Canada-2017,Year,2017
Canada-2013,Year,2013
Canada-2016,Year,2016
Canada-2015,Electricity from hydro (TWh),378.372
Canada-2010,Electricity from hydro (TWh),347.871
Canada-2019,Electricity from hydro (TWh),377.97903
Canada-2020,Electricity from hydro (TWh),382.35348
Canada-2012,Electricity from hydro (TWh),376.465
Canada-2011,Electricity from hydro (TWh),371.967
Canada-2018,Electricity from hydro (TWh),382.02
Canada-2014,Electricity from hydro (TWh),378.676
Canada-2017,Electricity from hydro (TWh),390.641
Canada-2013,Electricity from hydro (TWh),387.871
Canada-2016,Electricity from hydro (TWh),381.578
Canada-2015,Electricity from solar (TWh),2.866
Canada-2010,Electricity from solar (TWh),0.253
Canada-2019,Electricity from solar (TWh),4.272
Canada-2020,Electricity from solar (TWh),4.38661
Canada-2012,Electricity from solar (TWh),0.872
Canada-2011,Electricity from solar (TWh),0.566
Canada-2018,Electricity from solar (TWh),3.759
Canada-2014,Electricity from solar (TWh),2.099
Canada-2017,Electricity from solar (TWh),3.538
Canada-2013,Electricity from solar (TWh),1.484
Canada-2016,Electricity from solar (TWh),3.992
Canada-2015,Electricity from wind (TWh),26.697
Canada-2010,Electricity from wind (TWh),8.637
Canada-2019,Electricity from wind (TWh),30.532133
Canada-2020,Electricity from wind (TWh),33.60374
Canada-2012,Electricity from wind (TWh),11.198
Canada-2011,Electricity from wind (TWh),10.086
Canada-2018,Electricity from wind (TWh),32.854
Canada-2014,Electricity from wind (TWh),22.315
Canada-2017,Electricity from wind (TWh),31.198
Canada-2013,Electricity from wind (TWh),17.913
Canada-2016,Electricity from wind (TWh),30.623
Canada-2015,Electricity from other renewables (TWh),9.404
Canada-2010,Electricity from other renewables (TWh),12.166
Canada-2019,Electricity from other renewables (TWh),11.037
Canada-2020,Electricity from other renewables (TWh),10.1764481358619
Canada-2012,Electricity from other renewables (TWh),12.571
Canada-2011,Electricity from other renewables (TWh),11.814
Canada-2018,Electricity from other renewables (TWh),10.982
Canada-2014,Electricity from other renewables (TWh),11.12
Canada-2017,Electricity from other renewables (TWh),11.719
Canada-2013,Electricity from other renewables (TWh),12.437
Canada-2016,Electricity from other renewables (TWh),9.961
