Index,Entity,Year,Electricity from hydro (TWh),Electricity from solar (TWh),Electricity from wind (TWh),Electricity from other renewables (TWh)
"Brazil-2010","Brazil",2010,399.256,0.001,2.177,31.495
"Brazil-2011","Brazil",2011,424.05,0.002,2.705,32.434
"Brazil-2012","Brazil",2012,411.189,0.007,5.05,35.645
"Brazil-2013","Brazil",2013,387.082,0.005,6.58,40.762
"Brazil-2014","Brazil",2014,369.705,0.016,12.21,46.688
"Brazil-2015","Brazil",2015,356.146,0.059,21.63,49.446
"Brazil-2016","Brazil",2016,377.102,0.085,33.49,50.936
"Brazil-2017","Brazil",2017,367.197,0.832,42.37,52.539
"Brazil-2018","Brazil",2018,385.081,3.461,48.475,53.911
"Brazil-2019","Brazil",2019,393.898,6.655,55.986,54.514
"Brazil-2020","Brazil",2020,391.1986524,7.5933075128,56.677753077,54.7415685907
