Date,amount
2021-01-01 00:00:00.000,10000
2021-01-02 00:00:00.000,10000
2021-02-01 00:00:00.000,10000
2021-02-02 00:00:00.000,10000
2021-03-01 00:00:00.000,10000
2021-03-02 00:00:00.000,10000
2021-04-01 00:00:00.000,10000
2021-04-02 00:00:00.000,10000
2021-05-01 00:00:00.000,10000
2021-05-02 00:00:00.000,10000
2021-06-01 00:00:00.000,10000
2021-06-02 00:00:00.000,10000
2021-07-01 00:00:00.000,10000
2021-07-02 00:00:00.000,10000
2021-08-01 00:00:00.000,10000
2021-08-02 00:00:00.000,10000
2021-09-01 00:00:00.000,10000
2021-09-02 00:00:00.000,10000
2021-10-01 00:00:00.000,10000
2021-10-02 00:00:00.000,10000
2021-11-01 00:00:00.000,10000
2021-11-02 00:00:00.000,10000
2021-12-01 00:00:00.000,10000
2021-12-02 00:00:00.000,10000
