Closing period - Date,SLA eligible,SLA missed,Number of requests,HR User Role ID,Country ID
2020-09-25 00:00:00.000,SLA eligible,SLA processed on time,3,,GB
2020-09-24 00:00:00.000,SLA eligible,SLA processed on time,3,,PL
2020-09-28 00:00:00.000,SLA eligible,SLA processed on time,7,,ES
2020-09-28 00:00:00.000,SLA eligible,SLA processed on time,2,,DK
2020-09-03 00:00:00.000,SLA eligible,SLA overdue,1,,US
2020-09-08 00:00:00.000,SLA eligible,SLA processed on time,3,,GB
2020-09-08 00:00:00.000,SLA eligible,SLA processed on time,3,,GB
2020-09-24 00:00:00.000,SLA eligible,SLA processed on time,2,,NZ
2020-09-22 00:00:00.000,SLA eligible,SLA overdue,1,,VI
2020-09-29 00:00:00.000,SLA eligible,SLA processed on time,1,,DE
2020-09-18 00:00:00.000,SLA eligible,SLA processed on time,5,,CA
2020-09-01 00:00:00.000,SLA eligible,SLA overdue,1,,GB
2020-09-11 00:00:00.000,SLA eligible,SLA processed on time,9,,US
2020-09-23 00:00:00.000,SLA eligible,SLA overdue,2,,US
2020-09-04 00:00:00.000,SLA eligible,SLA processed on time,1,,GB
2020-09-24 00:00:00.000,SLA eligible,SLA processed on time,7,,CA
2020-09-25 00:00:00.000,SLA eligible,SLA processed on time,21,,ES
2020-09-14 00:00:00.000,SLA eligible,SLA processed on time,9,,US
2020-09-28 00:00:00.000,SLA eligible,SLA overdue,1,,GB
2020-09-28 00:00:00.000,SLA eligible,SLA processed on time,1,,NL
2020-09-03 00:00:00.000,SLA eligible,SLA processed on time,24,,US
2020-09-03 00:00:00.000,SLA eligible,SLA processed on time,50,,US
2020-09-11 00:00:00.000,SLA eligible,SLA processed on time,1,,VI
2020-09-08 00:00:00.000,SLA eligible,SLA processed on time,1,,NZ
2020-09-02 00:00:00.000,SLA eligible,SLA processed on time,2,,AU
2020-10-08 00:00:00.000,SLA eligible,SLA overdue,1,,IT
2020-10-09 00:00:00.000,Not eligible to SLA,SLA processed on time,1,,CA
2020-10-07 00:00:00.000,SLA eligible,SLA overdue,1,,NO
2020-09-30 00:00:00.000,Not eligible to SLA,SLA processed on time,1,,GB
2020-09-15 00:00:00.000,SLA eligible,SLA overdue,6,,US
2020-10-06 00:00:00.000,Not eligible to SLA,SLA processed on time,9,,US
2020-09-03 00:00:00.000,SLA eligible,SLA processed on time,5,,GB
2020-09-28 00:00:00.000,SLA eligible,SLA processed on time,1,,AT
2020-09-04 00:00:00.000,SLA eligible,SLA processed on time,1,,IT
