Column1,ToyotaTundra2015,ToyotaTundra2016,ToyotaTundra2017,ToyotaTundra2018,ToyotaTundra2019
"January",8.197,7.232,6.628,7.644,7.159
"February",9.052,8.301,7.234,7.977,7.59
"March",11.508,10.002,9.358,10.697,
"April",10.681,10.259,9.912,9.457,
"May",11.65,9.739,10.677,10.062,
"June",9.926,9.433,9.843,9.955,
"July",10.511,10.474,10.546,9.478,
"August",10.057,9.875,10.32,11.058,
"September",8.044,9.507,11.159,11.454,
"October",9.514,9.533,10.022,9.571,
"November",8.59,9.578,9.7,9.689,
"December",11.15,11.556,10.886,11.216,
