Year,Name,Rank,Sales
2008,Daniel,8,18400
2004,James,4,19200
2011,Daniel,14,17500
2014,Daniel,24,16200
2000,Daniel,5,19500
2005,Jack,1,19400
2007,Thomas,2,19100
2013,Daniel,22,16500
2002,Daniel,5,19300
2008,Thomas,3,18900
2016,Jack,4,18000
2007,Daniel,6,18700
2011,Jack,3,18600
2017,Jack,5,17800
2002,James,4,19400
2000,Thomas,2,19800
2003,Joshua,2,19500
2005,Joshua,2,19300
2009,Thomas,6,18500
2012,James,10,17800
2014,Joshua,13,17300
2013,Thomas,6,18100
2015,Jack,2,18300
2006,Daniel,8,18600
2006,Joshua,3,19100
2002,Jack,1,19700
2013,Jack,2,18500
2013,James,9,17800
2006,Jack,1,19300
2015,Daniel,24,16100
2001,Thomas,2,19700
2013,Joshua,12,17500
2001,Daniel,5,19400
2008,James,9,18300
2009,James,9,18200
2003,Jack,1,19600
2009,Daniel,10,18100
2006,Thomas,2,19200
2001,James,4,19500
2015,Joshua,16,16900
2005,James,4,19100
2003,Thomas,3,19400
2016,Thomas,9,17500
2005,Daniel,6,18900
2010,Joshua,8,18200
2002,Joshua,2,19600
2004,Thomas,3,19300
2000,Joshua,4,19600
2003,James,4,19300
2007,Joshua,4,18900
2001,Joshua,3,19600
2017,James,17,16600
2001,Jack,1,19800
2012,Thomas,6,18200
2007,Jack,1,19200
2016,Daniel,28,15600
2017,Thomas,13,17000
2010,Thomas,6,18400
2008,Joshua,5,18700
2010,Daniel,11,17900
2009,Jack,2,18900
2012,Jack,3,18500
2017,Joshua,15,16800
2003,Daniel,5,19200
2014,James,9,17700
2008,Jack,1,19100
2011,Joshua,9,18000
2009,Joshua,5,18600
2015,Thomas,9,17600
2011,James,8,18100
2006,James,6,18800
2017,Daniel,32,15100
2011,Thomas,6,18300
2012,Joshua,11,17700
2015,James,11,17400
2007,James,9,18400
2005,Thomas,3,19200
2000,Jack,1,19900
2010,James,10,18000
2004,Jack,1,19500
2000,James,3,19700
2004,Joshua,2,19400
2016,Joshua,16,16800
2014,Thomas,6,18000
2016,James,12,17200
2004,Daniel,5,19100
2012,Daniel,16,17200
2014,Jack,2,18400
2002,Thomas,3,19500
2010,Jack,2,18800
