Pedido,Data.Pedido,Prazo.Entrega,Data.Entrega,Cod.Vendedor,Cod.Unidade,Cod.Cliente,Ocorrência,Vl.Frete,Status,OCT,On Time,In full
68483,2019-05-07 00:00:00.000,2019-05-10 00:00:00.000,2019-05-10 00:00:00.000,10595236,104,287029,"Nenhuma",0,"Entregue",3,"Sim","Sim"
68625,2019-05-08 00:00:00.000,2019-05-16 00:00:00.000,2019-05-16 00:00:00.000,10595236,104,286610,"Nenhuma",0,"Entregue",8,"Sim","Sim"
68629,2019-05-08 00:00:00.000,2019-05-17 00:00:00.000,2019-05-15 00:00:00.000,10595236,104,286607,"Nenhuma",0,"Entregue",7,"Sim","Sim"
69259,2019-05-13 00:00:00.000,2019-05-29 00:00:00.000,2019-05-29 00:00:00.000,10595236,104,124638,"Nenhuma",0,"Entregue",16,"Sim","Sim"
69261,2019-05-13 00:00:00.000,2019-05-20 00:00:00.000,2019-05-20 00:00:00.000,10595236,104,57910,"Nenhuma",0,"Entregue",7,"Sim","Sim"
69265,2019-05-13 00:00:00.000,2019-05-23 00:00:00.000,2019-05-23 00:00:00.000,10595236,104,12754,"Nenhuma",0,"Entregue",10,"Sim","Sim"
69275,2019-05-13 00:00:00.000,2019-06-11 00:00:00.000,2019-06-03 00:00:00.000,10595236,104,286636,"Nenhuma",0,"Entregue",21,"Sim","Sim"
69276,2019-05-13 00:00:00.000,2019-05-15 00:00:00.000,2019-05-16 00:00:00.000,10595236,104,49427,"Nenhuma",0,"Entregue",3,"Não","Sim"
69282,2019-05-13 00:00:00.000,2019-05-22 00:00:00.000,2019-05-22 00:00:00.000,10595236,104,286854,"Nenhuma",0,"Entregue",9,"Sim","Sim"
69359,2019-05-14 00:00:00.000,2019-05-20 00:00:00.000,2019-05-20 00:00:00.000,10595236,104,286926,"Nenhuma",0,"Entregue",6,"Sim","Sim"
69379,2019-05-14 00:00:00.000,2019-05-21 00:00:00.000,2019-05-21 00:00:00.000,10595236,104,286532,"Nenhuma",0,"Entregue",7,"Sim","Sim"
69494,2019-05-15 00:00:00.000,2019-05-23 00:00:00.000,2019-05-22 00:00:00.000,10595236,104,286529,"Nenhuma",0,"Entregue",7,"Sim","Sim"
69495,2019-05-15 00:00:00.000,2019-05-23 00:00:00.000,2019-05-21 00:00:00.000,10595236,104,55942,"Nenhuma",0,"Entregue",6,"Sim","Sim"
69497,2019-05-15 00:00:00.000,2019-06-12 00:00:00.000,2019-06-07 00:00:00.000,10595236,104,286686,"Nenhuma",0,"Entregue",23,"Sim","Sim"
69800,2019-05-17 00:00:00.000,2019-05-24 00:00:00.000,2019-05-24 00:00:00.000,10595236,104,13350,"Nenhuma",0,"Entregue",7,"Sim","Sim"
70161,2019-05-20 00:00:00.000,2019-05-24 00:00:00.000,2019-05-24 00:00:00.000,10595236,104,13350,"Nenhuma",0,"Entregue",4,"Sim","Sim"
70173,2019-05-20 00:00:00.000,2019-05-28 00:00:00.000,2019-05-28 00:00:00.000,10595236,104,287015,"Nenhuma",0,"Entregue",8,"Sim","Sim"
70180,2019-05-20 00:00:00.000,2019-05-30 00:00:00.000,2019-05-30 00:00:00.000,10595236,104,286853,"Nenhuma",0,"Entregue",10,"Sim","Sim"
70236,2019-05-21 00:00:00.000,2019-05-30 00:00:00.000,2019-05-28 00:00:00.000,10595236,104,287037,"Nenhuma",0,"Entregue",7,"Sim","Sim"
70237,2019-05-21 00:00:00.000,2019-05-27 00:00:00.000,2019-05-27 00:00:00.000,10595236,104,286552,"Nenhuma",0,"Entregue",6,"Sim","Sim"
70238,2019-05-21 00:00:00.000,2019-05-30 00:00:00.000,2019-05-29 00:00:00.000,10595236,104,58047,"Nenhuma",0,"Entregue",8,"Sim","Sim"
70437,2019-05-22 00:00:00.000,2019-05-27 00:00:00.000,2019-05-30 00:00:00.000,10595236,104,286803,"Nenhuma",0,"Entregue",8,"Não","Sim"
