_nadb_projecttype_risk_value,modifiedon,nadb_factortype,nadb_customertype_risk,statecode,_owningbusinessunit_value,importsequencenumber,createdon,nadb_riskratingindicatorid,timezoneruleversionnumber,versionnumber,nadb_numberid,statuscode,_nadb_indicatormethodology_value,nadb_domain,_ownerid_value,_createdby_value,_modifiedby_value,_owninguser_value,utcconversiontimezonecode,_owningteam_value,overriddencreatedon,_createdonbehalfby_value,nadb_indicatorname,_modifiedonbehalfby_value
"",2020-02-21 15:49:19.000,,,0,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",103,2020-02-21 15:49:19.000,"bb9930ab-c154-ea11-a813-000d3a4ed0f6",,12005493,"Project complexity and sacle",1,"04c0009c-c154-ea11-a813-000d3a4e6589",,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"",,"","6.1",""
"",2020-02-21 15:49:19.000,,,0,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",103,2020-02-21 15:49:19.000,"bd9930ab-c154-ea11-a813-000d3a4ed0f6",,12005494,"Exposure to elements of demand or price risk",1,"04c0009c-c154-ea11-a813-000d3a4e6589",,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"",,"","6.10",""
"",2020-02-21 15:49:19.000,,,0,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",103,2020-02-21 15:49:19.000,"bf9930ab-c154-ea11-a813-000d3a4ed0f6",,12005495,"Grantor's rating (payment obligation)",1,"04c0009c-c154-ea11-a813-000d3a4e6589",,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"",,"","6.11",""
"",2020-02-21 15:49:19.000,,,0,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",103,2020-02-21 15:49:19.000,"c19930ab-c154-ea11-a813-000d3a4ed0f6",,12005496,"Amortization",1,"04c0009c-c154-ea11-a813-000d3a4e6589",,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"",,"","6.12",""
"",2020-02-21 15:49:19.000,,,0,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",103,2020-02-21 15:49:19.000,"c39930ab-c154-ea11-a813-000d3a4ed0f6",,12005497,"Reserving provisions",1,"04c0009c-c154-ea11-a813-000d3a4e6589",,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"",,"","6.13",""
"",2020-02-21 15:49:19.000,,,0,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",103,2020-02-21 15:49:19.000,"c59930ab-c154-ea11-a813-000d3a4ed0f6",,12005498,"Interest rate risk",1,"04c0009c-c154-ea11-a813-000d3a4e6589",,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"",,"","6.14",""
"",2020-02-21 15:49:19.000,,,0,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",103,2020-02-21 15:49:19.000,"c79930ab-c154-ea11-a813-000d3a4ed0f6",,12005499,"Guaranty Type",1,"04c0009c-c154-ea11-a813-000d3a4e6589",,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"",,"","6.15",""
"",2020-02-21 15:49:19.000,,,0,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",103,2020-02-21 15:49:19.000,"c99930ab-c154-ea11-a813-000d3a4ed0f6",,12005500,"Debt Service Reserve Fund",1,"04c0009c-c154-ea11-a813-000d3a4e6589",,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"",,"","6.16",""
"",2020-02-21 15:49:19.000,,,0,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",103,2020-02-21 15:49:19.000,"cb9930ab-c154-ea11-a813-000d3a4ed0f6",,12005501,"DSCR",1,"04c0009c-c154-ea11-a813-000d3a4e6589",,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"",,"","6.17",""
"",2020-02-21 15:49:19.000,,,0,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",103,2020-02-21 15:49:19.000,"cd9930ab-c154-ea11-a813-000d3a4ed0f6",,12005502,"Full Compliance with Contractual Conditions and Covenants",1,"04c0009c-c154-ea11-a813-000d3a4e6589",,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"",,"","6.18",""
