DistributorLicenseID,Name,Website,CentreID
3000,"GlaxoSmithKline","https://www.gsk.com/","C0001"
3001,"Sanofi","https://www.sanofi.com/","C0002"
3002,"McKesson","https://www.mckesson.com/","C0003"
3003,"Novavax","https://www.novavax.com/","C0004"
3004,"EmergentBioSolutions","https://www.emergentbiosolutions.com/","C0005"
3005,"Catalent","https://www.catalent.com/","C0006"
3006,"Pfizer","https://www.pfizer.com/","C0007"
3007,"AstraZeneca","https://www.astrazeneca.com/","C0008"
3008,"Modernatx","https://www.modernatx.com/","C0009"
3009,"Biontech","https://biontech.de/","C0010"
