date,Karşılaştırma - 1,Karşılaştırma - 2,Odeme
2020-02-01 00:00:00.000,14,3,B
2019-02-01 00:00:00.000,2,6,C
2019-10-01 00:00:00.000,10,11,B
2019-04-01 00:00:00.000,4,1,B
2019-09-01 00:00:00.000,9,3,C
2019-10-01 00:00:00.000,10,11,C
2020-01-01 00:00:00.000,13,9,A
2019-11-01 00:00:00.000,11,2,B
2020-01-01 00:00:00.000,13,9,A
2019-01-01 00:00:00.000,1,5,A
2019-05-01 00:00:00.000,5,5,B
2019-03-01 00:00:00.000,3,9,A
2019-06-01 00:00:00.000,6,8,B
2020-02-01 00:00:00.000,14,3,A
2019-12-01 00:00:00.000,12,6,A
2019-09-01 00:00:00.000,9,3,B
2019-02-01 00:00:00.000,2,6,A
2019-03-01 00:00:00.000,3,9,A
2019-12-01 00:00:00.000,12,6,C
2019-04-01 00:00:00.000,4,1,A
2019-08-01 00:00:00.000,8,2,A
2020-01-01 00:00:00.000,13,9,B
2019-05-01 00:00:00.000,5,5,B
2020-02-01 00:00:00.000,14,3,A
2019-07-01 00:00:00.000,7,1,A
2019-08-01 00:00:00.000,8,2,C
2019-11-01 00:00:00.000,11,2,A
2019-01-01 00:00:00.000,1,5,C
2019-06-01 00:00:00.000,6,8,B
2019-07-01 00:00:00.000,7,1,B
