Territory_ID,Division_ID,RM_Targets_Name_ID
0,"SSB",""
1,"USB",""
2,"USB",""
3,"USB",""
4,"USB",""
5,"USB",""
6,"USB",""
7,"USB",""
8,"USB",""
9,"USB",""
10,"USB",""
12,"SSB",""
13,"SSB","New England"
15,"SSB","Southeast"
16,"SSB","Southern Central"
18,"SSB",""
21,"SSB","Central Region"
22,"SSB",""
24,"SSB",""
25,"SSB",""
26,"SSB","West Coast"
27,"SSB","North Midwest Region"
53,"SSB","International"
54,"SSB",""
55,"SSB","House Account"
56,"SSB","Latin America"
57,"SSB",""
58,"SSB",""
59,"SSB",""
60,"SSB","New Zealand"
61,"SSB",""
62,"SSB",""
63,"SSB",""
64,"SSB",""
65,"SSB","East Coast"
