Column1,SubaruWRX / STi2015,SubaruWRX / STi2016,SubaruWRX / STi2017,SubaruWRX / STi2018,SubaruWRX / STi2019
"January",2.431,2.336,2.142,1.919,1.751
"February",2.359,2.38,2.498,2.244,
"March",2.471,2.737,3.05,3.028,
"April",2.713,3.096,3.039,2.663,
"May",2.895,2.327,2.801,2.859,
"June",2.166,3.13,2.655,2.325,
"July",3.716,3.288,2.933,2.013,
"August",3.367,3.194,2.528,2.523,
"September",3.033,2.683,2.51,2.383,
"October",3.013,2.579,2.416,2.277,
"November",2.481,2.591,2.362,2.079,
"December",3.089,2.938,2.424,2.417,
