credata_pk,vendor,region,tenancy,environment_type,instance_type,compute_type,recommendation_type,ru_recommendation_metric,safety_factor,saved_doql_query,recommend_burstable,recommend_amd,recommend_arm,ignore_hyperv,os_filter,device_type_filter,tag_filter,service_level,device_data,device_fk,device_name,orig_total_cores,orig_memory,orig_hard_disk,orig_os,orig_nic_out_transfer,orig_nic_in_transfer,orig_nic_speed,orig_disk_throughput,orig_disk_read_throughput,orig_disk_write_throughput,orig_disk_iops,orig_disk_read_iops,orig_disk_write_iops,orig_disk_latency,orig_disk_read_latency,cluster_device_fk,cluster_device_name,recommended_instance,burstable,cpu,total_cores,memory,network,matching_os,monthly_ondemand_cost,monthly_premptible_cost,monthly_1yr_resvd_cost,monthly_1yr_resvd_noupfront_cost,monthly_prorated_3yr_resvd_cost,monthly_1yr_resvd_partupfront_cost,monthly_1yr_resvd_allupfront_cost,monthly_prorated_3yr_resvd_noupfront_cost,monthly_prorated_3yr_resvd_partupfront_cost,monthly_prorated_3yr_resvd_allupfront_cost,yearly_ondemand_cost,yearly_premptible_cost,yearly_1yr_resvd_cost,yearly_1yr_resvd_noupfront_cost,yearly_1yr_resvd_partupfront_cost,yearly_1yr_resvd_allupfront_cost,yearly_prorated_3yr_resvd_cost,yearly_prorated_3yr_resvd_noupfront_cost,yearly_prorated_3yr_resvd_partupfront_cost,yearly_prorated_3yr_resvd_allupfront_cost,storage,block_volume_storage,monthly_storage_cost,yearly_storage_cost,monthly_networking_cost,yearly_networking_cost,local_disk,row_color,missing_ru_data,status,first_added,last_updated
3155243,AWS,US East (N. Virginia),Shared,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'Ubuntu', 'ram_size_type': None, 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': '', 'total_cores': '', 'hard_disk_size': None, 'os_arch': '', 'hard_disk_size_type': None, 'cpucount': None, 'os_fk': 21, 'service_level_id': 1, 'cpucore': None, 'virtual_host': False, 'id': 14625}",14625.0,8baaa1659359,,,,Ubuntu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,ACTIVE,2021-11-12 06:33:23.063,2021-11-12 06:33:23.063
3157288,GCP,us-east4,,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'Ubuntu', 'ram_size_type': None, 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': '', 'total_cores': '', 'hard_disk_size': None, 'os_arch': '', 'hard_disk_size_type': None, 'cpucount': None, 'os_fk': 21, 'service_level_id': 1, 'cpucore': None, 'virtual_host': False, 'id': 14306}",14306.0,73557e4a1de1,,,,Ubuntu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,ACTIVE,2021-11-12 06:33:25.406,2021-11-12 06:33:25.406
3154571,AWS,US East (N. Virginia),Shared,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'Ubuntu Linux (64-bit)', 'ram_size_type': u'GB', 'type_id': 3, 'monitoring_enabled': True, 'total_part_disk_size': None, 'ram': 8192.0, 'total_cores': 2, 'hard_disk_size': Decimal('16.00'), 'os_arch': '', 'hard_disk_size_type': u'GB', 'cpucount': 2, 'os_fk': 246, 'service_level_id': 1, 'cpucore': 1, 'virtual_host': False, 'id': 13334}",13334.0,elk-dev2,2.0,8.0,16.00,Ubuntu Linux (64-bit),,,,,,,,,,,,,,t3a.large,Yes,AMD EPYC 7571,2.0,8.0,,Linux,54.9,,,34.38,,32.77,32.08,23.72,21.92,20.64,658.75,,,412.6,393.22,385.0,,284.7,263.07,247.67,General Purpose: 16 GB,,1.28,15.36,,,,normal,"ru_total_cores, ru_ram, disk_iops_read, disk_iops_write, disk_read_io_rate, disk_write_io_rate, disk_used, nic_in_speed, nic_out_speed, nic_out_transfer",ACTIVE,2021-11-12 06:33:22.323,2021-11-12 06:33:22.323
3158998,Azure,East US,,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': 2400.0, 'os_name': u'Red Hat Enterprise Linux Server', 'ram_size_type': u'GB', 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': 4096.0, 'total_cores': 2, 'hard_disk_size': None, 'os_arch': u'64', 'hard_disk_size_type': None, 'cpucount': 1, 'os_fk': 62, 'service_level_id': 1, 'cpucore': 2, 'virtual_host': False, 'id': 13274}",13274.0,ip-10-10-18-118.ec2.internal,2.0,4.0,,Red Hat Enterprise Linux Server,,,,,,,,,,,,,,D2as v5,No,2.55Ghz AMD EPYC 7763v,2.0,8.0,,Red Hat Enterprise Linux,43.79,,,,,,,,,,525.6,,,,,,,,,,,,,,,,,normal,"ru_total_cores, ru_ram, disk_iops_read, disk_iops_write, disk_read_io_rate, disk_write_io_rate, disk_read_latency, disk_used, nic_out_transfer",ACTIVE,2021-11-12 06:33:26.856,2021-11-12 06:33:26.856
3157279,GCP,us-east4,,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'Ubuntu', 'ram_size_type': None, 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': '', 'total_cores': '', 'hard_disk_size': None, 'os_arch': '', 'hard_disk_size_type': None, 'cpucount': None, 'os_fk': 21, 'service_level_id': 1, 'cpucore': None, 'virtual_host': False, 'id': 14296}",14296.0,eb8120b81c7a,,,,Ubuntu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,ACTIVE,2021-11-12 06:33:25.403,2021-11-12 06:33:25.403
3156598,GCP,us-east4,,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'CentOS', 'ram_size_type': u'GB', 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': 1024.0, 'total_cores': 1, 'hard_disk_size': Decimal('20.00'), 'os_arch': '', 'hard_disk_size_type': u'GB', 'cpucount': 1, 'os_fk': 19, 'service_level_id': 1, 'cpucore': 1, 'virtual_host': False, 'id': 10139}",10139.0,RC-QA-3-244,1.0,1.0,20.00,CentOS,,,,,,,,,,,,,,e2-micro,Yes,2.0 GHz Intel Xeon Scalable Processor (Skylake),2.0,1.0,,Linux,6.89,2.07,4.34,,3.1,,,,,,82.64,24.79,52.06,,,,37.19,,,,Storage PD Capacity in Virginia: 20 GB,,0.88,10.56,,,,normal,"ru_total_cores, ru_ram, disk_iops_read, disk_iops_write, disk_read_io_rate, disk_write_io_rate, disk_read_latency, disk_write_latency, disk_used, nic_out_transfer",ACTIVE,2021-11-12 06:33:24.563,2021-11-12 06:33:24.563
3162093,Oracle,,,,,vm,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'Ubuntu', 'ram_size_type': None, 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': '', 'total_cores': '', 'hard_disk_size': None, 'os_arch': '', 'hard_disk_size_type': None, 'cpucount': None, 'os_fk': 21, 'service_level_id': 1, 'cpucore': None, 'virtual_host': False, 'id': 15587}",15587.0,a5d0f0be85be,,,,Ubuntu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,ACTIVE,2021-11-12 06:33:28.986,2021-11-12 06:33:28.986
3161988,Oracle,,,,,vm,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'CentOS', 'ram_size_type': u'GB', 'type_id': 3, 'monitoring_enabled': True, 'total_part_disk_size': None, 'ram': 8192.0, 'total_cores': 2, 'hard_disk_size': Decimal('100.00'), 'os_arch': '', 'hard_disk_size_type': u'GB', 'cpucount': 2, 'os_fk': 19, 'service_level_id': 1, 'cpucore': 1, 'virtual_host': False, 'id': 14657}",14657.0,houstonmethodist-160502,2.0,8.0,100.00,CentOS,,,,,,,,,,,,,,VM.Standard2.1,,"Intel Xeon Platinum 8167M. Base frequency 2.0 GHz, max turbo frequency 2.4 GHz.",2.0,15.0,1 Gbps,"CentOS, Oracle Linux or Ubuntu Linux",46.56,,,,,,,,,,558.89,,,,,,,,,,Up to 1 PB of remote Block Volumes,100.0,2.55,30.6,,,,normal,"ru_total_cores, ru_ram, disk_iops_read, disk_iops_write, disk_read_latency, disk_write_latency, disk_used, nic_in_speed, nic_out_speed, nic_out_transfer",ACTIVE,2021-11-12 06:33:28.963,2021-11-12 06:33:28.963
3156729,GCP,us-east4,,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': '', 'os_name': u'CentOS', 'ram_size_type': u'GB', 'type_id': 3, 'monitoring_enabled': False, 'total_part_disk_size': None, 'ram': 8192.0, 'total_cores': 2, 'hard_disk_size': Decimal('100.00'), 'os_arch': '', 'hard_disk_size_type': u'GB', 'cpucount': 2, 'os_fk': 19, 'service_level_id': 1, 'cpucore': 1, 'virtual_host': False, 'id': 10503}",10503.0,QA-MA-90-3-4,2.0,8.0,100.00,CentOS,,,,,,,,,,,,,,e2-standard-2,No,2.0 GHz Intel Xeon Scalable Processor (Skylake),2.0,8.0,,Linux,55.09,16.53,34.71,,24.79,,,,,,661.12,198.34,416.51,,,,297.51,,,,Storage PD Capacity in Virginia: 100 GB,,4.4,52.8,,,,normal,"ru_total_cores, ru_ram, disk_iops_read, disk_iops_write, disk_read_io_rate, disk_write_io_rate, disk_read_latency, disk_write_latency, disk_used, nic_out_transfer",ACTIVE,2021-11-12 06:33:24.796,2021-11-12 06:33:24.796
3154398,AWS,US East (N. Virginia),Shared,,,,regular,95th,10,,True,True,False,True,,,,All,"{'cpupower': 2530.0, 'os_name': u'CentOS', 'ram_size_type': u'GB', 'type_id': 3, 'monitoring_enabled': True, 'total_part_disk_size': None, 'ram': 2048.0, 'total_cores': 1, 'hard_disk_size': Decimal('16.00'), 'os_arch': u'64', 'hard_disk_size_type': u'GB', 'cpucount': 1, 'os_fk': 19, 'service_level_id': 1, 'cpucore': 1, 'virtual_host': False, 'id': 10381}",10381.0,autodisc-tomcat,1.0,2.0,16.00,CentOS,,,,,,,,,,,,,,t3a.small,Yes,AMD EPYC 7571,2.0,2.0,,Linux,13.72,,,8.61,,8.17,8.0,5.91,5.52,5.17,164.69,,,103.37,98.06,96.0,,70.96,66.29,62.0,General Purpose: 16 GB,,1.28,15.36,,,,normal,"ru_total_cores, ru_ram, disk_iops_read, disk_iops_write, disk_read_io_rate, disk_write_io_rate, disk_used, nic_in_speed, nic_out_speed, nic_out_transfer",ACTIVE,2021-11-12 06:33:22.083,2021-11-12 06:33:22.083
