ID,State,Type,ModifiedTime,RefreshedTime,ModelID,Name,Active Flag,CrossFilteringBehavior,JoinOnDateBehavior,RelyOnReferentialIntegrity,FromTableID,FromColumnID,FromCardinality,ToTableID,ToColumnID,ToCardinality,RelationshipStorageID,RelationshipStorage2ID,SecurityFilteringBehavior,From Table,To Table,From Column,To Column,Cross-Filtering Behavior
28023,1,1,2017-12-11 21:48:34.126,2018-01-03 19:00:19.216,1,"4ae5a333-7e79-4dbf-a8a8-2cd20fd76278",True,1,1,False,266,25909,2,648,675,1,28024,,1,"Internet Sales","Date","Order Date","Date","Single Direction"
775534,1,1,2018-01-02 17:46:27.220,2018-01-03 19:00:19.216,1,"82fc7c9b-679c-428b-8d70-94724e7b6667",False,1,1,False,266,25929,2,648,675,1,775535,,1,"Internet Sales","Date","Due Date","Date","Single Direction"
775551,1,1,2018-01-02 17:47:03.593,2018-01-03 19:00:19.216,1,"2ce27568-3fe3-4a47-9682-f9eaa0ba8614",False,1,1,False,266,26042,2,648,675,1,775552,,1,"Internet Sales","Date","Ship Date","Date","Single Direction"
29690,1,1,2017-12-11 21:48:34.020,2018-01-03 19:00:19.310,1,"065c8570-50ad-4ed8-a179-e1b764a0debb",True,1,1,False,481,28089,2,648,675,1,29691,,1,"Reseller Sales","Date","Order Date","Date","Single Direction"
775568,1,1,2018-01-02 17:50:25.056,2018-01-03 19:00:19.280,1,"b36560f6-3d97-4eb7-9991-71837693a8e0",False,1,1,False,481,28111,2,648,675,1,775569,,1,"Reseller Sales","Date","Due Date","Date","Single Direction"
775585,1,1,2018-01-02 17:51:44.750,2018-01-03 19:00:19.293,1,"cf87331a-d5ae-4f26-b16a-4e26912f6439",False,1,1,False,481,28224,2,648,675,1,775586,,1,"Reseller Sales","Date","Ship Date","Date","Single Direction"
569659,1,1,2017-12-11 21:48:34.050,2018-01-03 19:00:19.233,1,"18ec90e1-d1bd-4370-b8a7-4baaa024a7d5",True,1,1,False,266,568431,2,1195,569466,1,569660,,1,"Internet Sales","Promotion","Promotion Key","Promotion Key","Single Direction"
571513,1,1,2017-12-11 21:48:34.033,2018-01-03 19:00:19.293,1,"e2dd0746-98be-4aaa-8d03-7deed0f87c8a",True,1,1,False,481,568508,2,1195,569466,1,571514,,1,"Reseller Sales","Promotion","Promotion Key","Promotion Key","Single Direction"
577297,1,1,2017-12-11 21:48:34.126,2018-01-03 19:00:19.233,1,"dd69e1e3-840a-4fc1-9b09-cdba200e0ce7",True,1,1,False,266,568420,2,1924,569680,1,577298,,1,"Internet Sales","Currency","Currency Key","Currency Key","Single Direction"
570919,1,1,2017-12-11 21:48:34.050,2018-01-03 19:00:19.293,1,"88b2d52c-7ae1-42d9-89bc-f6560106d25b",True,1,1,False,481,568455,2,1924,569680,1,570920,,1,"Reseller Sales","Currency","Currency Key","Currency Key","Single Direction"
