Column1,Job Posting ID,Job Posting Date,Job Title,Job Title Full,Job Title Additional Info,Job Position Type,Job Position Level,Years of Experience,Job Skills,Job Location,Minimum Pay,Maximum Pay,Pay Rate,Number of Applicants,Company Name,Company Industry,Company Size,Average Pay
657,2568569666,2017-03-27 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",1,"['ci/cd', 'python', 'programming', 'postgres']","United States",,,"",180,"Pluralsight","Information Technology & Services","1,001-5,000 employees",
1334,2680991091,2017-06-16 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['cloud', 'javascript', 'ruby', 'linux', 'programming', 'redis', 'codebase', 'postgres']","United States",,,"",360,"Spreedly","Information Technology & Services","51-200 employees",
1802,2727655751,2017-08-03 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",8,"['database', 'datadog', 'cloud', 'javascript', 'agile', 'jira', 'saas', 'mongodb', 'c', 'java', 'sql', 'azure', 'jquery']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
1955,2698109475,2017-08-28 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",0,"['sql', 'programming', 'database']","United States",,,"",1690,"Tata Consultancy Services","Information Technology & Services","10,001+ employees",
2247,2706513273,2017-10-04 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",1,"['r', 'oracle', 'database', 'git', 'microsoft', 'agile', 'python', 'programming', 'php', 'vba', 'jira', 'sql', 'server', 'c']","United States",,,"",80,"Cotiviti","Information Technology & Services","5,001-10,000 employees",
2644,2687525504,2017-11-11 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",3,"['aws', 'mysql', 'cloud', 'node.js', 'database', 'backend', 'javascript']","United States",,,"",230,"Collabera Inc.","Information Technology & Services","10,001+ employees",
2889,2727653309,2017-12-10 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",5,"['database', 'cloud', 'java', 'javascript', 'mysql', 'agile', 'postgresql', 'sql', 'nosql', 'mongodb']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
3105,2727657114,2018-01-15 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",6,"['database', 'cloud', 'java', 'javascript', 'mysql', 'agile', 'postgresql', 'sql', 'nosql', 'mongodb']","United States",,,"",,"Trimble Inc.","Information Technology & Services","10,001+ employees",
3398,2727640723,2018-02-02 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",4,"['mysql', 'agile', 'javascript/typescript', 'sql', 'nosql', 'mongodb', 'postgres']","United States",,,"",10,"Trimble Inc.","Information Technology & Services","10,001+ employees",
3592,2717437286,2018-02-12 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Entry level",3,"['github', 'iot', 'node.js', 'database', 'cloud', 'java', 'javascript', 'ruby', 'agile', 'coding', 'nosql', 'c']","United States",,,"",210,"Dialexa","Information Technology & Services","201-500 employees",
3896,2727657123,2018-03-12 00:00:00.000,"Software Engineer","Software Engineer","","Full-time","Mid-Senior level",2,"['mysql', 'agile', 'javascript/typescript', 'sql', 'nosql', 'mongodb', 'postgres']","United States",,,"",10,"Trimble Inc.","Information Technology & Services","10,001+ employees",
