Job Posting ID,Job Skills
2689892504,sql
2696123956,database
2685477756,vb.net
2740949167,c++
2718608568,aws
2721768910,aws
2731493563,microsoft
2682253876,node.js
2713387718,ci
2710957850,go
2642446648,server
2705856234,agile
2717816369,agile
2741509015,pyspark
2681187765,css
2737034313,azure
2628576299,datalake
2734849021,mongodb
2716017822,xml
2695134428,sql
2688689547,docker
2693671876,ruby
2733203513,agile
2660724330,cloud
2715152448,database
2642781338,css
2708921396,excel
2710916513,node
2722785993,aws
2616494322,java
2723238849,atlassian
2753445745,excel
2658231786,backend
2685152339,snowflake
2717156946,cloud
2722177170,powershell
2631317422,cloud
2678428579,excel
2689450457,backend
2743950991,redis
2721117232,unix
2710892973,aws
2748693918,spark
2546126732,cloud
2696055802,cd
2709529122,aws
2597314583,saas
2715764895,go
2738377394,excel
2694245281,warehousing
2722842906,saas
2680769455,ruby
2680945617,c++
2586243003,css
2688122597,agile
2650589895,git
2706633927,python
2660716714,aws
2685729734,coding
2618620160,python
2717553752,sql
2699291881,sql
2683720378,cloud
2723033104,xml
2675030218,apache
2727660008,cloud
2627238106,c
2704869964,oracle
2738260239,excel
2681958519,c++
2704684093,agile
2688423608,javascript
2723312472,python
2691985045,aws
2496507909,jira
2642446861,agile
2707840585,unix
2658296794,aws
2732475203,database
2687538393,python
2685719350,microsoft
2695462397,vba
2739821661,c++
2716428211,backend
2696933472,iot
2697543976,r
2676420910,tsql
2755117853,machinelearning
2715135832,go
2652400437,ci
2683923889,java
2715509950,python
2648293625,cloud
2678476729,sass
2711677253,aws
2692097991,ci
2708311134,programming
2698153431,mysql
2748494765,bi
2642016388,gitlab
