Column1,ToyotaTacoma2015,ToyotaTacoma2016,ToyotaTacoma2017,ToyotaTacoma2018,ToyotaTacoma2019
"January",11.409,12.717,12.509,16.712,16.852
"February",12.372,14.172,14.256,16.817,18.533
"March",15.885,17.687,16.728,20.25,
"April",15.656,18.106,17.006,18.811,
"May",17.52,16.544,17.654,21.38,
"June",15.959,15.809,16.443,22.296,
"July",17.033,16.58,17.372,21.844,
"August",16.23,15.373,17.394,23.534,
"September",11.608,15.723,18.058,22.265,
"October",15.233,15.875,15.804,20.534,
"November",13.465,15.531,16.195,19.685,
"December",17.192,17.514,18.705,21.531,
