Column1,JeepWrangler2015,JeepWrangler2016,JeepWrangler2017,JeepWrangler2018,JeepWrangler2019
"January",11.683,10.797,11.334,11.739,13.024
"February",12.911,13.234,13.641,15.936,15.001
"March",17.524,17.71,16.336,27.829,
"April",18.849,19.003,18.841,29.776,
"May",22.324,19.551,19.931,25.102,
"June",19.159,20.06,18.839,23.11,
"July",19.32,18.741,18.698,21.308,
"August",18.16,15.29,16.808,20.168,
"September",17.583,14.255,15.714,15.983,
"October",15.751,14.469,13.391,13.318,
"November",13.847,12.957,13.289,15.963,
"December",15.591,15.721,13.7,19.8,
