Column1,JaguarXJ
2018,1.579
2017,2.721
2016,3.834
2015,3.611
2014,4.329
2013,5.434
2012,4.852
2011,5.235
2010,4.278
2009,1.161
2008,2.452
2007,4.474
2006,5.027
2005,8.304
2004,10.552
2003,10.102
2002,8.286
2001,10.082
2000,12.492
1999,13.344
1998,16.642
1997,12.639
1996,12.958
1995,13.55
1994,10.903
1993,8.99
1992,6.299
1991,6.638
1990,14.013
1989,14.509
1988,15.944
1987,17.539
1986,19.603
1985,16.744
1984,14.564
1983,13.11
1982,6.887
1981,3.849
1980,2.613
1979,2.856
1978,3.704
1977,3.48
