FinanceKey,DateKey,OrganizationKey,DepartmentGroupKey,ScenarioKey,AccountKey,Amount,Date
850,20101229,7,6,1,52,782,2010-12-29 00:00:00.000
853,20101229,7,6,1,53,782,2010-12-29 00:00:00.000
854,20101229,7,6,1,56,28863,2010-12-29 00:00:00.000
857,20101229,7,6,1,57,2607,2010-12-29 00:00:00.000
858,20101229,7,6,1,60,28840,2010-12-29 00:00:00.000
861,20101229,7,6,1,61,3172,2010-12-29 00:00:00.000
862,20101229,7,6,1,62,2307,2010-12-29 00:00:00.000
865,20101229,7,6,1,63,2347,2010-12-29 00:00:00.000
866,20101229,7,6,1,65,469,2010-12-29 00:00:00.000
869,20101229,7,6,1,66,426,2010-12-29 00:00:00.000
870,20101229,7,6,1,67,217,2010-12-29 00:00:00.000
873,20101229,7,6,1,68,161,2010-12-29 00:00:00.000
874,20101229,7,6,1,69,47,2010-12-29 00:00:00.000
875,20101229,7,6,1,71,49,2010-12-29 00:00:00.000
878,20101229,7,6,1,72,156,2010-12-29 00:00:00.000
879,20101229,7,6,1,73,300,2010-12-29 00:00:00.000
882,20101229,7,6,1,74,217,2010-12-29 00:00:00.000
883,20101229,7,6,1,76,985,2010-12-29 00:00:00.000
886,20101229,7,6,1,77,636,2010-12-29 00:00:00.000
887,20101229,7,6,1,78,179,2010-12-29 00:00:00.000
890,20101229,7,6,1,80,676,2010-12-29 00:00:00.000
891,20101229,7,6,1,81,418,2010-12-29 00:00:00.000
894,20101229,7,6,1,82,41,2010-12-29 00:00:00.000
895,20101229,7,6,1,83,143,2010-12-29 00:00:00.000
898,20101229,7,6,1,84,119,2010-12-29 00:00:00.000
899,20101229,7,6,1,85,114,2010-12-29 00:00:00.000
902,20101229,7,6,1,87,630,2010-12-29 00:00:00.000
903,20101229,7,6,1,89,116,2010-12-29 00:00:00.000
904,20101229,7,6,1,90,178,2010-12-29 00:00:00.000
905,20101229,7,6,1,91,-142,2010-12-29 00:00:00.000
906,20101229,7,6,1,92,238,2010-12-29 00:00:00.000
907,20101229,7,6,1,94,6349,2010-12-29 00:00:00.000
908,20101229,7,6,1,96,7,2010-12-29 00:00:00.000
909,20101229,7,6,1,97,171,2010-12-29 00:00:00.000
910,20101229,7,6,1,99,29500,2010-12-29 00:00:00.000
912,20101229,7,6,1,101,78234,2010-12-29 00:00:00.000
1974,20110129,7,6,1,52,11730,2011-01-29 00:00:00.000
1977,20110129,7,6,1,53,3910,2011-01-29 00:00:00.000
1978,20110129,7,6,1,56,122573,2011-01-29 00:00:00.000
1981,20110129,7,6,1,57,13034,2011-01-29 00:00:00.000
1982,20110129,7,6,1,60,28280,2011-01-29 00:00:00.000
1985,20110129,7,6,1,61,2545,2011-01-29 00:00:00.000
1986,20110129,7,6,1,62,2545,2011-01-29 00:00:00.000
1989,20110129,7,6,1,63,15640,2011-01-29 00:00:00.000
1990,20110129,7,6,1,65,574,2011-01-29 00:00:00.000
1993,20110129,7,6,1,66,522,2011-01-29 00:00:00.000
1994,20110129,7,6,1,67,259,2011-01-29 00:00:00.000
1997,20110129,7,6,1,68,196,2011-01-29 00:00:00.000
1998,20110129,7,6,1,69,57,2011-01-29 00:00:00.000
1999,20110129,7,6,1,71,56,2011-01-29 00:00:00.000
2002,20110129,7,6,1,72,782,2011-01-29 00:00:00.000
2003,20110129,7,6,1,73,345,2011-01-29 00:00:00.000
2006,20110129,7,6,1,74,255,2011-01-29 00:00:00.000
2007,20110129,7,6,1,76,3721,2011-01-29 00:00:00.000
2010,20110129,7,6,1,77,674,2011-01-29 00:00:00.000
2011,20110129,7,6,1,78,185,2011-01-29 00:00:00.000
2014,20110129,7,6,1,80,705,2011-01-29 00:00:00.000
2015,20110129,7,6,1,81,436,2011-01-29 00:00:00.000
2018,20110129,7,6,1,82,43,2011-01-29 00:00:00.000
2019,20110129,7,6,1,83,151,2011-01-29 00:00:00.000
2022,20110129,7,6,1,84,128,2011-01-29 00:00:00.000
2023,20110129,7,6,1,85,121,2011-01-29 00:00:00.000
2026,20110129,7,6,1,87,630,2011-01-29 00:00:00.000
2027,20110129,7,6,1,89,125,2011-01-29 00:00:00.000
2028,20110129,7,6,1,90,193,2011-01-29 00:00:00.000
2029,20110129,7,6,1,91,-154,2011-01-29 00:00:00.000
2030,20110129,7,6,1,92,257,2011-01-29 00:00:00.000
2031,20110129,7,6,1,94,36299,2011-01-29 00:00:00.000
2032,20110129,7,6,1,96,7,2011-01-29 00:00:00.000
2033,20110129,7,6,1,97,435,2011-01-29 00:00:00.000
2034,20110129,7,6,1,99,29500,2011-01-29 00:00:00.000
2035,20110129,7,6,1,101,391021,2011-01-29 00:00:00.000
3090,20110301,7,6,1,52,11223,2011-03-01 00:00:00.000
3093,20110301,7,6,1,53,16834,2011-03-01 00:00:00.000
