Date,Store,Spending Category,variable,value
2018-08-01 00:00:00.000,10.0,Utilities,Planned Cost,1276.0
2017-05-01 00:00:00.000,8.0,Salary,Planned Cost,10664.0
2018-04-01 00:00:00.000,6.0,Marketing,Planned Cost,2437.0
2019-08-01 00:00:00.000,5.0,Salary,Planned Cost,14955.0
2019-08-01 00:00:00.000,6.0,Salary,Planned Cost,11906.0
2018-04-01 00:00:00.000,12.0,Salary,Planned Cost,11041.0
2018-05-01 00:00:00.000,2.0,Salary,Planned Cost,11080.0
2018-03-01 00:00:00.000,8.0,Salary,Planned Cost,10909.0
2017-12-01 00:00:00.000,2.0,Rent,Planned Cost,4296.0
2019-09-01 00:00:00.000,12.0,Utilities,Planned Cost,1314.0
2019-04-01 00:00:00.000,8.0,Miscelaneous,Planned Cost,1306.0
2017-06-01 00:00:00.000,7.0,Security,Planned Cost,496.0
2017-12-01 00:00:00.000,9.0,Salary,Planned Cost,14413.0
2017-01-01 00:00:00.000,10.0,Rent,Planned Cost,4573.0
2017-09-01 00:00:00.000,2.0,Salary,Planned Cost,11211.0
2019-08-01 00:00:00.000,10.0,Miscelaneous,Planned Cost,1711.0
2019-11-01 00:00:00.000,2.0,Security,Planned Cost,814.0
2019-07-01 00:00:00.000,11.0,Marketing,Planned Cost,3608.0
2019-04-01 00:00:00.000,2.0,Stationery,Planned Cost,103.0
2019-08-01 00:00:00.000,10.0,Security,Planned Cost,715.0
2018-02-01 00:00:00.000,2.0,Stationery,Planned Cost,197.0
2017-04-01 00:00:00.000,12.0,Rent,Planned Cost,4648.0
2019-03-01 00:00:00.000,1.0,Miscelaneous,Planned Cost,522.0
2017-12-01 00:00:00.000,7.0,Marketing,Planned Cost,2986.0
2018-11-01 00:00:00.000,7.0,Rent,Planned Cost,4487.0
2019-11-01 00:00:00.000,6.0,Utilities,Planned Cost,926.0
2017-04-01 00:00:00.000,4.0,Security,Planned Cost,408.0
2019-06-01 00:00:00.000,2.0,Utilities,Planned Cost,1099.0
2017-11-01 00:00:00.000,9.0,Miscelaneous,Planned Cost,1723.0
2019-01-01 00:00:00.000,3.0,Rent,Planned Cost,4345.0
2018-07-01 00:00:00.000,11.0,Stationery,Planned Cost,130.0
2017-08-01 00:00:00.000,3.0,Security,Planned Cost,548.0
2018-10-01 00:00:00.000,3.0,Salary,Planned Cost,12764.0
2019-02-01 00:00:00.000,12.0,Security,Planned Cost,860.0
2017-04-01 00:00:00.000,1.0,Stationery,Planned Cost,173.0
2018-01-01 00:00:00.000,6.0,Salary,Planned Cost,14350.0
2019-04-01 00:00:00.000,2.0,Salary,Planned Cost,11633.0
2018-06-01 00:00:00.000,7.0,Stationery,Planned Cost,305.0
2017-06-01 00:00:00.000,12.0,Marketing,Planned Cost,1560.0
2018-03-01 00:00:00.000,7.0,Utilities,Planned Cost,1239.0
2018-07-01 00:00:00.000,7.0,Stationery,Planned Cost,178.0
2019-03-01 00:00:00.000,1.0,Marketing,Planned Cost,3009.0
2019-08-01 00:00:00.000,8.0,Marketing,Planned Cost,2539.0
2017-08-01 00:00:00.000,10.0,Utilities,Planned Cost,959.0
2018-08-01 00:00:00.000,12.0,Security,Planned Cost,727.0
2019-09-01 00:00:00.000,6.0,Miscelaneous,Planned Cost,1120.0
2019-08-01 00:00:00.000,3.0,Marketing,Planned Cost,3638.0
2019-12-01 00:00:00.000,2.0,Miscelaneous,Planned Cost,1315.0
2018-09-01 00:00:00.000,6.0,Marketing,Planned Cost,2005.0
2017-03-01 00:00:00.000,7.0,Rent,Planned Cost,4467.0
2019-02-01 00:00:00.000,4.0,Rent,Planned Cost,4382.0
2018-09-01 00:00:00.000,12.0,Salary,Planned Cost,12762.0
2018-02-01 00:00:00.000,3.0,Miscelaneous,Planned Cost,1908.0
2018-01-01 00:00:00.000,6.0,Security,Planned Cost,788.0
2019-01-01 00:00:00.000,4.0,Rent,Planned Cost,4381.0
2017-12-01 00:00:00.000,10.0,Rent,Planned Cost,4584.0
2017-11-01 00:00:00.000,9.0,Salary,Planned Cost,10600.0
2018-01-01 00:00:00.000,10.0,Miscelaneous,Planned Cost,1951.0
2017-09-01 00:00:00.000,3.0,Miscelaneous,Planned Cost,1932.0
2018-12-01 00:00:00.000,9.0,Security,Planned Cost,891.0
2018-06-01 00:00:00.000,5.0,Utilities,Planned Cost,988.0
2018-03-01 00:00:00.000,4.0,Rent,Planned Cost,4371.0
2017-01-01 00:00:00.000,1.0,Salary,Planned Cost,11382.0
2019-03-01 00:00:00.000,5.0,Marketing,Planned Cost,3231.0
2018-02-01 00:00:00.000,3.0,Utilities,Planned Cost,1378.0
2018-06-01 00:00:00.000,2.0,Miscelaneous,Planned Cost,545.0
2019-07-01 00:00:00.000,3.0,Salary,Planned Cost,13005.0
2019-12-01 00:00:00.000,5.0,Stationery,Planned Cost,113.0
2017-11-01 00:00:00.000,2.0,Rent,Planned Cost,4295.0
2017-07-01 00:00:00.000,7.0,Marketing,Planned Cost,1656.0
2019-03-01 00:00:00.000,12.0,Utilities,Planned Cost,714.0
2017-01-01 00:00:00.000,5.0,Salary,Planned Cost,11719.0
2018-04-01 00:00:00.000,4.0,Rent,Planned Cost,4372.0
2017-06-01 00:00:00.000,11.0,Miscelaneous,Planned Cost,1996.0
2018-03-01 00:00:00.000,1.0,Salary,Planned Cost,12509.0
2017-04-01 00:00:00.000,5.0,Marketing,Planned Cost,2267.0
2017-10-01 00:00:00.000,9.0,Utilities,Planned Cost,864.0
2018-05-01 00:00:00.000,8.0,Rent,Planned Cost,4517.0
2017-08-01 00:00:00.000,2.0,Utilities,Planned Cost,1002.0
2019-03-01 00:00:00.000,3.0,Marketing,Planned Cost,1700.0
2018-03-01 00:00:00.000,6.0,Salary,Planned Cost,11883.0
2019-07-01 00:00:00.000,8.0,Utilities,Planned Cost,902.0
2019-08-01 00:00:00.000,8.0,Miscelaneous,Planned Cost,1634.0
2017-02-01 00:00:00.000,4.0,Security,Planned Cost,817.0
2017-03-01 00:00:00.000,4.0,Security,Planned Cost,831.0
2018-12-01 00:00:00.000,6.0,Salary,Planned Cost,10602.0
2017-09-01 00:00:00.000,6.0,Salary,Planned Cost,13633.0
2019-04-01 00:00:00.000,6.0,Marketing,Planned Cost,1589.0
2018-11-01 00:00:00.000,5.0,Security,Planned Cost,470.0
2018-04-01 00:00:00.000,2.0,Salary,Planned Cost,14863.0
2019-10-01 00:00:00.000,11.0,Miscelaneous,Planned Cost,1613.0
2018-06-01 00:00:00.000,11.0,Utilities,Planned Cost,1248.0
2019-09-01 00:00:00.000,1.0,Salary,Planned Cost,12368.0
2019-03-01 00:00:00.000,7.0,Security,Planned Cost,776.0
2019-07-01 00:00:00.000,5.0,Salary,Planned Cost,11246.0
2018-12-01 00:00:00.000,3.0,Rent,Planned Cost,4344.0
2019-08-01 00:00:00.000,4.0,Salary,Planned Cost,10571.0
2017-08-01 00:00:00.000,7.0,Miscelaneous,Planned Cost,1192.0
2019-08-01 00:00:00.000,4.0,Stationery,Planned Cost,335.0
2017-04-01 00:00:00.000,4.0,Rent,Planned Cost,4360.0
2018-08-01 00:00:00.000,10.0,Utilities,Actual Cost,1020.8
2017-05-01 00:00:00.000,8.0,Salary,Actual Cost,11943.68
2018-04-01 00:00:00.000,6.0,Marketing,Actual Cost,2753.81
2019-08-01 00:00:00.000,5.0,Salary,Actual Cost,17198.25
2019-08-01 00:00:00.000,6.0,Salary,Actual Cost,10715.4
2018-04-01 00:00:00.000,12.0,Salary,Actual Cost,11813.87
2018-05-01 00:00:00.000,2.0,Salary,Actual Cost,11412.4
2018-03-01 00:00:00.000,8.0,Salary,Actual Cost,10472.64
2017-12-01 00:00:00.000,2.0,Rent,Actual Cost,3952.32
2019-09-01 00:00:00.000,12.0,Utilities,Actual Cost,1340.28
2019-04-01 00:00:00.000,8.0,Miscelaneous,Actual Cost,1475.78
2017-06-01 00:00:00.000,7.0,Security,Actual Cost,555.52
2017-12-01 00:00:00.000,9.0,Salary,Actual Cost,11530.4
2017-01-01 00:00:00.000,10.0,Rent,Actual Cost,5030.3
2017-09-01 00:00:00.000,2.0,Salary,Actual Cost,12332.1
2019-08-01 00:00:00.000,10.0,Miscelaneous,Actual Cost,1796.55
2019-11-01 00:00:00.000,2.0,Security,Actual Cost,805.86
2019-07-01 00:00:00.000,11.0,Marketing,Actual Cost,2922.48
2019-04-01 00:00:00.000,2.0,Stationery,Actual Cost,109.18
2019-08-01 00:00:00.000,10.0,Security,Actual Cost,579.15
2018-02-01 00:00:00.000,2.0,Stationery,Actual Cost,189.12
2017-04-01 00:00:00.000,12.0,Rent,Actual Cost,4648.0
2019-03-01 00:00:00.000,1.0,Miscelaneous,Actual Cost,475.02
2017-12-01 00:00:00.000,7.0,Marketing,Actual Cost,2508.24
2018-11-01 00:00:00.000,7.0,Rent,Actual Cost,3948.56
2019-11-01 00:00:00.000,6.0,Utilities,Actual Cost,935.26
2017-04-01 00:00:00.000,4.0,Security,Actual Cost,432.48
2019-06-01 00:00:00.000,2.0,Utilities,Actual Cost,1120.98
2017-11-01 00:00:00.000,9.0,Miscelaneous,Actual Cost,1757.46
2019-01-01 00:00:00.000,3.0,Rent,Actual Cost,4431.9
2018-07-01 00:00:00.000,11.0,Stationery,Actual Cost,144.3
2017-08-01 00:00:00.000,3.0,Security,Actual Cost,569.92
2018-10-01 00:00:00.000,3.0,Salary,Actual Cost,13785.12
2019-02-01 00:00:00.000,12.0,Security,Actual Cost,937.4
2017-04-01 00:00:00.000,1.0,Stationery,Actual Cost,157.43
2018-01-01 00:00:00.000,6.0,Salary,Actual Cost,16359.0
2019-04-01 00:00:00.000,2.0,Salary,Actual Cost,9539.06
2018-06-01 00:00:00.000,7.0,Stationery,Actual Cost,277.55
2017-06-01 00:00:00.000,12.0,Marketing,Actual Cost,1731.6
2018-03-01 00:00:00.000,7.0,Utilities,Actual Cost,1127.49
2018-07-01 00:00:00.000,7.0,Stationery,Actual Cost,201.14
2019-03-01 00:00:00.000,1.0,Marketing,Actual Cost,3370.08
2019-08-01 00:00:00.000,8.0,Marketing,Actual Cost,2183.54
2017-08-01 00:00:00.000,10.0,Utilities,Actual Cost,843.92
2018-08-01 00:00:00.000,12.0,Security,Actual Cost,661.57
2019-09-01 00:00:00.000,6.0,Miscelaneous,Actual Cost,974.4
2019-08-01 00:00:00.000,3.0,Marketing,Actual Cost,3492.48
2019-12-01 00:00:00.000,2.0,Miscelaneous,Actual Cost,1341.3
2018-09-01 00:00:00.000,6.0,Marketing,Actual Cost,2305.75
2017-03-01 00:00:00.000,7.0,Rent,Actual Cost,4377.66
2019-02-01 00:00:00.000,4.0,Rent,Actual Cost,3943.8
2018-09-01 00:00:00.000,12.0,Salary,Actual Cost,11485.8
2018-02-01 00:00:00.000,3.0,Miscelaneous,Actual Cost,1526.4
2018-01-01 00:00:00.000,6.0,Security,Actual Cost,693.44
2019-01-01 00:00:00.000,4.0,Rent,Actual Cost,3592.42
2017-12-01 00:00:00.000,10.0,Rent,Actual Cost,4446.48
2017-11-01 00:00:00.000,9.0,Salary,Actual Cost,10812.0
2018-01-01 00:00:00.000,10.0,Miscelaneous,Actual Cost,1892.47
2017-09-01 00:00:00.000,3.0,Miscelaneous,Actual Cost,1680.84
