ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
IN10271014,CLOSED,DC000210,Other Activities,Other - Data Centre,,
IN10114204,CLOSED,DC000141,Middleware,Middleware,08DEC2018:05:30:05,
IN10029953,QUEUED,ITS00322,Directory Services,Directory Services,22APR2016:08:36:10,24.366666667
IN10053853,QUEUED,ESI00011,Other Activities,Other - Service Management,05MAY2017:14:40:14,2.1666666667
IN10157735,INPROG,DC000203,Midrange,Midrange - Windows -X86,13SEP2019:00:33:54,0.1
IN10059759,CLOSED,DC000127,High-performance Computing,HPC -Big Data Exchange,31JUL2017:05:30:06,
IN10262224,INPROG,DC000132,High-performance Computing,High-performance Computing,19JUN2021:12:34:35,39.8
IN10077991,CLOSED,NW000459,GC WAN,GC WAN,24FEB2018:05:30:18,
IN10228772,QUEUED,DC000203,Midrange,Midrange - Windows -X86,27NOV2020:10:26:36,0.35
IN10157941,NEW,,,,15SEP2019:23:06:35,
IN10235296,NEW,,,,17JAN2021:14:10:33,
IN10098314,CLOSED,NW000407,Intra-building Network Services,IBN - GC LAN,02SEP2018:05:30:18,
IN10114343,NEW,,,,26NOV2018:09:35:05,
IN10237867,RESOLVED,DC000107,Data Centre Facilities Management,Data Centre Facilities Management,03FEB2021:10:41:18,0.0
IN10217206,QUEUED,NW000404,Intra-building Network Services,IBN - Cabling - Install and Material,26SEP2020:08:02:36,4.2833333333
IN10118627,INPROG,DC000115,Midrange,Midrange - Windows -X86,31DEC2018:10:03:04,164.93333333
IN10139964,RESOLVED,NW000414,Contact Centre,Contact Centre,07JUN2019:15:23:54,0.0
IN10272331,NEW,,,,,
IN10268023,NEW,,,,12JUL2021:13:38:05,
IN10063958,RESOLVED,DC000202,Midrange,Midrange - Windows -X86,14SEP2017:15:17:03,0.0
IN10219673,NEW,,,,09OCT2020:21:47:21,
IN10105053,CLOSED,DC000117,Storage,Storage,09NOV2018:05:30:46,
IN10286472,RESOLVED,NW000509,Email,Email,,0.0
IN10049533,QUEUED,DC000115,Midrange,Midrange - Windows -X86,02MAR2017:08:19:31,18.683333333
IN10033506,CLOSED,DC000115,Midrange,Midrange - Windows -X86,01JUL2016:05:30:23,
IN10125898,RESOLVED,DC000202,Midrange,Midrange - Windows -X86,07FEB2019:10:55:55,0.0
IN10057484,CLOSED,ESI00011,Other Activities,Other - Service Management,19AUG2017:05:30:00,
IN10176976,QUEUED,SM000562,Other Activities,Other - Service Management,17JAN2020:04:03:33,4.0333333333
IN10168189,QUEUED,NW000438,Intra-building Network Services,IBN - GC Wi-Fi,19NOV2019:08:47:04,4.8666666667
IN10173125,INPROG,,,,16DEC2019:14:47:15,
IN10101170,QUEUED,ITS00358,Secure Remote Access,Secure Remote Access,31AUG2018:01:34:20,7.8666666667
IN10039397,QUEUED,NW000417,GC WAN,GC WAN,22SEP2016:10:57:29,46.05
IN10100032,QUEUED,DC000132,High-performance Computing,High-performance Computing,21AUG2018:23:12:55,0.65
IN10249046,QUEUED,SM000562,Other Activities,Other - Service Management,05APR2021:03:05:11,0.0
IN10269527,CLOSED,ITS00380,Directory Services,Directory Services,,
IN10259174,INPROG,ENT00005,Mobile Devices,Mobile - Voice & Data,03JUN2021:14:47:31,7.7666666667
IN10289912,NEW,,,,,
IN10178478,QUEUED,DC000209,Midrange,Midrange,27JAN2020:09:06:37,0.7833333333
IN10175674,AWAITCUS,DC000125,Storage,Storage,28FEB2020:10:58:25,0.8666666667
IN10113887,NEW,,,,22NOV2018:09:11:20,
IN10190571,CLOSED,NW000410,Conferencing Services,Conferencing - Videoconferencing,17OCT2020:05:30:02,
IN10107766,QUEUED,NW000430,Intra-building Network Services,IBN - Data Centre Network,19OCT2018:11:47:20,4906.0833333
IN10122516,RESOLVED,DC000115,Midrange,Midrange - Windows -X86,21JAN2019:05:44:50,0.0
