Order Number,variable,value
SO - 0009334,Order Date,2017-12-14 00:00:00.000
SO - 0001970,Order Date,2016-05-17 00:00:00.000
SO - 0004258,Order Date,2016-08-12 00:00:00.000
SO - 0007884,Order Date,2016-12-23 00:00:00.000
SO - 0009947,Order Date,2017-09-09 00:00:00.000
SO - 0002295,Order Date,2015-06-02 00:00:00.000
SO - 0004085,Order Date,2015-10-03 00:00:00.000
SO - 0003507,Order Date,2018-04-04 00:00:00.000
SO - 0009263,Order Date,2017-02-23 00:00:00.000
SO - 0005175,Order Date,2016-01-01 00:00:00.000
SO - 0002549,Order Date,2017-06-27 00:00:00.000
SO - 0009598,Order Date,2017-05-11 00:00:00.000
SO - 0002811,Order Date,2018-03-19 00:00:00.000
SO - 0006503,Order Date,2016-03-12 00:00:00.000
SO - 0005413,Order Date,2015-09-15 00:00:00.000
SO - 0006260,Order Date,2017-11-09 00:00:00.000
SO - 0008661,Order Date,2016-04-01 00:00:00.000
SO - 0006821,Order Date,2017-09-24 00:00:00.000
SO - 0009674,Order Date,2016-08-31 00:00:00.000
SO - 0003251,Order Date,2016-06-15 00:00:00.000
SO - 0005808,Order Date,2016-08-18 00:00:00.000
SO - 0006767,Order Date,2017-02-23 00:00:00.000
SO - 0009206,Order Date,2015-09-25 00:00:00.000
SO - 0004037,Order Date,2017-05-20 00:00:00.000
SO - 0005057,Order Date,2018-04-12 00:00:00.000
SO - 0010228,Order Date,2017-11-20 00:00:00.000
SO - 0006531,Order Date,2015-09-28 00:00:00.000
SO - 0006094,Order Date,2016-06-16 00:00:00.000
SO - 0005765,Order Date,2015-12-01 00:00:00.000
SO - 0009408,Order Date,2016-05-14 00:00:00.000
SO - 0004668,Order Date,2018-06-29 00:00:00.000
SO - 0010351,Order Date,2015-02-17 00:00:00.000
SO - 0010302,Order Date,2015-03-30 00:00:00.000
SO - 0005045,Order Date,2018-05-08 00:00:00.000
SO - 0005640,Order Date,2017-02-10 00:00:00.000
SO - 0007424,Order Date,2015-02-25 00:00:00.000
SO - 0010135,Order Date,2015-02-25 00:00:00.000
SO - 0006283,Order Date,2016-04-07 00:00:00.000
SO - 000242,Order Date,2016-09-05 00:00:00.000
SO - 0002939,Order Date,2015-07-02 00:00:00.000
SO - 000239,Order Date,2015-04-30 00:00:00.000
SO - 0002890,Order Date,2018-05-01 00:00:00.000
SO - 0009298,Order Date,2015-12-17 00:00:00.000
SO - 0007958,Order Date,2015-09-27 00:00:00.000
SO - 0001109,Order Date,2016-02-14 00:00:00.000
SO - 0001690,Order Date,2016-10-05 00:00:00.000
SO - 0008959,Order Date,2015-02-19 00:00:00.000
SO - 0006714,Order Date,2018-08-04 00:00:00.000
SO - 0003768,Order Date,2017-01-07 00:00:00.000
SO - 0004489,Order Date,2017-11-07 00:00:00.000
SO - 0009204,Order Date,2016-09-26 00:00:00.000
SO - 0002280,Order Date,2015-03-28 00:00:00.000
SO - 0003434,Order Date,2016-09-30 00:00:00.000
SO - 0006898,Order Date,2015-10-28 00:00:00.000
SO - 0001115,Order Date,2017-10-16 00:00:00.000
SO - 0009404,Order Date,2015-05-31 00:00:00.000
SO - 0007970,Order Date,2016-04-19 00:00:00.000
SO - 0006679,Order Date,2016-08-26 00:00:00.000
SO - 0002082,Order Date,2018-05-08 00:00:00.000
SO - 000696,Order Date,2017-08-06 00:00:00.000
SO - 0003160,Order Date,2018-08-05 00:00:00.000
SO - 0007578,Order Date,2017-05-23 00:00:00.000
SO - 0002878,Order Date,2015-01-21 00:00:00.000
SO - 0002641,Order Date,2016-04-03 00:00:00.000
SO - 0003739,Order Date,2017-12-24 00:00:00.000
SO - 0003986,Order Date,2016-07-26 00:00:00.000
SO - 0006259,Order Date,2017-08-19 00:00:00.000
SO - 0008485,Order Date,2016-08-05 00:00:00.000
SO - 0008717,Order Date,2016-11-16 00:00:00.000
SO - 0002697,Order Date,2018-03-10 00:00:00.000
SO - 0010200,Order Date,2015-07-19 00:00:00.000
SO - 0003349,Order Date,2018-06-20 00:00:00.000
SO - 0004213,Order Date,2016-09-21 00:00:00.000
SO - 0007654,Order Date,2015-02-09 00:00:00.000
SO - 0005020,Order Date,2015-03-09 00:00:00.000
SO - 0007871,Order Date,2016-02-16 00:00:00.000
SO - 0004998,Order Date,2015-12-11 00:00:00.000
SO - 0007780,Order Date,2016-02-15 00:00:00.000
SO - 000852,Order Date,2018-07-26 00:00:00.000
SO - 000378,Order Date,2016-12-20 00:00:00.000
SO - 0005686,Order Date,2017-02-05 00:00:00.000
SO - 000489,Order Date,2018-04-04 00:00:00.000
SO - 0008150,Order Date,2018-07-31 00:00:00.000
SO - 0005238,Order Date,2015-11-06 00:00:00.000
SO - 0010134,Order Date,2018-01-08 00:00:00.000
SO - 0001193,Order Date,2016-07-16 00:00:00.000
SO - 0006517,Order Date,2016-05-24 00:00:00.000
SO - 0010476,Order Date,2015-06-01 00:00:00.000
SO - 0003133,Order Date,2015-10-18 00:00:00.000
SO - 0007447,Order Date,2015-02-23 00:00:00.000
SO - 0002987,Order Date,2017-05-19 00:00:00.000
SO - 0008635,Order Date,2015-09-02 00:00:00.000
SO - 0003966,Order Date,2016-03-25 00:00:00.000
SO - 0009878,Order Date,2018-02-26 00:00:00.000
SO - 0005845,Order Date,2017-11-06 00:00:00.000
SO - 0003815,Order Date,2018-08-04 00:00:00.000
SO - 0010614,Order Date,2017-01-08 00:00:00.000
SO - 0003281,Order Date,2016-12-02 00:00:00.000
SO - 0006341,Order Date,2016-06-02 00:00:00.000
SO - 0007071,Order Date,2018-04-14 00:00:00.000
SO - 0009334,Customer Name Index,127
SO - 0001970,Customer Name Index,17
SO - 0004258,Customer Name Index,26
SO - 0007884,Customer Name Index,8
SO - 0009947,Customer Name Index,166
SO - 0002295,Customer Name Index,128
SO - 0004085,Customer Name Index,136
SO - 0003507,Customer Name Index,124
SO - 0009263,Customer Name Index,135
SO - 0005175,Customer Name Index,54
SO - 0002549,Customer Name Index,24
SO - 0009598,Customer Name Index,50
SO - 0002811,Customer Name Index,38
SO - 0006503,Customer Name Index,133
SO - 0005413,Customer Name Index,154
SO - 0006260,Customer Name Index,65
SO - 0008661,Customer Name Index,118
SO - 0006821,Customer Name Index,16
SO - 0009674,Customer Name Index,79
SO - 0003251,Customer Name Index,59
SO - 0005808,Customer Name Index,141
SO - 0006767,Customer Name Index,105
SO - 0009206,Customer Name Index,131
SO - 0004037,Customer Name Index,128
SO - 0005057,Customer Name Index,119
SO - 0010228,Customer Name Index,25
SO - 0006531,Customer Name Index,35
SO - 0006094,Customer Name Index,94
SO - 0005765,Customer Name Index,113
SO - 0009408,Customer Name Index,22
SO - 0004668,Customer Name Index,124
SO - 0010351,Customer Name Index,146
SO - 0010302,Customer Name Index,162
SO - 0005045,Customer Name Index,7
SO - 0005640,Customer Name Index,109
SO - 0007424,Customer Name Index,143
SO - 0010135,Customer Name Index,123
SO - 0006283,Customer Name Index,101
SO - 000242,Customer Name Index,100
SO - 0002939,Customer Name Index,68
SO - 000239,Customer Name Index,124
SO - 0002890,Customer Name Index,55
SO - 0009298,Customer Name Index,22
SO - 0007958,Customer Name Index,93
SO - 0001109,Customer Name Index,48
SO - 0001690,Customer Name Index,57
SO - 0008959,Customer Name Index,119
SO - 0006714,Customer Name Index,45
SO - 0003768,Customer Name Index,102
SO - 0004489,Customer Name Index,4
SO - 0009204,Customer Name Index,100
SO - 0002280,Customer Name Index,98
SO - 0003434,Customer Name Index,173
SO - 0006898,Customer Name Index,40
SO - 0001115,Customer Name Index,50
SO - 0009404,Customer Name Index,10
SO - 0007970,Customer Name Index,35
SO - 0006679,Customer Name Index,14
SO - 0002082,Customer Name Index,144
SO - 000696,Customer Name Index,71
SO - 0003160,Customer Name Index,170
SO - 0007578,Customer Name Index,153
SO - 0002878,Customer Name Index,117
SO - 0002641,Customer Name Index,57
SO - 0003739,Customer Name Index,1
SO - 0003986,Customer Name Index,111
SO - 0006259,Customer Name Index,99
SO - 0008485,Customer Name Index,152
SO - 0008717,Customer Name Index,104
SO - 0002697,Customer Name Index,28
SO - 0010200,Customer Name Index,108
SO - 0003349,Customer Name Index,147
SO - 0004213,Customer Name Index,68
SO - 0007654,Customer Name Index,107
SO - 0005020,Customer Name Index,166
SO - 0007871,Customer Name Index,33
SO - 0004998,Customer Name Index,74
SO - 0007780,Customer Name Index,51
SO - 000852,Customer Name Index,146
SO - 000378,Customer Name Index,130
SO - 0005686,Customer Name Index,106
SO - 000489,Customer Name Index,5
SO - 0008150,Customer Name Index,118
SO - 0005238,Customer Name Index,86
SO - 0010134,Customer Name Index,82
SO - 0001193,Customer Name Index,24
SO - 0006517,Customer Name Index,171
SO - 0010476,Customer Name Index,125
SO - 0003133,Customer Name Index,58
SO - 0007447,Customer Name Index,78
SO - 0002987,Customer Name Index,3
SO - 0008635,Customer Name Index,108
SO - 0003966,Customer Name Index,69
SO - 0009878,Customer Name Index,96
SO - 0005845,Customer Name Index,160
SO - 0003815,Customer Name Index,137
SO - 0010614,Customer Name Index,50
SO - 0003281,Customer Name Index,118
SO - 0006341,Customer Name Index,29
SO - 0007071,Customer Name Index,134
SO - 0009334,Channel,Distributor
SO - 0001970,Channel,Wholesale
SO - 0004258,Channel,Wholesale
SO - 0007884,Channel,Wholesale
SO - 0009947,Channel,Wholesale
SO - 0002295,Channel,Wholesale
SO - 0004085,Channel,Wholesale
SO - 0003507,Channel,Distributor
SO - 0009263,Channel,Wholesale
SO - 0005175,Channel,Distributor
SO - 0002549,Channel,Wholesale
SO - 0009598,Channel,Wholesale
SO - 0002811,Channel,Distributor
