ModYearReg,SA UnitSold
"M1Y1SK",1724
"M2Y1SK",1341
"M3Y1SK",631
"M4Y1SK",421
"M5Y1SK",553
"M6Y1SK",265
"M7Y1SK",931
"M8Y1SK",730
"M1Y2SK",1736
"M2Y2SK",1398
"M3Y2SK",651
"M4Y2SK",436
"M5Y2SK",681
"M6Y2SK",273
"M7Y2SK",955
"M8Y2SK",742
"M1Y3SK",1811
"M2Y3SK",1461
"M3Y3SK",668
"M4Y3SK",449
"M5Y3SK",695
"M6Y3SK",282
"M7Y3SK",1018
"M8Y3SK",702
"M1Y4SK",1893
"M2Y4SK",1496
"M3Y4SK",703
"M4Y4SK",476
"M5Y4SK",716
"M6Y4SK",302
"M7Y4SK",1016
"M8Y4SK",708
"M1Y5SK",1906
"M2Y5SK",1503
"M3Y5SK",712
"M4Y5SK",496
"M5Y5SK",749
"M6Y5SK",326
"M7Y5SK",1046
"M8Y5SK",743
