ModYearReg,UnitSold,Lowercase,ModelID,YearID,RegID
"M1Y1AB",5321,"m1y1ab","M1","Y1","AB"
"M2Y1AB",4146,"m2y1ab","M2","Y1","AB"
"M3Y1AB",3546,"m3y1ab","M3","Y1","AB"
"M4Y1AB",2021,"m4y1ab","M4","Y1","AB"
"M5Y1AB",1453,"m5y1ab","M5","Y1","AB"
"M6Y1AB",3121,"m6y1ab","M6","Y1","AB"
"M7Y1AB",3145,"m7y1ab","M7","Y1","AB"
"M8Y1AB",1935,"m8y1ab","M8","Y1","AB"
"M1Y1BC",4756,"m1y1bc","M1","Y1","BC"
"M2Y1BC",5147,"m2y1bc","M2","Y1","BC"
"M3Y1BC",6845,"m3y1bc","M3","Y1","BC"
"M4Y1BC",2145,"m4y1bc","M4","Y1","BC"
"M5Y1BC",1247,"m5y1bc","M5","Y1","BC"
"M6Y1BC",4756,"m6y1bc","M6","Y1","BC"
"M7Y1BC",1921,"m7y1bc","M7","Y1","BC"
"M8Y1BC",1352,"m8y1bc","M8","Y1","BC"
"M1Y1MB",1924,"m1y1mb","M1","Y1","MB"
"M2Y1MB",1541,"m2y1mb","M2","Y1","MB"
"M3Y1MB",1031,"m3y1mb","M3","Y1","MB"
"M4Y1MB",521,"m4y1mb","M4","Y1","MB"
"M5Y1MB",453,"m5y1mb","M5","Y1","MB"
"M6Y1MB",465,"m6y1mb","M6","Y1","MB"
"M7Y1MB",931,"m7y1mb","M7","Y1","MB"
"M8Y1MB",762,"m8y1mb","M8","Y1","MB"
"M1Y1NB",1124,"m1y1nb","M1","Y1","NB"
"M2Y1NB",910,"m2y1nb","M2","Y1","NB"
"M3Y1NB",512,"m3y1nb","M3","Y1","NB"
"M4Y1NB",389,"m4y1nb","M4","Y1","NB"
"M5Y1NB",431,"m5y1nb","M5","Y1","NB"
"M6Y1NB",101,"m6y1nb","M6","Y1","NB"
"M7Y1NB",503,"m7y1nb","M7","Y1","NB"
"M8Y1NB",311,"m8y1nb","M8","Y1","NB"
"M1Y1NL",924,"m1y1nl","M1","Y1","NL"
"M2Y1NL",710,"m2y1nl","M2","Y1","NL"
"M3Y1NL",312,"m3y1nl","M3","Y1","NL"
"M4Y1NL",189,"m4y1nl","M4","Y1","NL"
"M5Y1NL",231,"m5y1nl","M5","Y1","NL"
"M6Y1NL",53,"m6y1nl","M6","Y1","NL"
"M7Y1NL",203,"m7y1nl","M7","Y1","NL"
"M8Y1NL",261,"m8y1nl","M8","Y1","NL"
"M1Y1NU",29,"m1y1nu","M1","Y1","NU"
"M2Y1NU",26,"m2y1nu","M2","Y1","NU"
"M3Y1NU",9,"m3y1nu","M3","Y1","NU"
"M4Y1NU",3,"m4y1nu","M4","Y1","NU"
"M5Y1NU",15,"m5y1nu","M5","Y1","NU"
"M6Y1NU",1,"m6y1nu","M6","Y1","NU"
"M7Y1NU",36,"m7y1nu","M7","Y1","NU"
"M8Y1NU",99,"m8y1nu","M8","Y1","NU"
"M1Y1NS",1424,"m1y1ns","M1","Y1","NS"
"M2Y1NS",1041,"m2y1ns","M2","Y1","NS"
"M3Y1NS",601,"m3y1ns","M3","Y1","NS"
"M4Y1NS",401,"m4y1ns","M4","Y1","NS"
"M5Y1NS",553,"m5y1ns","M5","Y1","NS"
"M6Y1NS",225,"m6y1ns","M6","Y1","NS"
"M7Y1NS",731,"m7y1ns","M7","Y1","NS"
"M8Y1NS",362,"m8y1ns","M8","Y1","NS"
"M1Y1NT",31,"m1y1nt","M1","Y1","NT"
"M2Y1NT",29,"m2y1nt","M2","Y1","NT"
"M3Y1NT",11,"m3y1nt","M3","Y1","NT"
"M4Y1NT",5,"m4y1nt","M4","Y1","NT"
"M5Y1NT",15,"m5y1nt","M5","Y1","NT"
"M6Y1NT",3,"m6y1nt","M6","Y1","NT"
"M7Y1NT",43,"m7y1nt","M7","Y1","NT"
"M8Y1NT",112,"m8y1nt","M8","Y1","NT"
"M1Y1ON",15473,"m1y1on","M1","Y1","ON"
"M2Y1ON",11158,"m2y1on","M2","Y1","ON"
"M3Y1ON",10521,"m3y1on","M3","Y1","ON"
"M4Y1ON",9351,"m4y1on","M4","Y1","ON"
"M5Y1ON",13231,"m5y1on","M5","Y1","ON"
