ModYearReg,YU UnitSold
"M1Y1YT",31
"M2Y1YT",29
"M3Y1YT",9
"M4Y1YT",5
"M5Y1YT",15
"M6Y1YT",1
"M7Y1YT",39
"M8Y1YT",99
"M1Y2YT",30
"M2Y2YT",31
"M3Y2YT",11
"M4Y2YT",6
"M5Y2YT",17
"M6Y2YT",2
"M7Y2YT",40
"M8Y2YT",100
"M1Y3YT",33
"M2Y3YT",32
"M3Y3YT",13
"M4Y3YT",6
"M5Y3YT",18
"M6Y3YT",2
"M7Y3YT",46
"M8Y3YT",95
"M1Y4YT",34
"M2Y4YT",32
"M3Y4YT",14
"M4Y4YT",7
"M5Y4YT",18
"M6Y4YT",1
"M7Y4YT",44
"M8Y4YT",103
"M1Y5YT",37
"M2Y5YT",37
"M3Y5YT",13
"M4Y5YT",5
"M5Y5YT",23
"M6Y5YT",1
"M7Y5YT",48
"M8Y5YT",95
