ModYearReg,NB UnitSold
"M1Y1NB",1124
"M2Y1NB",910
"M3Y1NB",512
"M4Y1NB",389
"M5Y1NB",431
"M6Y1NB",101
"M7Y1NB",503
"M8Y1NB",311
"M1Y2NB",1149
"M2Y2NB",945
"M3Y2NB",546
"M4Y2NB",394
"M5Y2NB",476
"M6Y2NB",113
"M7Y2NB",512
"M8Y2NB",325
"M1Y3NB",1153
"M2Y3NB",952
"M3Y3NB",559
"M4Y3NB",411
"M5Y3NB",479
"M6Y3NB",121
"M7Y3NB",524
"M8Y3NB",399
"M1Y4NB",1189
"M2Y4NB",984
"M3Y4NB",586
"M4Y4NB",426
"M5Y4NB",496
"M6Y4NB",139
"M7Y4NB",539
"M8Y4NB",385
"M1Y5NB",1215
"M2Y5NB",993
"M3Y5NB",596
"M4Y5NB",442
"M5Y5NB",523
"M6Y5NB",146
"M7Y5NB",547
"M8Y5NB",393
