ModYearReg,MA UnitSold
"M1Y1MB",1924
"M2Y1MB",1541
"M3Y1MB",1031
"M4Y1MB",521
"M5Y1MB",453
"M6Y1MB",465
"M7Y1MB",931
"M8Y1MB",762
"M1Y2MB",1948
"M2Y2MB",1593
"M3Y2MB",1086
"M4Y2MB",579
"M5Y2MB",456
"M6Y2MB",473
"M7Y2MB",949
"M8Y2MB",863
"M1Y3MB",2031
"M2Y3MB",1665
"M3Y3MB",1193
"M4Y3MB",586
"M5Y3MB",491
"M6Y3MB",486
"M7Y3MB",986
"M8Y3MB",755
"M1Y4MB",2116
"M2Y4MB",1721
"M3Y4MB",1209
"M4Y4MB",588
"M5Y4MB",504
"M6Y4MB",539
"M7Y4MB",1011
"M8Y4MB",764
"M1Y5MB",2154
"M2Y5MB",1764
"M3Y5MB",1239
"M4Y5MB",593
"M5Y5MB",516
"M6Y5MB",549
"M7Y5MB",1121
"M8Y5MB",715
