ModYear,Model,Price,SalesYear
"M1Y1","Corolla",16950,2016
"M2Y1","Camry",23795,2016
"M3Y1","Prius",23215,2016
"M4Y1","Sienna",21133,2016
"M5Y1","Tacoma",25650,2016
"M6Y1","Yaris",19650,2016
"M7Y1","RAV4",24005,2016
"M1Y2","Corolla",20890,2017
"M2Y2","Camry",24505,2017
"M3Y2","Prius",25995,2017
"M4Y2","Sienna",30000,2017
"M5Y2","Tacoma",28345,2017
"M6Y2","Yaris",20200,2017
"M7Y2","RAV4",25245,2017
"M1Y3","Corolla",22680,2018
"M2Y3","Camry",25070,2018
"M3Y3","Prius",27055,2018
"M4Y3","Sienna",30690,2018
"M5Y3","Tacoma",32225,2018
"M6Y3","Yaris",21545,2018
"M7Y3","RAV4",27395,2018
"M1Y4","Corolla",23360,2019
"M2Y4","Camry",25822,2019
"M3Y4","Prius",28137,2019
"M4Y4","Sienna",31610,2019
"M5Y4","Tacoma",33514,2019
"M6Y4","Yaris",22191,2019
"M7Y4","RAV4",28490,2019
"M1Y5","Corolla",24062,2020
"M2Y5","Camry",26596,2020
"M3Y5","Prius",28981,2020
"M4Y5","Sienna",32559,2020
"M5Y5","Tacoma",34519,2020
"M6Y5","Yaris",22857,2020
"M7Y5","RAV4",29345,2020
