ModYearReg,NT UnitSold
"M1Y1NT",31
"M2Y1NT",29
"M3Y1NT",11
"M4Y1NT",5
"M5Y1NT",15
"M6Y1NT",3
"M7Y1NT",43
"M8Y1NT",112
"M1Y2NT",33
"M2Y2NT",30
"M3Y2NT",11
"M4Y2NT",5
"M5Y2NT",17
"M6Y2NT",4
"M7Y2NT",45
"M8Y2NT",114
"M1Y3NT",34
"M2Y3NT",31
"M3Y3NT",9
"M4Y3NT",6
"M5Y3NT",20
"M6Y3NT",4
"M7Y3NT",49
"M8Y3NT",114
"M1Y4NT",37
"M2Y4NT",33
"M3Y4NT",11
"M4Y4NT",8
"M5Y4NT",19
"M6Y4NT",3
"M7Y4NT",56
"M8Y4NT",109
"M1Y5NT",36
"M2Y5NT",35
"M3Y5NT",10
"M4Y5NT",9
"M5Y5NT",22
"M6Y5NT",2
"M7Y5NT",55
"M8Y5NT",113
