ModYearReg,NF UnitSold
"M1Y1NL",924
"M2Y1NL",710
"M3Y1NL",312
"M4Y1NL",189
"M5Y1NL",231
"M6Y1NL",53
"M7Y1NL",203
"M8Y1NL",261
"M1Y2NL",946
"M2Y2NL",731
"M3Y2NL",329
"M4Y2NL",195
"M5Y2NL",249
"M6Y2NL",62
"M7Y2NL",222
"M8Y2NL",269
"M1Y3NL",959
"M2Y3NL",734
"M3Y3NL",336
"M4Y3NL",203
"M5Y3NL",253
"M6Y3NL",72
"M7Y3NL",241
"M8Y3NL",299
"M1Y4NL",969
"M2Y4NL",748
"M3Y4NL",356
"M4Y4NL",226
"M5Y4NL",279
"M6Y4NL",89
"M7Y4NL",279
"M8Y4NL",249
"M1Y5NL",971
"M2Y5NL",753
"M3Y5NL",364
"M4Y5NL",246
"M5Y5NL",286
"M6Y5NL",91
"M7Y5NL",286
"M8Y5NL",273
