ModelID,YearID,PK
"M1","Y1","M1Y1"
"M1","Y2","M1Y2"
"M1","Y3","M1Y3"
"M1","Y4","M1Y4"
"M1","Y5","M1Y5"
"M2","Y1","M2Y1"
"M2","Y2","M2Y2"
"M2","Y3","M2Y3"
"M2","Y4","M2Y4"
"M2","Y5","M2Y5"
"M3","Y1","M3Y1"
"M3","Y2","M3Y2"
"M3","Y3","M3Y3"
"M3","Y4","M3Y4"
"M3","Y5","M3Y5"
"M4","Y1","M4Y1"
"M4","Y2","M4Y2"
"M4","Y3","M4Y3"
"M4","Y4","M4Y4"
"M4","Y5","M4Y5"
"M5","Y1","M5Y1"
"M5","Y2","M5Y2"
"M5","Y3","M5Y3"
"M5","Y4","M5Y4"
"M5","Y5","M5Y5"
"M6","Y1","M6Y1"
"M6","Y2","M6Y2"
"M6","Y3","M6Y3"
"M6","Y4","M6Y4"
"M6","Y5","M6Y5"
"M7","Y1","M7Y1"
"M7","Y2","M7Y2"
"M7","Y3","M7Y3"
"M7","Y4","M7Y4"
"M7","Y5","M7Y5"
"M8","Y1","M8Y1"
"M8","Y2","M8Y2"
"M8","Y3","M8Y3"
"M8","Y4","M8Y4"
"M8","Y5","M8Y5"
