ModYearReg,QU UnitSold
"M1Y1QC",7571
"M2Y1QC",7789
"M3Y1QC",7321
"M4Y1QC",5531
"M5Y1QC",4755
"M6Y1QC",4321
"M7Y1QC",6474
"M8Y1QC",3124
"M1Y2QC",7894
"M2Y2QC",8134
"M3Y2QC",7951
"M4Y2QC",5780
"M5Y2QC",5126
"M6Y2QC",4741
"M7Y2QC",6954
"M8Y2QC",2267
"M1Y3QC",8221
"M2Y3QC",8146
"M3Y3QC",8203
"M4Y3QC",6231
"M5Y3QC",5178
"M6Y3QC",4374
"M7Y3QC",7139
"M8Y3QC",2870
"M1Y4QC",8345
"M2Y4QC",8245
"M3Y4QC",8354
"M4Y4QC",6456
"M5Y4QC",5247
"M6Y4QC",4684
"M7Y4QC",7234
"M8Y4QC",3390
"M1Y5QC",8479
"M2Y5QC",8391
"M3Y5QC",8547
"M4Y5QC",6796
"M5Y5QC",5761
"M6Y5QC",4835
"M7Y5QC",7431
"M8Y5QC",2936
