ModYearReg,PEI UnitSold
"M1Y1PE",121
"M2Y1PE",141
"M3Y1PE",46
"M4Y1PE",87
"M5Y1PE",97
"M6Y1PE",25
"M7Y1PE",102
"M8Y1PE",250
"M1Y2PE",129
"M2Y2PE",143
"M3Y2PE",49
"M4Y2PE",93
"M5Y2PE",101
"M6Y2PE",29
"M7Y2PE",106
"M8Y2PE",255
"M1Y3PE",132
"M2Y3PE",145
"M3Y3PE",53
"M4Y3PE",97
"M5Y3PE",105
"M6Y3PE",33
"M7Y3PE",110
"M8Y3PE",258
"M1Y4PE",144
"M2Y4PE",149
"M3Y4PE",57
"M4Y4PE",98
"M5Y4PE",107
"M6Y4PE",34
"M7Y4PE",113
"M8Y4PE",261
"M1Y5PE",151
"M2Y5PE",153
"M3Y5PE",58
"M4Y5PE",101
"M5Y5PE",109
"M6Y5PE",36
"M7Y5PE",115
"M8Y5PE",262
