ModYearReg,NS UnitSold
"M1Y1NS",1424
"M2Y1NS",1041
"M3Y1NS",601
"M4Y1NS",401
"M5Y1NS",553
"M6Y1NS",225
"M7Y1NS",731
"M8Y1NS",362
"M1Y2NS",1439
"M2Y2NS",1086
"M3Y2NS",623
"M4Y2NS",429
"M5Y2NS",573
"M6Y2NS",239
"M7Y2NS",789
"M8Y2NS",383
"M1Y3NS",1489
"M2Y3NS",1123
"M3Y3NS",646
"M4Y3NS",459
"M5Y3NS",611
"M6Y3NS",261
"M7Y3NS",801
"M8Y3NS",344
"M1Y4NS",1498
"M2Y4NS",1143
"M3Y4NS",658
"M4Y4NS",467
"M5Y4NS",633
"M6Y4NS",279
"M7Y4NS",859
"M8Y4NS",378
"M1Y5NS",1509
"M2Y5NS",1163
"M3Y5NS",649
"M4Y5NS",473
"M5Y5NS",644
"M6Y5NS",293
"M7Y5NS",974
"M8Y5NS",349
