ModYearReg,ON UnitSold
"M1Y1ON",15473
"M2Y1ON",11158
"M3Y1ON",10521
"M4Y1ON",9351
"M5Y1ON",13231
"M6Y1ON",9542
"M7Y1ON",8456
"M8Y1ON",3284
"M1Y2ON",16621
"M2Y2ON",12321
"M3Y2ON",11624
"M4Y2ON",9121
"M5Y2ON",12321
"M6Y2ON",10021
"M7Y2ON",9321
"M8Y2ON",3055
"M1Y3ON",16751
"M2Y3ON",13124
"M3Y3ON",12197
"M4Y3ON",9456
"M5Y3ON",13354
"M6Y3ON",9547
"M7Y3ON",9340
"M8Y3ON",3254
"M1Y4ON",17124
"M2Y4ON",13457
"M3Y4ON",12341
"M4Y4ON",9521
"M5Y4ON",13831
"M6Y4ON",10531
"M7Y4ON",9845
"M8Y4ON",3124
"M1Y5ON",17564
"M2Y5ON",13761
"M3Y5ON",12431
"M4Y5ON",9874
"M5Y5ON",14021
"M6Y5ON",10958
"M7Y5ON",10121
"M8Y5ON",3154
