SalesOrderNumber,SalesOrderLineNumber,SalesReasonKey
"SO51176",1,1
"SO51178",1,1
"SO51179",1,1
"SO51180",1,1
"SO51181",1,1
"SO51182",1,1
"SO51183",1,1
"SO51184",1,1
"SO51185",1,1
"SO51187",1,1
"SO51189",1,1
"SO51190",1,1
"SO51191",1,1
"SO51193",1,1
"SO51194",1,1
"SO51195",1,1
"SO51196",1,1
"SO51197",1,1
"SO51198",1,1
"SO51199",1,1
"SO51203",1,1
"SO51205",1,1
"SO51206",1,1
"SO51207",1,1
"SO51209",1,1
"SO51211",1,1
"SO51212",1,1
"SO51214",1,1
"SO51216",1,1
"SO51217",1,1
"SO51219",1,1
"SO51220",1,1
"SO51221",1,1
"SO51222",1,1
"SO51223",1,1
"SO51225",1,1
"SO51227",1,1
"SO51228",1,1
"SO51230",1,1
"SO51231",1,1
"SO51237",1,1
"SO51241",1,1
"SO51243",1,1
"SO51244",1,1
"SO51245",1,1
"SO51246",1,1
"SO51247",1,1
"SO51249",1,1
"SO51250",1,1
"SO51252",1,1
"SO51253",1,1
"SO51254",1,1
"SO51255",1,1
"SO51256",1,1
"SO51259",1,1
"SO51260",1,1
"SO51262",1,1
"SO51263",1,1
"SO51264",1,1
"SO51265",1,1
"SO51267",1,1
"SO51268",1,1
"SO51269",1,1
"SO51270",1,1
"SO51271",1,1
"SO51274",1,1
"SO51275",1,1
"SO51276",1,1
"SO51278",1,1
"SO51282",1,1
"SO51283",1,1
"SO51284",1,1
"SO51285",1,1
"SO51286",1,1
"SO51287",1,1
"SO51288",1,1
"SO51289",1,1
"SO51290",1,1
"SO51291",1,1
"SO51294",1,1
"SO51297",1,1
"SO51298",1,1
"SO51301",1,1
"SO51303",1,1
"SO51304",1,1
"SO51306",1,1
"SO51307",1,1
"SO51308",1,1
"SO51309",1,1
"SO51311",1,1
"SO51312",1,1
"SO51314",1,1
"SO51315",1,1
"SO51316",1,1
"SO51317",1,1
"SO51318",1,1
"SO51319",1,1
"SO51321",1,1
"SO51322",1,1
"SO51325",1,1
"SO51327",1,1
"SO51329",1,1
"SO51331",1,1
"SO51333",1,1
"SO51335",1,1
"SO51336",1,1
"SO51339",1,1
"SO51340",1,1
"SO51341",1,1
"SO51343",1,1
"SO51344",1,1
"SO51345",1,1
"SO51346",1,1
"SO51347",1,1
"SO51349",1,1
"SO51352",1,1
"SO51353",1,1
"SO51355",1,1
"SO51356",1,1
"SO51357",1,1
"SO51358",1,1
"SO51359",1,1
"SO51360",1,1
"SO51361",1,1
"SO51362",1,1
"SO51363",1,1
"SO51365",1,1
"SO51367",1,1
"SO51369",1,1
"SO51370",1,1
"SO51371",1,1
"SO51372",1,1
"SO51378",1,1
"SO51379",1,1
"SO51380",1,1
"SO51384",1,1
"SO51385",1,1
"SO51386",1,1
"SO51387",1,1
"SO51389",1,1
"SO51390",1,1
"SO51391",1,1
"SO51392",1,1
"SO51397",1,1
"SO51399",1,1
"SO51401",1,1
"SO51402",1,1
"SO51404",1,1
"SO51405",1,1
"SO51406",1,1
"SO51407",1,1
"SO51408",1,1
"SO51409",1,1
"SO51410",1,1
"SO51411",1,1
"SO51412",1,1
"SO51413",1,1
"SO51414",1,1
"SO51415",1,1
"SO51417",1,1
"SO51418",1,1
"SO51419",1,1
"SO51420",1,1
"SO51422",1,1
"SO51423",1,1
"SO51424",1,1
"SO51428",1,1
"SO51430",1,1
"SO51431",1,1
"SO51432",1,1
"SO51435",1,1
"SO51437",1,1
"SO51439",1,1
"SO51441",1,1
"SO51442",1,1
"SO51443",1,1
"SO51444",1,1
"SO51445",1,1
"SO51447",1,1
"SO51448",1,1
"SO51452",1,1
"SO51453",1,1
"SO51454",1,1
"SO51455",1,1
"SO51456",1,1
"SO51457",1,1
"SO51458",1,1
"SO51459",1,1
"SO51460",1,1
"SO51461",1,1
"SO51462",1,1
"SO51465",1,1
"SO51466",1,1
"SO51467",1,1
"SO51469",1,1
"SO51472",1,1
"SO51473",1,1
"SO51474",1,1
"SO51475",1,1
"SO51476",1,1
"SO51478",1,1
"SO51479",1,1
"SO51480",1,1
"SO51481",1,1
"SO51483",1,1
"SO51485",1,1
"SO51486",1,1
"SO51487",1,1
"SO51488",1,1
"SO51489",1,1
"SO51490",1,1
"SO51492",1,1
"SO51493",1,1
"SO51494",1,1
"SO51495",1,1
"SO51496",1,1
"SO51497",1,1
"SO51500",1,1
"SO51502",1,1
"SO51506",1,1
"SO51507",1,1
"SO51509",1,1
"SO51511",1,1
"SO51512",1,1
"SO51513",1,1
"SO51514",1,1
"SO51517",1,1
"SO51518",1,1
"SO51520",1,1
"SO51522",1,1
"SO51523",1,1
"SO51524",1,1
"SO51528",1,1
"SO51529",1,1
"SO51531",1,1
"SO51534",1,1
