OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost
SO - 000347,2019-03-01 00:00:00.000,48,Distributor,AUD,AXW291,15,10,9,951.4,8562.6,599.382
SO - 0005890,2020-12-18 00:00:00.000,52,Distributor,CAD,GUT930,44,4,7,2003.3,14023.1,901.485
SO - 0005648,2020-11-19 00:00:00.000,48,Distributor,AUD,AXW291,9,10,6,2626.4,15758.4,1785.9520000000002
SO - 0007623,2021-07-08 00:00:00.000,64,Export,GBP,GUT930,42,6,7,4006.6,28046.2,3165.214
SO - 0002510,2019-11-08 00:00:00.000,136,Wholesale,USD,GUT930,45,8,8,3008.3,24066.4,1263.486
SO - 0005432,2020-10-24 00:00:00.000,48,Distributor,CAD,NXH382,51,2,6,5380.1,32280.6,2205.841
SO - 0005240,2020-10-02 00:00:00.000,11,Wholesale,USD,AXW291,6,6,7,2546.0,17822.0,1476.6799999999998
SO - 0008062,2021-08-29 00:00:00.000,1,Wholesale,GBP,NXH382,50,2,10,3892.7,38927.0,2724.89
SO - 0005394,2020-10-21 00:00:00.000,37,Wholesale,USD,FLR025,64,10,5,1232.8,6164.0,715.0239999999999
SO - 0001681,2019-08-07 00:00:00.000,106,Wholesale,GBP,AXW291,5,2,8,1118.9,8951.2,458.749
SO - 0006208,2021-01-25 00:00:00.000,118,Wholesale,USD,NXH382,52,15,6,1152.4,6914.4000000000015,576.2
SO - 0004469,2020-07-04 00:00:00.000,83,Wholesale,CHF,FLR025,64,2,10,3872.6,38726.0,2284.834
SO - 0002630,2019-11-24 00:00:00.000,165,Wholesale,JPY,AXW291,29,6,6,2412.0,14472.0,1061.28
SO - 0003330,2020-02-12 00:00:00.000,9,Export,EUR,AXW291,2,13,9,1306.5,11758.5,535.665
SO - 0003291,2020-02-08 00:00:00.000,6,Wholesale,CHF,FLR025,65,6,9,1038.5,9346.5,612.7149999999999
SO - 000600,2019-03-31 00:00:00.000,126,Wholesale,JPY,GUT930,34,6,8,790.6,6324.8,672.01
SO - 0002610,2019-11-23 00:00:00.000,137,Wholesale,USD,AXW291,2,8,10,1788.9,17889.0,751.338
SO - 000487,2019-03-18 00:00:00.000,10,Distributor,CAD,AXW291,14,2,9,2318.2000000000003,20863.800000000003,1738.65
