RouteID,StartRoute,MiddleRoute,EndRoute,RailUse,Personalizado,Combinada,Combinada1,Combinada2,Directo
Route0045,Plant001,DC004,Customer005,1,Rail,Plant001 - DC004 - Customer005 - Rail,Plant001 - DC004 - Rail,DC004 - Customer005 - Rail,Plant001 - Customer005
Route0048,Plant001,DC003,Customer005,0,Road,Plant001 - DC003 - Customer005 - Road,Plant001 - DC003 - Road,DC003 - Customer005 - Road,Plant001 - Customer005
Route005,Plant002,DC002,Customer001,0,Road,Plant002 - DC002 - Customer001 - Road,Plant002 - DC002 - Road,DC002 - Customer001 - Road,Plant002 - Customer001
Route0056,Plant002,DC005,Customer006,1,Rail,Plant002 - DC005 - Customer006 - Rail,Plant002 - DC005 - Rail,DC005 - Customer006 - Rail,Plant002 - Customer006
Route0027,Plant003,DC002,Customer002,1,Rail,Plant003 - DC002 - Customer002 - Rail,Plant003 - DC002 - Rail,DC002 - Customer002 - Rail,Plant003 - Customer002
Route0065,Plant001,DC001,Customer006,1,Rail,Plant001 - DC001 - Customer006 - Rail,Plant001 - DC001 - Rail,DC001 - Customer006 - Rail,Plant001 - Customer006
Route0074,Plant001,DC005,Customer007,1,Rail,Plant001 - DC005 - Customer007 - Rail,Plant001 - DC005 - Rail,DC005 - Customer007 - Rail,Plant001 - Customer007
Route0011,Plant002,DC001,Customer001,0,Road,Plant002 - DC001 - Customer001 - Road,Plant002 - DC001 - Road,DC001 - Customer001 - Road,Plant002 - Customer001
Route0041,Plant003,DC001,Customer003,1,Rail,Plant003 - DC001 - Customer003 - Rail,Plant003 - DC001 - Rail,DC001 - Customer003 - Rail,Plant003 - Customer003
Route00108,Plant002,DC004,Customer007,1,Rail,Plant002 - DC004 - Customer007 - Rail,Plant002 - DC004 - Rail,DC004 - Customer007 - Rail,Plant002 - Customer007
Route0019,Plant002,DC002,Customer002,0,Road,Plant002 - DC002 - Customer002 - Road,Plant002 - DC002 - Road,DC002 - Customer002 - Road,Plant002 - Customer002
Route0063,Plant001,DC002,Customer006,1,Rail,Plant001 - DC002 - Customer006 - Rail,Plant001 - DC002 - Rail,DC002 - Customer006 - Rail,Plant001 - Customer006
Route0012,Plant002,DC004,Customer001,1,Rail,Plant002 - DC004 - Customer001 - Rail,Plant002 - DC004 - Rail,DC004 - Customer001 - Rail,Plant002 - Customer001
Route0037,Plant001,DC001,Customer003,1,Rail,Plant001 - DC001 - Customer003 - Rail,Plant001 - DC001 - Rail,DC001 - Customer003 - Rail,Plant001 - Customer003
Route0090,Plant003,DC001,Customer002,1,Rail,Plant003 - DC001 - Customer002 - Rail,Plant003 - DC001 - Rail,DC001 - Customer002 - Rail,Plant003 - Customer002
Route0092,Plant001,DC004,Customer002,0,Road,Plant001 - DC004 - Customer002 - Road,Plant001 - DC004 - Road,DC004 - Customer002 - Road,Plant001 - Customer002
Route00110,Plant001,DC001,Customer007,1,Rail,Plant001 - DC001 - Customer007 - Rail,Plant001 - DC001 - Rail,DC001 - Customer007 - Rail,Plant001 - Customer007
