_modifiedby_value,createdon,versionnumber,_modifiedonbehalfby_value,utcconversiontimezonecode,nadb_statuscode,nadb_statuspoints,nadb_indicatorname_status,_createdonbehalfby_value,nadb_name2,importsequencenumber,_owningbusinessunit_value,nadb_statuspoints2,_nadb_riskindicator_value,statuscode,overriddencreatedon,modifiedon,_owningteam_value,_createdby_value,_owninguser_value,timezoneruleversionnumber,nadb_statusname,statecode,nadb_variablerange,nadb_creditriskstatusid,_ownerid_value,_nadb_statusmethodology_value
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:52.000,12032424,"",,"Parent corporate guaranty supported on a rating below BBB",,"There is a 100% funded Debt Service Reserve Fund in place","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"e39930ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:06:59.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"1.10.3",0,"","c27f9979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:52.000,12032398,"",,"Level 2: Neutral",,"Sector Outlook","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"e59930ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:06:59.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"1.11.2",0,"","c87f9979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:52.000,12032435,"",,"Level 2: Neutral",,"Project Outlook","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"e79930ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:06:59.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"1.12.2",0,"","ce7f9979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:52.000,12032413,"",,"Has not fallen more than 2 consecutive times in the last 12 months",,"Number of times that the ratio of 6-month rolling actual production to (seasonalized) 6-month rolling P99 probability of exceedance production has fallen below 1.0x in the past 12 months","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"e99930ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:06:59.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"1.2.2",0,"","d47f9979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:52.000,12032412,"",,"Between 1.0x and 1.2x",,"Historical Debt Service Coverage Ratio","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"eb9930ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:06:59.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"1.3.2",0,"","d87f9979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:53.000,12032467,"",,"Level 3: Inexistent and non likely",,"Level of support at the sponsor's corporate level","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"ef9930ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:06:59.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"1.5.3",0,"","e67f9979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:53.000,12032576,"",,"External ISP/OEM or Self Performing Operator with < 3+ YoE & < 500 MW wind or < 100 MW solar",,"Experience of O&M Contractor","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"f39930ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:00.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"1.7.4",0,"","f27f9979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:53.000,12032584,"",,"Without O&M Agreement or Self Operating",,"Term of O&M Agreement","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"f59930ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:00.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"1.8.3",0,"","f87f9979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:53.000,12032624,"",,"Parent corporate guaranty supported on a rating below BBB",,"Additional enhancements in place","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"f79930ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:00.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"1.9.3",0,"","fe7f9979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 17:06:53.000,12032620,"",,"Weak",,"Borrower's Rol in Group","","",107,"b5152e2f-ebcb-e911-a9aa-000d3a14431b",0,"f99930ab-c154-ea11-a813-000d3a4ed0f6",1,,2020-02-21 17:07:00.000,"","c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834",,"10.1.3",0,"","06809979-cc54-ea11-a813-000d3a4edd29","c7205e36-d6ee-42c5-8733-e670621cd834",""
