Category,Subcategory,variable,value
"Agriculture, Food and Rural Affairs (Base)",,Actual                2017–18,384
"Agriculture, Food and Rural Affairs", Federal-Provincial Infrastructure Programs,Actual                2017–18,102
"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments3,Actual                2017–18,195
"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and Time-Limited Programs4,Actual                2017–18,312
"Agriculture, Food and Rural Affairs (Total)5",,Actual                2017–18,993
Attorney General (Base),,Actual                2017–18,1700
Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",Actual                2017–18,42
Attorney General (Total),,Actual                2017–18,1742
Board of Internal Economy (Total),,Actual                2017–18,296
"Children, Community and Social Services (Total)",,Actual                2017–18,16300
Colleges and Universities (Base),,Actual                2017–18,8595
Colleges and Universities, Student Financial Assistance,Actual                2017–18,1663
Colleges and Universities, Time-Limited Infrastructure Funding under the Strategic Investment Fund,Actual                2017–18,209
Colleges and Universities6 (Total),,Actual                2017–18,10467
"Economic Development, Job Creation and Trade (Base)",,Actual                2017–18,418
"Economic Development, Job Creation and Trade", Time-Limited Investments,Actual                2017–18,422
"Economic Development, Job Creation and Trade (Total)",,Actual                2017–18,840
Education (Base),,Actual                2017–18,27265
Education, Teachers’ Pension Plan,Actual                2017–18,1659
Education (Total),,Actual                2017–18,28923
"Energy, Northern Development and Mines (Base)8",,Actual                2017–18,1283
"Energy, Northern Development and Mines", Electricity Cost Relief Programs,Actual                2017–18,2834
"Energy, Northern Development and Mines (Total)",,Actual                2017–18,4117
"Environment, Conservation and Parks (Base)",,Actual                2017–18,706
"Environment, Conservation and Parks", Time-Limited Investments,Actual                2017–18,145
"Environment, Conservation and Parks (Total)",,Actual                2017–18,851
Executive Offices (Base),,Actual                2017–18,37
Executive Offices, Time-Limited Assistance,Actual                2017–18,0
Executive Offices (Total),,Actual                2017–18,37
Finance (Base),,Actual                2017–18,843
Finance, Time-Limited Investments,Actual                2017–18,0
Finance, Investment Management Corporation of Ontario9,Actual                2017–18,0
Finance, Ontario Municipal Partnership Fund,Actual                2017–18,506
Finance, Power Supply Contract Costs,Actual                2017–18,191
Finance, COVID‑19 Response: Support for People and Jobs Fund,Actual                2017–18,0
Finance (Total),,Actual                2017–18,1540
Francophone Affairs (Total),,Actual                2017–18,6
Government and Consumer Services (Base),,Actual                2017–18,668
Government and Consumer Services, Realty,Actual                2017–18,982
Government and Consumer Services (Total),,Actual                2017–18,1650
Health (Total),,Actual                2017–18,54982
COVID‑19 Response Including COVID‑19 Health Contingency Fund10,,Actual                2017–18,0
"Heritage, Sport, Tourism and Culture Industries (Base)",,Actual                2017–18,940
"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits,Actual                2017–18,509
"Heritage, Sport, Tourism and Culture Industries", Ontario Cultural Media Tax Credits – Amounts Related to Prior Years,Actual                2017–18,145
"Heritage, Sport, Tourism and Culture Industries11 (Total)",,Actual                2017–18,1594
Indigenous Affairs (Base),,Actual                2017–18,86
Indigenous Affairs, One-Time Investments including Settlements,Actual                2017–18,1122
Indigenous Affairs (Total),,Actual                2017–18,1208
Infrastructure (Base),,Actual                2017–18,227
Infrastructure, Federal–Provincial Infrastructure Programs,Actual                2017–18,248
Infrastructure, Waterfront Toronto Revitalization (Port Lands Flood Protection),Actual                2017–18,0
Infrastructure, Municipal Infrastructure Program Investments12,Actual                2017–18,0
Infrastructure (Total),,Actual                2017–18,475
"Labour, Training and Skills Development (Base)",,Actual                2017–18,128
"Labour, Training and Skills Development", Co-op Education and Apprenticeship Tax Credits13,Actual                2017–18,208
"Labour, Training and Skills Development", Demand-Driven Employment and Training Programs,Actual                2017–18,916
"Labour, Training and Skills Development14 (Total)",,Actual                2017–18,1253
Long-Term Care (Total),,Actual                2017–18,4163
Municipal Affairs and Housing (Base),,Actual                2017–18,417
Municipal Affairs and Housing, Safe Restart Agreement,Actual                2017–18,0
Municipal Affairs and Housing, Time-Limited Investments,Actual                2017–18,559
Municipal Affairs and Housing, Social Housing Agreement – Payments to Service Managers15,Actual                2017–18,392
Municipal Affairs and Housing (Total),,Actual                2017–18,1368
Natural Resources and Forestry (Base),,Actual                2017–18,609
Natural Resources and Forestry, Emergency Forest Firefighting,Actual                2017–18,117
Natural Resources and Forestry (Total),,Actual                2017–18,726
Seniors and Accessibility (Base),,Actual                2017–18,48
Seniors and Accessibility, Time-Limited Investments,Actual                2017–18,0
Seniors and Accessibility (Total),,Actual                2017–18,48
Solicitor General (Total),,Actual                2017–18,2561
Transportation (Base),,Actual                2017–18,4184
Transportation, Safe Restart Agreement,Actual                2017–18,0
Transportation, Federal–Provincial Infrastructure Programs,Actual                2017–18,404
Transportation (Total),,Actual                2017–18,4588
Treasury Board Secretariat (Base),,Actual                2017–18,194
Treasury Board Secretariat, Employee and Pensioner Benefits17,Actual                2017–18,1442
Treasury Board Secretariat, Operating Contingency Fund,Actual                2017–18,0
Treasury Board Secretariat, Capital Contingency Fund,Actual                2017–18,0
Treasury Board Secretariat (Total),,Actual                2017–18,1636
Interest on Debt18,,Actual                2017–18,11903
Total Expense,,Actual                2017–18,154266
"Agriculture, Food and Rural Affairs (Base)",,Actual                2018–19,330
"Agriculture, Food and Rural Affairs", Federal-Provincial Infrastructure Programs,Actual                2018–19,96
"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments3,Actual                2018–19,257
"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and Time-Limited Programs4,Actual                2018–19,383
"Agriculture, Food and Rural Affairs (Total)5",,Actual                2018–19,1065
