Ministry    Expense,variable,value
Aboriginal Affairs1,2013–14,63
"Agriculture, Food and Rural Affairs1",2013–14,800
Attorney General,2013–14,"1,812"
Board of Internal Economy2,2013–14,199
Children and Youth Services,2013–14,"3,973"
"Citizenship, Immigration and International    Trade",2013–14,152
Community and Social Services,2013–14,"9,977"
Community Safety and Correctional Services1,2013–14,"2,380"
"Economic Development, Employment and    Infrastructure / Research and Innovation1",2013–14,992
Education1,2013–14,"23,645"
Energy1,2013–14,311
Environment and Climate Change1,2013–14,480
Executive Offices,2013–14,30
Finance1,2013–14,907
"Francophone Affairs, Office of",2013–14,5
Government and Consumer Services,2013–14,594
Health and Long-Term Care,2013–14,"48,933"
Labour,2013–14,303
Municipal Affairs and Housing1,2013–14,845
Natural Resources and Forestry1,2013–14,720
Northern Development and Mines,2013–14,719
"Tourism, Culture and Sport1",2013–14,"1,337"
"Training, Colleges and Universities",2013–14,"7,599"
Transportation1,2013–14,"2,823"
Treasury Board Secretariat1,2013–14,222
Interest on Debt3,2013–14,"10,572"
Other Expense1,2013–14,"5,972"
Year-End Savings4,2013–14,–
Total Expense,2013–14,"126,364"
Aboriginal    Affairs - One-Time Investments including Settlements,2013–14,12
Aboriginal    Affairs -  Green Investment Fund Initiatives,2013–14,–
"Agriculture,    Food and Rural Affairs - Time-Limited Investments in Infrastructure",2013–14,132
"Agriculture,    Food and Rural Affairs - Time-Limited Assistance",2013–14,17
Community    Safety and Correctional Services - Time-Limited    Support for 2015 Pan/Parapan American Games Security,2013–14,5
"Economic    Development, Employment and Infrastructure / Research and Innovation - Green Investment Fund Initiatives",2013–14,–
"Economic    Development, Employment and Infrastructure / Research and Innovation - Federal–Provincial Infrastructure Programs",2013–14,–
Education - Teachers’ Pension Plan1,2013–14,873
Energy - Green Investment Fund Initiatives,2013–14,–
Energy - Ontario Clean Energy Benefit,2013–14,"1,006"
Energy - Strategic    Asset Management and Transformation Related to Hydro One,2013–14,–
Environment    and Climate Change - Green Investment Fund Initiatives,2013–14,–
Finance - Ontario Municipal Partnership Fund,2013–14,569
Finance - Power Supply Contract Costs,2013–14,"1,296"
Municipal    Affairs and Housing - Green    Investment Fund Initiatives,2013–14,–
"Municipal    Affairs and Housing - Time-Limited    Investments in Municipal, Social and Affordable Housing",2013–14,155
Municipal    Affairs and Housing - Time-Limited Investments,2013–14,208
Natural    Resources and Forestry - Emergency Forest Firefighting,2013–14,92
"Tourism,    Culture and Sport - Time-Limited    Investments to Support 2015 Pan/ Parapan American Games",2013–14,332
Transportation - Green Investment Fund Initiatives,2013–14,–
Treasury    Board Secretariat - Capital Contingency Fund,2013–14,–
Treasury    Board Secretariat - Operating Contingency Fund,2013–14,–
Treasury    Board Secretariat - Employee and Pensioner Benefits,2013–14,"1,275"
Total Other Expense,2013–14,"5,972"
Aboriginal Affairs1,Actual 2014–15,67
"Agriculture, Food and Rural Affairs1",Actual 2014–15,805
Attorney General,Actual 2014–15,"1,782"
Board of Internal Economy2,Actual 2014–15,264
Children and Youth Services,Actual 2014–15,"4,112"
"Citizenship, Immigration and International    Trade",Actual 2014–15,157
Community and Social Services,Actual 2014–15,"10,551"
Community Safety and Correctional Services1,Actual 2014–15,"2,524"
"Economic Development, Employment and    Infrastructure / Research and Innovation1",Actual 2014–15,"1,076"
Education1,Actual 2014–15,"24,630"
Energy1,Actual 2014–15,326
Environment and Climate Change1,Actual 2014–15,486
Executive Offices,Actual 2014–15,43
Finance1,Actual 2014–15,951
"Francophone Affairs, Office of",Actual 2014–15,5
Government and Consumer Services,Actual 2014–15,573
Health and Long-Term Care,Actual 2014–15,"50,039"
Labour,Actual 2014–15,305
Municipal Affairs and Housing1,Actual 2014–15,889
Natural Resources and Forestry1,Actual 2014–15,714
Northern Development and Mines,Actual 2014–15,804
"Tourism, Culture and Sport1",Actual 2014–15,"1,246"
"Training, Colleges and Universities",Actual 2014–15,"7,684"
Transportation1,Actual 2014–15,"2,944"
Treasury Board Secretariat1,Actual 2014–15,227
Interest on Debt3,Actual 2014–15,"10,635"
Other Expense1,Actual 2014–15,"5,022"
Year-End Savings4,Actual 2014–15,–
Total Expense,Actual 2014–15,"128,860"
Aboriginal    Affairs - One-Time Investments including Settlements,Actual 2014–15,3
Aboriginal    Affairs -  Green Investment Fund Initiatives,Actual 2014–15,–
"Agriculture,    Food and Rural Affairs - Time-Limited Investments in Infrastructure",Actual 2014–15,36
"Agriculture,    Food and Rural Affairs - Time-Limited Assistance",Actual 2014–15,7
Community    Safety and Correctional Services - Time-Limited    Support for 2015 Pan/Parapan American Games Security,Actual 2014–15,44
"Economic    Development, Employment and Infrastructure / Research and Innovation - Green Investment Fund Initiatives",Actual 2014–15,–
"Economic    Development, Employment and Infrastructure / Research and Innovation - Federal–Provincial Infrastructure Programs",Actual 2014–15,–
Education - Teachers’ Pension Plan1,Actual 2014–15,564
Energy - Green Investment Fund Initiatives,Actual 2014–15,–
Energy - Ontario Clean Energy Benefit,Actual 2014–15,"1,078"
Energy - Strategic    Asset Management and Transformation Related to Hydro One,Actual 2014–15,–
Environment    and Climate Change - Green Investment Fund Initiatives,Actual 2014–15,–
Finance - Ontario Municipal Partnership Fund,Actual 2014–15,542
Finance - Power Supply Contract Costs,Actual 2014–15,920
Municipal    Affairs and Housing - Green    Investment Fund Initiatives,Actual 2014–15,–
"Municipal    Affairs and Housing - Time-Limited    Investments in Municipal, Social and Affordable Housing",Actual 2014–15,153
Municipal    Affairs and Housing - Time-Limited Investments,Actual 2014–15,7
Natural    Resources and Forestry - Emergency Forest Firefighting,Actual 2014–15,78
"Tourism,    Culture and Sport - Time-Limited    Investments to Support 2015 Pan/ Parapan American Games",Actual 2014–15,405
Transportation - Green Investment Fund Initiatives,Actual 2014–15,–
Treasury    Board Secretariat - Capital Contingency Fund,Actual 2014–15,–
Treasury    Board Secretariat - Operating Contingency Fund,Actual 2014–15,–
Treasury    Board Secretariat - Employee and Pensioner Benefits,Actual 2014–15,"1,186"
Total Other Expense,Actual 2014–15,"5,022"
Aboriginal Affairs1,Interim 2015–16,74.8
"Agriculture, Food and Rural Affairs1",Interim 2015–16,943.2
Attorney General,Interim 2015–16,"1,816.5"
Board of Internal Economy2,Interim 2015–16,220.1
Children and Youth Services,Interim 2015–16,"4,257.6"
"Citizenship, Immigration and International    Trade",Interim 2015–16,169.4
Community and Social Services,Interim 2015–16,"11,304.6"
Community Safety and Correctional Services1,Interim 2015–16,"2,537.5"
"Economic Development, Employment and    Infrastructure / Research and Innovation1",Interim 2015–16,"1,195.4"
Education1,Interim 2015–16,"24,801.4"
Energy1,Interim 2015–16,329.9
Environment and Climate Change1,Interim 2015–16,502.6
Executive Offices,Interim 2015–16,36.7
Finance1,Interim 2015–16,960.6
"Francophone Affairs, Office of",Interim 2015–16,8.4
Government and Consumer Services,Interim 2015–16,610.0
Health and Long-Term Care,Interim 2015–16,"50,785.4"
Labour,Interim 2015–16,307.5
Municipal Affairs and Housing1,Interim 2015–16,916.9
Natural Resources and Forestry1,Interim 2015–16,710.6
Northern Development and Mines,Interim 2015–16,740.8
"Tourism, Culture and Sport1",Interim 2015–16,"1,262.3"
"Training, Colleges and Universities",Interim 2015–16,"7,782.1"
Transportation1,Interim 2015–16,"3,365.5"
Treasury Board Secretariat1,Interim 2015–16,220.5
Interest on Debt3,Interim 2015–16,"11,200.0"
Other Expense1,Interim 2015–16,"5,022.8"
Year-End Savings4,Interim 2015–16,–
Total Expense,Interim 2015–16,"132,083.2"
Aboriginal    Affairs - One-Time Investments including Settlements,Interim 2015–16,4.5
Aboriginal    Affairs -  Green Investment Fund Initiatives,Interim 2015–16,5.0
"Agriculture,    Food and Rural Affairs - Time-Limited Investments in Infrastructure",Interim 2015–16,21.2
"Agriculture,    Food and Rural Affairs - Time-Limited Assistance",Interim 2015–16,–
Community    Safety and Correctional Services - Time-Limited    Support for 2015 Pan/Parapan American Games Security,Interim 2015–16,123.5
"Economic    Development, Employment and Infrastructure / Research and Innovation - Green Investment Fund Initiatives",Interim 2015–16,99.0
"Economic    Development, Employment and Infrastructure / Research and Innovation - Federal–Provincial Infrastructure Programs",Interim 2015–16,–
Education - Teachers’ Pension Plan1,Interim 2015–16,112.0
Energy - Green Investment Fund Initiatives,Interim 2015–16,108.0
Energy - Ontario Clean Energy Benefit,Interim 2015–16,860.0
Energy - Strategic    Asset Management and Transformation Related to Hydro One,Interim 2015–16,52.0
Environment    and Climate Change - Green Investment Fund Initiatives,Interim 2015–16,1.0
Finance - Ontario Municipal Partnership Fund,Interim 2015–16,512.5
Finance - Power Supply Contract Costs,Interim 2015–16,783.6
Municipal    Affairs and Housing - Green    Investment Fund Initiatives,Interim 2015–16,92.0
"Municipal    Affairs and Housing - Time-Limited    Investments in Municipal, Social and Affordable Housing",Interim 2015–16,163.1
Municipal    Affairs and Housing - Time-Limited Investments,Interim 2015–16,0.3
Natural    Resources and Forestry - Emergency Forest Firefighting,Interim 2015–16,96.1
"Tourism,    Culture and Sport - Time-Limited    Investments to Support 2015 Pan/ Parapan American Games",Interim 2015–16,871.2
Transportation - Green Investment Fund Initiatives,Interim 2015–16,20.0
Treasury    Board Secretariat - Capital Contingency Fund,Interim 2015–16,–
Treasury    Board Secretariat - Operating Contingency Fund,Interim 2015–16,14.6
Treasury    Board Secretariat - Employee and Pensioner Benefits,Interim 2015–16,"1,083.2"
Total Other Expense,Interim 2015–16,"5,022.8"
Aboriginal Affairs1,Plan 2016–17,77.0
"Agriculture, Food and Rural Affairs1",Plan 2016–17,915.9
Attorney General,Plan 2016–17,"1,867.8"
Board of Internal Economy2,Plan 2016–17,219.9
Children and Youth Services,Plan 2016–17,"4,346.1"
