Revenue Category,Revenue Item,variable,value
Taxation Revenue,Personal Income Tax,2018 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Sales Taxes,2018 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Corporations Tax,2018 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Employer Health Tax,2018 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Ontario Health Premium,2018 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Gasoline Tax,2018 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Land Transfer Tax,2018 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Tobacco Tax,2018 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Fuel Tax,2018 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,"Beer, Wine and Spirits Taxes",2018 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Electricity Payments in Lieu of Taxes,2018 Revenue.Revenue Category,Taxation Revenue
Taxation Revenue,Other Taxes,2018 Revenue.Revenue Category,Taxation Revenue
Government of Canada,Canada Health Transfer,2018 Revenue.Revenue Category,Government of Canada
Government of Canada,Canada Social Transfer,2018 Revenue.Revenue Category,Government of Canada
Government of Canada,Equalization,2018 Revenue.Revenue Category,Government of Canada
Government of Canada,Infrastructure Programs,2018 Revenue.Revenue Category,Government of Canada
Government of Canada,Labour Market Programs,2018 Revenue.Revenue Category,Government of Canada
Government of Canada,Other Federal Payments,2018 Revenue.Revenue Category,Government of Canada
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2018 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2018 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Other Fees and Licences,2018 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Reimbursements,2018 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Royalties,2018 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Power Supply Contract Recoveries,2018 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Carbon Allowance Proceeds,2018 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2018 Revenue.Revenue Category,Other Non-Tax Revenue
Other Non-Tax Revenue,Sales and Rentals,2018 Revenue.Revenue Category,Other Non-Tax Revenue
Taxation Revenue,Education Property Tax,2018 Revenue.Revenue Category,Taxation Revenue
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,2018 Revenue.Revenue Category,Other Non-Tax Revenue
Government of Canada,Social Housing Agreement,2018 Revenue.Revenue Category,Government of Canada
Income from Government Business Enterprises,Liquor Control Board of Ontario,2018 Revenue.Revenue Category,Income from Government Business Enterprises
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2018 Revenue.Revenue Category,Income from Government Business Enterprises
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,2018 Revenue.Revenue Category,Taxation Revenue
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,2018 Revenue.Revenue Category,Government of Canada
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",2018 Revenue.Revenue Category,Other Non-Tax Revenue
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,2018 Revenue.Revenue Category,Income from Government Business Enterprises
Income from Government Business Enterprises,Ontario Cannabis Store,2018 Revenue.Revenue Category,
Taxation Revenue,Personal Income Tax,2018 Revenue.Revenue Item,Personal Income Tax
Taxation Revenue,Sales Taxes,2018 Revenue.Revenue Item,Sales Taxes
Taxation Revenue,Corporations Tax,2018 Revenue.Revenue Item,Corporations Tax
Taxation Revenue,Employer Health Tax,2018 Revenue.Revenue Item,Employer Health Tax
Taxation Revenue,Ontario Health Premium,2018 Revenue.Revenue Item,Ontario Health Premium
Taxation Revenue,Gasoline Tax,2018 Revenue.Revenue Item,Gasoline Tax
Taxation Revenue,Land Transfer Tax,2018 Revenue.Revenue Item,Land Transfer Tax
Taxation Revenue,Tobacco Tax,2018 Revenue.Revenue Item,Tobacco Tax
Taxation Revenue,Fuel Tax,2018 Revenue.Revenue Item,Fuel Tax
Taxation Revenue,"Beer, Wine and Spirits Taxes",2018 Revenue.Revenue Item,"Beer, Wine and Spirits Taxes"
Taxation Revenue,Electricity Payments in Lieu of Taxes,2018 Revenue.Revenue Item,Electricity Payments in Lieu of Taxes
Taxation Revenue,Other Taxes,2018 Revenue.Revenue Item,Other Taxes
Government of Canada,Canada Health Transfer,2018 Revenue.Revenue Item,Canada Health Transfer
Government of Canada,Canada Social Transfer,2018 Revenue.Revenue Item,Canada Social Transfer
Government of Canada,Equalization,2018 Revenue.Revenue Item,Equalization
Government of Canada,Infrastructure Programs,2018 Revenue.Revenue Item,Infrastructure Programs
Government of Canada,Labour Market Programs,2018 Revenue.Revenue Item,Labour Market Programs
Government of Canada,Other Federal Payments,2018 Revenue.Revenue Item,Other Federal Payments
