Category,Subcategory,variable,value
Accessibility Directorate of Ontario (Total),,2015–16,15
Advanced Education and Skills Development (Total),,2015–16,9901
"Agriculture, Food and Rural Affairs (Base)",,2015–16,883
"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,2015–16,47
"Agriculture, Food and Rural Affairs (Total)",,2015–16,929
Attorney General (Total),,2015–16,1859
Board of Internal Economy (Total),,2015–16,205
Children and Youth Services (Total),,2015–16,4298
Citizenship and Immigration (Total),,2015–16,102
"Children, Community and Social Services(Base)",,2015–16,11298
"Children, Community and Social Services", Time-Limited Investments in Affordable and Supportive Housing,2015–16,0
"Children, Community and Social Services(Total)",,2015–16,11298
Community Safety and Correctional Services (Base),,2015–16,2565
Community Safety and Correctional Services, Time-Limited Support for 2015 Pan/Parapan American Games Security,2015–16,122
Community Safety and Correctional Services (Total),,2015–16,2687
"Economic Development, Job Creation and Trade (Total)",,2015–16,928
Education (Base),,2015–16,25967
Education, Teachers’ Pension Plan,2015–16,110
Education (Total),,2015–16,26077
"Energy, Northern Development and Mines (Base)",,2015–16,328
"Energy, Northern Development and Mines", Electricity Cost Relief Programs,2015–16,0
"Energy, Northern Development and Mines", Ontario Clean Energy Benefit,2015–16,860
"Energy, Northern Development and Mines", Strategic Asset Management and Transformation Related to Hydro One,2015–16,44
"Energy, Northern Development and Mines (Total)",,2015–16,1232
"Environment, Conservation and Parks",,2015–16,503
Executive Offices (Base),,2015–16,33
Executive Offices, Disaster Relief,2015–16,3
Executive Offices (Total),,2015–16,36
Finance (Base),,2015–16,1048
Finance, Ontario Municipal Partnership Fund,2015–16,513
Finance, Power Supply Contract Costs,2015–16,875
Finance (Total),,2015–16,2436
Francophone Affairs (Total),,2015–16,8
Government and Consumer Services (Total),,2015–16,602
Health and Long-Term Care (Total),,2015–16,54925
Indigenous Affairs (Base),,2015–16,75
Indigenous Affairs, One-Time Investments including Settlements,2015–16,5
Indigenous Affairs (Total),,2015–16,79
Infrastructure (Base),,2015–16,213
Infrastructure, Federal–Provincial Infrastructure Programs,2015–16,0
Infrastructure (Total),,2015–16,213
International Trade (Total),,2015–16,21
"Labour, Training and Skills Development (Total)",,2015–16,305
Municipal Affairs/Housing (Base),,2015–16,923
Municipal Affairs/Housing, Time-Limited Investments,2015–16,1
Municipal Affairs/Housing," Time-Limited Investments in Municipal, Social and Affordable Housing",2015–16,165
Municipal Affairs/Housing (Total),,2015–16,1088
Natural Resources and Forestry (Base),,2015–16,723
Emergency Forest Firefighting,,2015–16,95
Natural Resources and Forestry (Total),,2015–16,818
Northern Development and Mines (Total),,2015–16,701
Seniors Affairs (Total),,2015–16,20
Status of Women (Total),,2015–16,26
"Heritage, Sport, Tourism and Culture Industries (Base)",,2015–16,1431
"Heritage, Sport, Tourism and Culture Industries", Time-Limited Investments to Support 2015 Pan/Parapan American Games,2015–16,839
"Heritage, Sport, Tourism and Culture Industries (Total)",,2015–16,2270
Transportation (Base),,2015–16,3284
Transportation, Time-Limited Investments in Infrastructure,2015–16,0
Transportation (Total),,2015–16,3284
Treasury Board Secretariat (Base),,2015–16,220
Treasury Board Secretariat, Employee and Pensioner Benefits,2015–16,987
Treasury Board Secretariat, Operating Contingency Fund,2015–16,0
Treasury Board Secretariat, Capital Contingency Fund,2015–16,0
Treasury Board Secretariat (Total),,2015–16,1207
Interest on Debt1,,2015–16,11589
Year-End Savings2,,2015–16,0
PRRT Savings,,2015–16,0
Total Expense,,2015–16,139663
Accessibility Directorate of Ontario (Total),,Actual  2016–17,15
Advanced Education and Skills Development (Total),,Actual  2016–17,10131
"Agriculture, Food and Rural Affairs (Base)",,Actual  2016–17,1031
"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,Actual  2016–17,0
"Agriculture, Food and Rural Affairs (Total)",,Actual  2016–17,1031
Attorney General (Total),,Actual  2016–17,1937
Board of Internal Economy (Total),,Actual  2016–17,219
Children and Youth Services (Total),,Actual  2016–17,4439
Citizenship and Immigration (Total),,Actual  2016–17,105
"Children, Community and Social Services(Base)",,Actual  2016–17,11614
"Children, Community and Social Services", Time-Limited Investments in Affordable and Supportive Housing,Actual  2016–17,23
"Children, Community and Social Services(Total)",,Actual  2016–17,11637
Community Safety and Correctional Services (Base),,Actual  2016–17,2681
Community Safety and Correctional Services, Time-Limited Support for 2015 Pan/Parapan American Games Security,Actual  2016–17,0
Community Safety and Correctional Services (Total),,Actual  2016–17,2681
"Economic Development, Job Creation and Trade (Total)",,Actual  2016–17,1073
Education (Base),,Actual  2016–17,26580
Education, Teachers’ Pension Plan,Actual  2016–17,-377
Education (Total),,Actual  2016–17,26204
"Energy, Northern Development and Mines (Base)",,Actual  2016–17,456
"Energy, Northern Development and Mines", Electricity Cost Relief Programs,Actual  2016–17,400
"Energy, Northern Development and Mines", Ontario Clean Energy Benefit,Actual  2016–17,21
"Energy, Northern Development and Mines", Strategic Asset Management and Transformation Related to Hydro One,Actual  2016–17,43
"Energy, Northern Development and Mines (Total)",,Actual  2016–17,920
"Environment, Conservation and Parks",,Actual  2016–17,523
Executive Offices (Base),,Actual  2016–17,48
Executive Offices, Disaster Relief,Actual  2016–17,1
Executive Offices (Total),,Actual  2016–17,49
Finance (Base),,Actual  2016–17,862
Finance, Ontario Municipal Partnership Fund,Actual  2016–17,505
Finance, Power Supply Contract Costs,Actual  2016–17,838
Finance (Total),,Actual  2016–17,2205
Francophone Affairs (Total),,Actual  2016–17,5
Government and Consumer Services (Total),,Actual  2016–17,595
Health and Long-Term Care (Total),,Actual  2016–17,55945
Indigenous Affairs (Base),,Actual  2016–17,128
Indigenous Affairs, One-Time Investments including Settlements,Actual  2016–17,0
Indigenous Affairs (Total),,Actual  2016–17,128
Infrastructure (Base),,Actual  2016–17,161
Infrastructure, Federal–Provincial Infrastructure Programs,Actual  2016–17,8
Infrastructure (Total),,Actual  2016–17,169
International Trade (Total),,Actual  2016–17,29
"Labour, Training and Skills Development (Total)",,Actual  2016–17,308
Municipal Affairs/Housing (Base),,Actual  2016–17,994
Municipal Affairs/Housing, Time-Limited Investments,Actual  2016–17,6
Municipal Affairs/Housing," Time-Limited Investments in Municipal, Social and Affordable Housing",Actual  2016–17,544
Municipal Affairs/Housing (Total),,Actual  2016–17,1544
Natural Resources and Forestry (Base),,Actual  2016–17,751
Emergency Forest Firefighting,,Actual  2016–17,107
Natural Resources and Forestry (Total),,Actual  2016–17,858
Northern Development and Mines (Total),,Actual  2016–17,814
Seniors Affairs (Total),,Actual  2016–17,19
Status of Women (Total),,Actual  2016–17,23
"Heritage, Sport, Tourism and Culture Industries (Base)",,Actual  2016–17,1540
"Heritage, Sport, Tourism and Culture Industries", Time-Limited Investments to Support 2015 Pan/Parapan American Games,Actual  2016–17,0
"Heritage, Sport, Tourism and Culture Industries (Total)",,Actual  2016–17,1540
Transportation (Base),,Actual  2016–17,3636
Transportation, Time-Limited Investments in Infrastructure,Actual  2016–17,0
Transportation (Total),,Actual  2016–17,3636
Treasury Board Secretariat (Base),,Actual  2016–17,233
Treasury Board Secretariat, Employee and Pensioner Benefits,Actual  2016–17,1002
Treasury Board Secretariat, Operating Contingency Fund,Actual  2016–17,0
Treasury Board Secretariat, Capital Contingency Fund,Actual  2016–17,0
Treasury Board Secretariat (Total),,Actual  2016–17,1235
Interest on Debt1,,Actual  2016–17,11709
Year-End Savings2,,Actual  2016–17,0
PRRT Savings,,Actual  2016–17,0
Total Expense,,Actual  2016–17,141725
Accessibility Directorate of Ontario (Total),,Interim  2017–18,19
Advanced Education and Skills Development (Total),,Interim  2017–18,11128
"Agriculture, Food and Rural Affairs (Base)",,Interim  2017–18,931
"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,Interim  2017–18,102
"Agriculture, Food and Rural Affairs (Total)",,Interim  2017–18,1033
Attorney General (Total),,Interim  2017–18,2052
