Item,variable,value
Government of Canada — Canada Health Transfer,2013–14,11940
Government of Canada — Canada Social Transfer,2013–14,4689
Government of Canada — Equalization,2013–14,3169
Government of Canada — Infrastructure Programs,2013–14,123
Government of Canada — Labour Market Programs,2013–14,909
Government of Canada — Social Housing,2013–14,474
Government of Canada — Wait Times Reduction Fund,2013–14,96
Government of Canada — Other Federal Payments,2013–14,877
Total Government of Canada,2013–14,22277
Government of Canada — Canada Health Transfer,Actual 2014–15,12408
Government of Canada — Canada Social Transfer,Actual 2014–15,4847
Government of Canada — Equalization,Actual 2014–15,1988
Government of Canada — Infrastructure Programs,Actual 2014–15,137
Government of Canada — Labour Market Programs,Actual 2014–15,896
Government of Canada — Social Housing,Actual 2014–15,465
Government of Canada — Wait Times Reduction Fund,Actual 2014–15,0
Government of Canada — Other Federal Payments,Actual 2014–15,874
Total Government of Canada,Actual 2014–15,21615
Government of Canada — Canada Health Transfer,Interim 2015–16,13084
Government of Canada — Canada Social Transfer,Interim 2015–16,4984
Government of Canada — Equalization,Interim 2015–16,2363
Government of Canada — Infrastructure Programs,Interim 2015–16,168
Government of Canada — Labour Market Programs,Interim 2015–16,927
Government of Canada — Social Housing,Interim 2015–16,448
Government of Canada — Wait Times Reduction Fund,Interim 2015–16,0
Government of Canada — Other Federal Payments,Interim 2015–16,899
Total Government of Canada,Interim 2015–16,22873
Government of Canada — Canada Health Transfer,Plan 2016–17,13858
Government of Canada — Canada Social Transfer,Plan 2016–17,5128
Government of Canada — Equalization,Plan 2016–17,2304
Government of Canada — Infrastructure Programs,Plan 2016–17,1017
Government of Canada — Labour Market Programs,Plan 2016–17,989
Government of Canada — Social Housing,Plan 2016–17,434
Government of Canada — Wait Times Reduction Fund,Plan 2016–17,0
Government of Canada — Other Federal Payments,Plan 2016–17,914
Total Government of Canada,Plan 2016–17,24644
