Revenue Category,Revenue Item,variable,value
Taxation Revenue,Personal Income Tax,Actual 2016–17,30671
Taxation Revenue,Sales Taxes,Actual 2016–17,24750
Taxation Revenue,Corporations Tax,Actual 2016–17,14872
Taxation Revenue,Education Property Tax,Actual 2016–17,5868
Taxation Revenue,Employer Health Tax,Actual 2016–17,5908
Taxation Revenue,Ontario Health Premium,Actual 2016–17,3575
Taxation Revenue,Gasoline Tax,Actual 2016–17,2626
Taxation Revenue,Land Transfer Tax,Actual 2016–17,2728
Taxation Revenue,Tobacco Tax,Actual 2016–17,1230
Taxation Revenue,Fuel Tax,Actual 2016–17,742
Taxation Revenue,"Beer, Wine and Spirits Taxes",Actual 2016–17,589
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise Duty,Actual 2016–17,0
Taxation Revenue,Electricity Payments in Lieu of Taxes,Actual 2016–17,334
Taxation Revenue,Other Taxes,Actual 2016–17,453
Total Taxation Revenue,,Actual 2016–17,94346
Government of Canada,Canada Health Transfer,Actual 2016–17,13910
Government of Canada,Canada Social Transfer,Actual 2016–17,5146
Government of Canada,Equalization,Actual 2016–17,2304
Government of Canada,Infrastructure Programs,Actual 2016–17,732
Government of Canada,Labour Market Programs,Actual 2016–17,965
Government of Canada,Social Housing Agreement,Actual 2016–17,441
Government of Canada,Other Federal Payments,Actual 2016–17,761
Government of Canada,Direct Transfers to Broader Public-Sector Organizations,Actual 2016–17,285
Total Government of Canada,,Actual 2016–17,24544
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Actual 2016–17,2358
Income from Government Business Enterprises,Liquor Control Board of Ontario,Actual 2016–17,2349
Income from Government Business Enterprises,Ontario Cannabis Store,Actual 2016–17,0
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.2,Actual 2016–17,860
Total Income from Government Business Enterprises,,Actual 2016–17,5567
Other Non-Tax Revenue,Reimbursements,Actual 2016–17,988
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Actual 2016–17,1727
Other Non-Tax Revenue,Electricity Debt Retirement Charge3,Actual 2016–17,621
Other Non-Tax Revenue,Power Supply Contract Recoveries,Actual 2016–17,838
Other Non-Tax Revenue,Sales and Rentals4,Actual 2016–17,1999
Other Non-Tax Revenue,Carbon Allowance Proceeds5,Actual 2016–17,0
Other Non-Tax Revenue,Other Fees and Licences,Actual 2016–17,974
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,Actual 2016–17,129
Other Non-Tax Revenue,Royalties,Actual 2016–17,272
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from Hospitals, School Boards and Colleges",Actual 2016–17,7957
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Actual 2016–17,772
Total Other Non-Tax Revenue,,Actual 2016–17,16277
Total Revenue,,Actual 2016–17,140734
Taxation Revenue,Personal Income Tax,Actual    2017–18,32900
Taxation Revenue,Sales Taxes,Actual    2017–18,25925
Taxation Revenue,Corporations Tax,Actual    2017–18,15612
Taxation Revenue,Education Property Tax,Actual    2017–18,5883
Taxation Revenue,Employer Health Tax,Actual    2017–18,6205
Taxation Revenue,Ontario Health Premium,Actual    2017–18,3672
Taxation Revenue,Gasoline Tax,Actual    2017–18,2701
Taxation Revenue,Land Transfer Tax,Actual    2017–18,3174
Taxation Revenue,Tobacco Tax,Actual    2017–18,1244
Taxation Revenue,Fuel Tax,Actual    2017–18,760
Taxation Revenue,"Beer, Wine and Spirits Taxes",Actual    2017–18,601
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise Duty,Actual    2017–18,0
Taxation Revenue,Electricity Payments in Lieu of Taxes,Actual    2017–18,494
Taxation Revenue,Other Taxes,Actual    2017–18,552
Total Taxation Revenue,,Actual    2017–18,99723
Government of Canada,Canada Health Transfer,Actual    2017–18,14359
Government of Canada,Canada Social Transfer,Actual    2017–18,5314
Government of Canada,Equalization,Actual    2017–18,1424
Government of Canada,Infrastructure Programs,Actual    2017–18,1065
Government of Canada,Labour Market Programs,Actual    2017–18,969
Government of Canada,Social Housing Agreement,Actual    2017–18,419
Government of Canada,Other Federal Payments,Actual    2017–18,996
Government of Canada,Direct Transfers to Broader Public-Sector Organizations,Actual    2017–18,314
Total Government of Canada,,Actual    2017–18,24860
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Actual    2017–18,2487
Income from Government Business Enterprises,Liquor Control Board of Ontario,Actual    2017–18,2207
Income from Government Business Enterprises,Ontario Cannabis Store,Actual    2017–18,-6
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.2,Actual    2017–18,1464
Total Income from Government Business Enterprises,,Actual    2017–18,6152
Other Non-Tax Revenue,Reimbursements,Actual    2017–18,1000
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Actual    2017–18,1912
Other Non-Tax Revenue,Electricity Debt Retirement Charge3,Actual    2017–18,593
Other Non-Tax Revenue,Power Supply Contract Recoveries,Actual    2017–18,185
Other Non-Tax Revenue,Sales and Rentals4,Actual    2017–18,2426
Other Non-Tax Revenue,Carbon Allowance Proceeds5,Actual    2017–18,2401
Other Non-Tax Revenue,Other Fees and Licences,Actual    2017–18,1029
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,Actual    2017–18,74
Other Non-Tax Revenue,Royalties,Actual    2017–18,290
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from Hospitals, School Boards and Colleges",Actual    2017–18,8309
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Actual    2017–18,1640
Total Other Non-Tax Revenue,,Actual    2017–18,19859
Total Revenue,,Actual    2017–18,150594
Taxation Revenue,Personal Income Tax,Interim1 2018–19,34986
Taxation Revenue,Sales Taxes,Interim1 2018–19,27919
