Revenue Category,Revenue Item,variable,value
Taxation Revenue,Personal Income Tax,Actual                2018–19,35381
Taxation Revenue,Sales Taxes,Actual                2018–19,27804
Taxation Revenue,Corporations Tax,Actual                2018–19,16606
Taxation Revenue,Education Property Tax,Actual                2018–19,6171
Taxation Revenue,Employer Health Tax,Actual                2018–19,6544
Taxation Revenue,Ontario Health Premium,Actual                2018–19,3819
Taxation Revenue,Gasoline Tax,Actual                2018–19,2709
Taxation Revenue,Land Transfer Tax,Actual                2018–19,2761
Taxation Revenue,Tobacco Tax,Actual                2018–19,1241
Taxation Revenue,Fuel Tax,Actual                2018–19,774
Taxation Revenue,"Beer, Wine and Spirits Taxes",Actual                2018–19,607
Taxation Revenue,Electricity Payments in Lieu of Taxes,Actual                2018–19,435
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,Actual                2018–19,19
Taxation Revenue,Other Taxes,Actual                2018–19,653
Taxation Revenue,Total,Actual                2018–19,105524
Government of Canada,Canada Health Transfer,Actual                2018–19,14852
Government of Canada,Canada Social Transfer,Actual                2018–19,5451
Government of Canada,Equalization,Actual                2018–19,963
Government of Canada,Infrastructure Programs,Actual                2018–19,605
Government of Canada,Labour Market Programs,Actual                2018–19,1015
Government of Canada,Social Housing Agreement,Actual                2018–19,394
Government of Canada,Other Federal Payments,Actual                2018–19,1420
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,Actual                2018–19,390
Government of Canada,Total,Actual                2018–19,25090
Income from Government Business Enterprises,Liquor Control Board of Ontario,Actual                2018–19,2276
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,Actual                2018–19,772
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Actual                2018–19,2464
Income from Government Business Enterprises,Ontario Cannabis Store,Actual                2018–19,-42
Income from Government Business Enterprises,Total,Actual                2018–19,5470
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",Actual                2018–19,9237
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Actual                2018–19,1991
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Actual                2018–19,1873
Other Non-Tax Revenue,Other Fees and Licences,Actual                2018–19,1088
Other Non-Tax Revenue,Sales and Rentals,Actual                2018–19,1477
Other Non-Tax Revenue,Reimbursements,Actual                2018–19,998
Other Non-Tax Revenue,Royalties,Actual                2018–19,251
Other Non-Tax Revenue,Power Supply Contract Recoveries,Actual                2018–19,173
