2017 Expenses.Category,2017 Expenses.SubCategory,2018FullCategory,2018FullSubCategory,2018 Expenses.Category,2018 Expenses.Subcategory,FullCategory,FullSubCategory,variable,value
,,"Agriculture, Food and Rural Affairs", COVID‑19 Time-Limited Funding6,,,"Agriculture, Food and Rural Affairs", COVID‑19 Time-Limited Funding6,Actual                2017–18,
,,"Agriculture, Food and Rural Affairs", Federal-Provincial Infrastructure Programs,,,"Agriculture, Food and Rural Affairs", Federal-Provincial Infrastructure Programs,Actual                2017–18,102.0
,,"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments3,,,"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments3,Actual                2017–18,195.0
,,"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and Time-Limited Programs4,,,"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and Time-Limited Programs4,Actual                2017–18,312.0
,,Attorney General, COVID‑19 Time-Limited Funding7,,,Attorney General, COVID‑19 Time-Limited Funding7,Actual                2017–18,
,,Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",,,Attorney General," Statutory Appropriations – Crown Liability and Proceedings Act, 2019",Actual                2017–18,42.0
,,Attorney General (Base),,,,Attorney General (Base),,Actual                2017–18,1700.0
,,COVID‑19 Health Response21,,,,COVID‑19 Health Response21,,Actual                2017–18,
,,COVID‑19 Response Including COVID‑19 Health Contingency Fund10,,,,COVID‑19 Response Including COVID‑19 Health Contingency Fund10,,Actual                2017–18,0.0
,,Children and Youth Services (Total),,Children and Youth Services (Total),,,,Actual                2017–18,
,,"Children, Community and Social Services", COVID‑19 Time-Limited Funding8,,,"Children, Community and Social Services", COVID‑19 Time-Limited Funding8,Actual                2017–18,
,,Colleges and Universities, COVID‑19 Time-Limited Funding9,,,Colleges and Universities, COVID‑19 Time-Limited Funding9,Actual                2017–18,
,,Colleges and Universities, Time-Limited Infrastructure Funding under the Strategic Investment Fund,,,Colleges and Universities, Time-Limited Infrastructure Funding under the Strategic Investment Fund,Actual                2017–18,209.0
,,Colleges and Universities, Student Financial Assistance,,,Colleges and Universities, Student Financial Assistance,Actual                2017–18,1663.0
,,Colleges and Universities (Base),,,,Colleges and Universities (Base),,Actual                2017–18,8595.0
,,Colleges and Universities6 (Total),,,,Colleges and Universities6 (Total),,Actual                2017–18,10467.0
,,"Economic Development, Job Creation and Trade", COVID‑19 Time-Limited Funding10,,,"Economic Development, Job Creation and Trade", COVID‑19 Time-Limited Funding10,Actual                2017–18,
,,"Economic Development, Job Creation and Trade", Time-Limited Investments,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade", Time-Limited Investments,Actual                2017–18,422.0
,,"Economic Development, Job Creation and Trade", Time-Limited Investments,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade", Time-Limited Investments,Actual                2017–18,422.0
,,"Economic Development, Job Creation and Trade (Base)",,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Base)",,Actual                2017–18,418.0
,,"Economic Development, Job Creation and Trade (Base)",,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Base)",,Actual                2017–18,418.0
,,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)",,Actual                2017–18,840.0
,,"Economic Development, Job Creation and Trade (Total)", Time-Limited Investments,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)", Time-Limited Investments,Actual                2017–18,840.0
,,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)",,"Economic Development, Job Creation and Trade (Total)",,Actual                2017–18,840.0
,,Education, COVID‑19 Time-Limited Funding12,,,Education, COVID‑19 Time-Limited Funding12,Actual                2017–18,
,,Education (Base),,Education (Base),,Education (Base),,Actual                2017–18,27265.0
,,Emergency Forest Firefighting,,Emergency Forest Firefighting,,,,Actual                2017–18,
,,"Energy, Northern Development and Mines", COVID‑19 Time-Limited Funding14,,,"Energy, Northern Development and Mines", COVID‑19 Time-Limited Funding14,Actual                2017–18,
