Revenue Category,Revenue Item,variable,value
Taxation Revenue,Personal Income Tax,Actual                2017–18,32900
Taxation Revenue,Sales Taxes,Actual                2017–18,25923
Taxation Revenue,Corporations Tax,Actual                2017–18,15612
Taxation Revenue,Education Property Tax,Actual                2017–18,5883
Taxation Revenue,Employer Health Tax,Actual                2017–18,6205
Taxation Revenue,Ontario Health Premium,Actual                2017–18,3672
Taxation Revenue,Gasoline Tax,Actual                2017–18,2701
Taxation Revenue,Land Transfer Tax,Actual                2017–18,3174
Taxation Revenue,Tobacco Tax,Actual                2017–18,1244
Taxation Revenue,Fuel Tax,Actual                2017–18,760
Taxation Revenue,"Beer, Wine and Spirits Taxes",Actual                2017–18,603
Taxation Revenue,Electricity Payments in Lieu of Taxes,Actual                2017–18,494
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise  Duty,Actual                2017–18,0
Taxation Revenue,Other Taxes,Actual                2017–18,552
Taxation Revenue,Total,Actual                2017–18,99723
Government of Canada,Canada Health Transfer,Actual                2017–18,14359
Government of Canada,Canada Social Transfer,Actual                2017–18,5314
Government of Canada,Equalization,Actual                2017–18,1424
Government of Canada,Infrastructure Programs,Actual                2017–18,1065
Government of Canada,Labour Market Programs,Actual                2017–18,969
Government of Canada,Social Housing Agreement,Actual                2017–18,419
Government of Canada,Other Federal Payments,Actual                2017–18,996
Government of Canada,Direct Transfers to Broader Public-Sector  Organizations,Actual                2017–18,314
Government of Canada,Total,Actual                2017–18,24860
Income from Government Business Enterprises,Liquor Control Board of Ontario,Actual                2017–18,2207
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.,Actual                2017–18,1464
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,Actual                2017–18,2487
Income from Government Business Enterprises,Ontario Cannabis Store,Actual                2017–18,-6
Income from Government Business Enterprises,Total,Actual                2017–18,6152
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges",Actual                2017–18,8309
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,Actual                2017–18,1912
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,Actual                2017–18,1616
Other Non-Tax Revenue,Other Fees and Licences,Actual                2017–18,1029
Other Non-Tax Revenue,Sales and Rentals,Actual                2017–18,2450
Other Non-Tax Revenue,Reimbursements,Actual                2017–18,1000
Other Non-Tax Revenue,Royalties,Actual                2017–18,290
Other Non-Tax Revenue,Power Supply Contract Recoveries,Actual                2017–18,185
Other Non-Tax Revenue,Net Reduction of Power Purchase Contracts,Actual                2017–18,74
Other Non-Tax Revenue,Electricity Debt Retirement Charge,Actual                2017–18,593
Other Non-Tax Revenue,Carbon Allowance Proceeds,Actual                2017–18,2401
Other Non-Tax Revenue,Total,Actual                2017–18,19859
Total Revenue,,Actual                2017–18,150594
Taxation Revenue,Personal Income Tax,Actual                2018–19,35381
Taxation Revenue,Sales Taxes,Actual                2018–19,27804
