Revenue Category,Revenue Item,variable,value
Taxation Revenue,Personal Income Tax,2014–15,29313
Taxation Revenue,Sales Taxes,2014–15,21689
Taxation Revenue,Corporations Tax,2014–15,9557
Taxation Revenue,Education Property  Tax2,2014–15,5561
Taxation Revenue,Employer Health Tax,2014–15,5415
Taxation Revenue,Ontario Health  Premium,2014–15,3366
Taxation Revenue,Gasoline Tax,2014–15,2447
Taxation Revenue,Land Transfer Tax,2014–15,1778
Taxation Revenue,Tobacco Tax,2014–15,1163
Taxation Revenue,Fuel Tax,2014–15,739
Taxation Revenue,"Beer, Wine and Spirits Taxes",2014–15,560
Taxation Revenue,Electricity Payments in  Lieu of Taxes,2014–15,180
Taxation Revenue,Other Taxes,2014–15,507
Total Taxation Revenue,,2014–15,82275
Government of Canada,Canada Health  Transfer,2014–15,12408
Government of Canada,Canada Social  Transfer,2014–15,4847
Government of Canada,Equalization,2014–15,1988
Government of Canada,Infrastructure  Programs,2014–15,137
Government of Canada,Labour Market  Programs,2014–15,896
Government of Canada,Social Housing,2014–15,465
Government of Canada,Other Federal  Payments,2014–15,874
Total Government of Canada,,2014–15,21615
Government Business Enterprises,Ontario Lottery and  Gaming Corporation,2014–15,1995
Government Business Enterprises,Liquor Control Board  of Ontario,2014–15,1831
Government Business Enterprises,Ontario Power  Generation Inc./Hydro One Ltd./ Brampton Distribution Holdco Inc.,2014–15,1789
Total Government Business Enterprises,,2014–15,5615
Other Non-Tax Revenue,Reimbursements,2014–15,985
Other Non-Tax Revenue,Vehicle and Driver  Registration Fees,2014–15,1433
Other Non-Tax Revenue,Electricity Debt Retirement  Charge,2014–15,956
Other Non-Tax Revenue,Power Supply Contract  Recoveries,2014–15,950
Other Non-Tax Revenue,Sales and Rentals,2014–15,2336
Other Non-Tax Revenue,Carbon Allowance  Proceeds,2014–15,0
Other Non-Tax Revenue,Other Fees and  Licences,2014–15,693
Other Non-Tax Revenue,Net Reduction of  Power Purchase Contract Liability,2014–15,217
Other Non-Tax Revenue,Royalties,2014–15,275
Other Non-Tax Revenue,Miscellaneous Other  Non-Tax Revenue,2014–15,1196
Total Other Non-Tax Revenue,,2014–15,9041
Total Revenue,,2014–15,118546
Taxation Revenue,Personal Income Tax,Actual2015–16,31141
Taxation Revenue,Sales Taxes,Actual2015–16,23455
Taxation Revenue,Corporations Tax,Actual2015–16,11428
Taxation Revenue,Education Property  Tax2,Actual2015–16,5839
Taxation Revenue,Employer Health Tax,Actual2015–16,5649
Taxation Revenue,Ontario Health  Premium,Actual2015–16,3453
Taxation Revenue,Gasoline Tax,Actual2015–16,2459
Taxation Revenue,Land Transfer Tax,Actual2015–16,2118
Taxation Revenue,Tobacco Tax,Actual2015–16,1226
Taxation Revenue,Fuel Tax,Actual2015–16,751
Taxation Revenue,"Beer, Wine and Spirits Taxes",Actual2015–16,582
Taxation Revenue,Electricity Payments in  Lieu of Taxes,Actual2015–16,3247
Taxation Revenue,Other Taxes,Actual2015–16,470
Total Taxation Revenue,,Actual2015–16,91818
Government of Canada,Canada Health  Transfer,Actual2015–16,13089
Government of Canada,Canada Social  Transfer,Actual2015–16,4984
Government of Canada,Equalization,Actual2015–16,2363
Government of Canada,Infrastructure  Programs,Actual2015–16,146
Government of Canada,Labour Market  Programs,Actual2015–16,927
Government of Canada,Social Housing,Actual2015–16,455
Government of Canada,Other Federal  Payments,Actual2015–16,893
Total Government of Canada,,Actual2015–16,22857
Government Business Enterprises,Ontario Lottery and  Gaming Corporation,Actual2015–16,2234
Government Business Enterprises,Liquor Control Board  of Ontario,Actual2015–16,1956
Government Business Enterprises,Ontario Power  Generation Inc./Hydro One Ltd./ Brampton Distribution Holdco Inc.,Actual2015–16,719
Total Government Business Enterprises,,Actual2015–16,4909
Other Non-Tax Revenue,Reimbursements,Actual2015–16,991
Other Non-Tax Revenue,Vehicle and Driver  Registration Fees,Actual2015–16,1565
Other Non-Tax Revenue,Electricity Debt Retirement  Charge,Actual2015–16,859
Other Non-Tax Revenue,Power Supply Contract  Recoveries,Actual2015–16,875
Other Non-Tax Revenue,Sales and Rentals,Actual2015–16,2102
Other Non-Tax Revenue,Carbon Allowance  Proceeds,Actual2015–16,0
Other Non-Tax Revenue,Other Fees and  Licences,Actual2015–16,964
Other Non-Tax Revenue,Net Reduction of  Power Purchase Contract Liability,Actual2015–16,172
Other Non-Tax Revenue,Royalties,Actual2015–16,274
Other Non-Tax Revenue,Miscellaneous Other  Non-Tax Revenue,Actual2015–16,991
Total Other Non-Tax Revenue,,Actual2015–16,8793
Total Revenue,,Actual2015–16,128377
Taxation Revenue,Personal Income Tax,Interim 2016–17,32884
Taxation Revenue,Sales Taxes,Interim 2016–17,24690
Taxation Revenue,Corporations Tax,Interim 2016–17,13346
Taxation Revenue,Education Property  Tax2,Interim 2016–17,5900
Taxation Revenue,Employer Health Tax,Interim 2016–17,5882
Taxation Revenue,Ontario Health  Premium,Interim 2016–17,3664
Taxation Revenue,Gasoline Tax,Interim 2016–17,2602
Taxation Revenue,Land Transfer Tax,Interim 2016–17,2688
