Item,variable,value
Government Business Enterprises — Ontario Lottery and Gaming Corporation,2013–14,2009
Government Business Enterprises — Liquor Control Board of Ontario,2013–14,1723
Government Business Enterprises — Ontario Power Generation    Inc./Hydro One Ltd./Brampton Distribution Holdco Inc.,2013–14,1605
Total Government Business Enterprises,2013–14,5337
Government Business Enterprises — Ontario Lottery and Gaming Corporation,Actual 2014–15,1995
Government Business Enterprises — Liquor Control Board of Ontario,Actual 2014–15,1831
Government Business Enterprises — Ontario Power Generation    Inc./Hydro One Ltd./Brampton Distribution Holdco Inc.,Actual 2014–15,1789
Total Government Business Enterprises,Actual 2014–15,5615
Government Business Enterprises — Ontario Lottery and Gaming Corporation,Interim 2015–16,2079
Government Business Enterprises — Liquor Control Board of Ontario,Interim 2015–16,1938
Government Business Enterprises — Ontario Power Generation    Inc./Hydro One Ltd./Brampton Distribution Holdco Inc.,Interim 2015–16,330
Total Government Business Enterprises,Interim 2015–16,4347
Government Business Enterprises — Ontario Lottery and Gaming Corporation,Plan 2016–17,1953
Government Business Enterprises — Liquor Control Board of Ontario,Plan 2016–17,2025
Government Business Enterprises — Ontario Power Generation    Inc./Hydro One Ltd./Brampton Distribution Holdco Inc.,Plan 2016–17,1049
Total Government Business Enterprises,Plan 2016–17,5027
