Column1,variable,value
Ministry Expense,Column2,2012–13
,Column2,
Aboriginal Affairs1,Column2,65
"Agriculture, Food and Rural Affairs1",Column2,"1,016"
Attorney General,Column2,"1,683"
Board of Internal Economy2,Column2,197
Children and Youth Services,Column2,"3,911"
"Citizenship, Immigration and International Trade",Column2,161
Community and Social Services,Column2,"9,696"
Community Safety and Correctional Services1,Column2,"2,309"
"Economic Development, Employment and Infrastructure / Research and Innovation1",Column2,998
Education1,Column2,"23,142"
Energy1,Column2,340
Environment and Climate Change1,Column2,485
Executive Offices,Column2,30
Finance1,Column2,806
"Francophone Affairs, Office of",Column2,5
Government and Consumer Services,Column2,596
Health and Long-Term Care,Column2,"47,594"
Labour,Column2,281
Municipal Affairs and Housing1,Column2,830
Natural Resources and Forestry1,Column2,694
Northern Development and Mines,Column2,718
"Tourism, Culture and Sport1",Column2,"1,424"
"Training, Colleges and Universities",Column2,"7,337"
Transportation,Column2,"2,478"
Treasury Board Secretariat1,Column2,588
Interest on Debt3,Column2,"10,341"
Other Expense1,Column2,"4,863"
Program Review Savings Target,Column2,–
Year-End Savings4,Column2,–
Total Expense,Column2,"122,589"
"1 Details on other ministry expense can be found in Table 2.24, Details of Other Expense.",Column2,"1 Details on other ministry expense can be found in Table 2.24, Details of Other Expense."
2 The 2014–15 amount includes projected expenses for the 2014 general election.,Column2,2 The 2014–15 amount includes projected expenses for the 2014 general election.
"3 Interest on debt is net of interest capitalized during construction of tangible capital assets of $232 million in 2012–13, $134 million in 2013–14, $193 million in 2014–15 and $170 million in 2015–16.",Column2,"3 Interest on debt is net of interest capitalized during construction of tangible capital assets of $232 million in 2012–13, $134 million in 2013–14, $193 million in 2014–15 and $170 million in 2015–16."
"4 As in past years, the Year-End Savings provision reflects anticipated underspending that has historically arisen at year-end due to factors such as program efficiencies, and changes in project startups and implementation plans.",Column2,"4 As in past years, the Year-End Savings provision reflects anticipated underspending that has historically arisen at year-end due to factors such as program efficiencies, and changes in project startups and implementation plans."
Note: Numbers may not add due to rounding.,Column2,Note: Numbers may not add due to rounding.
Ministry Expense,Column3,Actual 2013–14
,Column3,
Aboriginal Affairs1,Column3,63
"Agriculture, Food and Rural Affairs1",Column3,864
Attorney General,Column3,"1,813"
Board of Internal Economy2,Column3,199
Children and Youth Services,Column3,"3,997"
"Citizenship, Immigration and International Trade",Column3,152
Community and Social Services,Column3,"9,977"
Community Safety and Correctional Services1,Column3,"2,380"
"Economic Development, Employment and Infrastructure / Research and Innovation1",Column3,992
Education1,Column3,"23,645"
Energy1,Column3,311
Environment and Climate Change1,Column3,480
Executive Offices,Column3,30
Finance1,Column3,845
"Francophone Affairs, Office of",Column3,5
Government and Consumer Services,Column3,594
Health and Long-Term Care,Column3,"48,933"
Labour,Column3,303
Municipal Affairs and Housing1,Column3,845
Natural Resources and Forestry1,Column3,720
Northern Development and Mines,Column3,719
"Tourism, Culture and Sport1",Column3,"1,337"
"Training, Colleges and Universities",Column3,"7,572"
Transportation,Column3,"2,823"
Treasury Board Secretariat1,Column3,232
Interest on Debt3,Column3,"10,572"
Other Expense1,Column3,"5,962"
Program Review Savings Target,Column3,–
Year-End Savings4,Column3,–
Total Expense,Column3,"126,364"
"1 Details on other ministry expense can be found in Table 2.24, Details of Other Expense.",Column3,"1 Details on other ministry expense can be found in Table 2.24, Details of Other Expense."
2 The 2014–15 amount includes projected expenses for the 2014 general election.,Column3,2 The 2014–15 amount includes projected expenses for the 2014 general election.
"3 Interest on debt is net of interest capitalized during construction of tangible capital assets of $232 million in 2012–13, $134 million in 2013–14, $193 million in 2014–15 and $170 million in 2015–16.",Column3,"3 Interest on debt is net of interest capitalized during construction of tangible capital assets of $232 million in 2012–13, $134 million in 2013–14, $193 million in 2014–15 and $170 million in 2015–16."
"4 As in past years, the Year-End Savings provision reflects anticipated underspending that has historically arisen at year-end due to factors such as program efficiencies, and changes in project startups and implementation plans.",Column3,"4 As in past years, the Year-End Savings provision reflects anticipated underspending that has historically arisen at year-end due to factors such as program efficiencies, and changes in project startups and implementation plans."
Note: Numbers may not add due to rounding.,Column3,Note: Numbers may not add due to rounding.
Ministry Expense,Column4,Interim 2014–15
,Column4,
Aboriginal Affairs1,Column4,68.6
"Agriculture, Food and Rural Affairs1",Column4,924.9
Attorney General,Column4,"1,780.3"
Board of Internal Economy2,Column4,300.9
Children and Youth Services,Column4,"4,173.9"
"Citizenship, Immigration and International Trade",Column4,155.9
Community and Social Services,Column4,"10,568.6"
Community Safety and Correctional Services1,Column4,"2,496.1"
"Economic Development, Employment and Infrastructure / Research and Innovation1",Column4,"1,111.6"
Education1,Column4,"24,594.2"
Energy1,Column4,316.9
Environment and Climate Change1,Column4,485.6
Executive Offices,Column4,44.6
Finance1,Column4,821.3
"Francophone Affairs, Office of",Column4,5.6
Government and Consumer Services,Column4,596.6
Health and Long-Term Care,Column4,"50,172.7"
Labour,Column4,307.7
Municipal Affairs and Housing1,Column4,884.5
Natural Resources and Forestry1,Column4,724.4
Northern Development and Mines,Column4,757.4
"Tourism, Culture and Sport1",Column4,"1,256.5"
"Training, Colleges and Universities",Column4,"7,741.6"
Transportation,Column4,"2,965.6"
Treasury Board Secretariat1,Column4,424.1
Interest on Debt3,Column4,"10,675.0"
Other Expense1,Column4,"5,094.9"
Program Review Savings Target,Column4,–
Year-End Savings4,Column4,–
Total Expense,Column4,"129,450.1"
"1 Details on other ministry expense can be found in Table 2.24, Details of Other Expense.",Column4,"1 Details on other ministry expense can be found in Table 2.24, Details of Other Expense."
2 The 2014–15 amount includes projected expenses for the 2014 general election.,Column4,2 The 2014–15 amount includes projected expenses for the 2014 general election.
