Year,variable,value
Attribute,2019-01-01 00:00:00.000,Revenue Item
Revenue,2019-01-01 00:00:00.000,2019
Attribute,2019-01-01 00:00:00.000.1,Personal Income Tax
Revenue,2019-01-01 00:00:00.000.1,35381
Attribute,2019-01-01 00:00:00.000.2,Sales Taxes
Revenue,2019-01-01 00:00:00.000.2,27804
Attribute,2019-01-01 00:00:00.000.3,Corporations Tax
Revenue,2019-01-01 00:00:00.000.3,16606
Attribute,2019-01-01 00:00:00.000.4,Employer Health Tax
Revenue,2019-01-01 00:00:00.000.4,6544
Attribute,2019-01-01 00:00:00.000.5,Ontario Health Premium
Revenue,2019-01-01 00:00:00.000.5,3819
Attribute,2019-01-01 00:00:00.000.6,Gasoline Tax
Revenue,2019-01-01 00:00:00.000.6,2709
Attribute,2019-01-01 00:00:00.000.7,Land Transfer Tax
Revenue,2019-01-01 00:00:00.000.7,2761
Attribute,2019-01-01 00:00:00.000.8,Tobacco Tax
Revenue,2019-01-01 00:00:00.000.8,1241
Attribute,2019-01-01 00:00:00.000.9,Fuel Tax
Revenue,2019-01-01 00:00:00.000.9,774
Attribute,2019-01-01 00:00:00.000.10,"Beer, Wine and Spirits Taxes"
Revenue,2019-01-01 00:00:00.000.10,607
Attribute,2019-01-01 00:00:00.000.11,Electricity Payments in Lieu of Taxes
Revenue,2019-01-01 00:00:00.000.11,435
Attribute,2019-01-01 00:00:00.000.12,Other Taxes
Revenue,2019-01-01 00:00:00.000.12,653
Attribute,2019-01-01 00:00:00.000.13,Canada Health Transfer
Revenue,2019-01-01 00:00:00.000.13,14852
Attribute,2019-01-01 00:00:00.000.14,Canada Social Transfer
Revenue,2019-01-01 00:00:00.000.14,5451
Attribute,2019-01-01 00:00:00.000.15,Equalization
Revenue,2019-01-01 00:00:00.000.15,963
Attribute,2019-01-01 00:00:00.000.16,Infrastructure Programs
Revenue,2019-01-01 00:00:00.000.16,605
Attribute,2019-01-01 00:00:00.000.17,Labour Market Programs
Revenue,2019-01-01 00:00:00.000.17,1015
Attribute,2019-01-01 00:00:00.000.18,Other Federal Payments
Revenue,2019-01-01 00:00:00.000.18,1420
Attribute,2019-01-01 00:00:00.000.19,Vehicle and Driver Registration Fees
Revenue,2019-01-01 00:00:00.000.19,1991
Attribute,2019-01-01 00:00:00.000.20,Miscellaneous Other Non-Tax Revenue
Revenue,2019-01-01 00:00:00.000.20,1873
Attribute,2019-01-01 00:00:00.000.21,Other Fees and Licences
Revenue,2019-01-01 00:00:00.000.21,1088
Attribute,2019-01-01 00:00:00.000.22,Reimbursements
Revenue,2019-01-01 00:00:00.000.22,998
Attribute,2019-01-01 00:00:00.000.23,Royalties
Revenue,2019-01-01 00:00:00.000.23,251
Attribute,2019-01-01 00:00:00.000.24,Power Supply Contract Recoveries
Revenue,2019-01-01 00:00:00.000.24,173
Attribute,2019-01-01 00:00:00.000.25,Carbon Allowance Proceeds
Revenue,2019-01-01 00:00:00.000.25,472
Attribute,2019-01-01 00:00:00.000.26,Electricity Debt Retirement Charge
Revenue,2019-01-01 00:00:00.000.26,15
Attribute,2019-01-01 00:00:00.000.27,Sales and Rentals
Revenue,2019-01-01 00:00:00.000.27,1477
Attribute,2019-01-01 00:00:00.000.28,Education Property Tax
Revenue,2019-01-01 00:00:00.000.28,6171
Attribute,2019-01-01 00:00:00.000.29,Net Reduction of Power Purchase Contracts
Revenue,2019-01-01 00:00:00.000.29,41
Attribute,2019-01-01 00:00:00.000.30,Social Housing Agreement
Revenue,2019-01-01 00:00:00.000.30,394
Attribute,2019-01-01 00:00:00.000.31,Liquor Control Board of Ontario
Revenue,2019-01-01 00:00:00.000.31,2276
Attribute,2019-01-01 00:00:00.000.32,Ontario Lottery and Gaming Corporation
Revenue,2019-01-01 00:00:00.000.32,2464
Attribute,2019-01-01 00:00:00.000.33,Ontario Portion of the Federal Cannabis Excise  Duty
Revenue,2019-01-01 00:00:00.000.33,19
Attribute,2019-01-01 00:00:00.000.34,Direct Transfers to Broader Public-Sector  Organizations
Revenue,2019-01-01 00:00:00.000.34,390
Attribute,2019-01-01 00:00:00.000.35,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges"
Revenue,2019-01-01 00:00:00.000.35,9237
Attribute,2019-01-01 00:00:00.000.36,Ontario Power Generation Inc./Hydro One Ltd.
Revenue,2019-01-01 00:00:00.000.36,772
Attribute,2019-01-01 00:00:00.000.37,Ontario Cannabis Store
Revenue,2019-01-01 00:00:00.000.37,-42
Attribute,2020-01-01 00:00:00.000,Revenue Item
Revenue,2020-01-01 00:00:00.000,2020
Attribute,2020-01-01 00:00:00.000.1,Personal Income Tax
Revenue,2020-01-01 00:00:00.000.1,37743
Attribute,2020-01-01 00:00:00.000.2,Sales Taxes
Revenue,2020-01-01 00:00:00.000.2,28619
Attribute,2020-01-01 00:00:00.000.3,Corporations Tax
Revenue,2020-01-01 00:00:00.000.3,15414
Attribute,2020-01-01 00:00:00.000.4,Employer Health Tax
Revenue,2020-01-01 00:00:00.000.4,6731
Attribute,2020-01-01 00:00:00.000.5,Ontario Health Premium
Revenue,2020-01-01 00:00:00.000.5,4059
Attribute,2020-01-01 00:00:00.000.6,Gasoline Tax
Revenue,2020-01-01 00:00:00.000.6,2783
Attribute,2020-01-01 00:00:00.000.7,Land Transfer Tax
Revenue,2020-01-01 00:00:00.000.7,3067
Attribute,2020-01-01 00:00:00.000.8,Tobacco Tax
Revenue,2020-01-01 00:00:00.000.8,1118
Attribute,2020-01-01 00:00:00.000.9,Fuel Tax
Revenue,2020-01-01 00:00:00.000.9,807
Attribute,2020-01-01 00:00:00.000.10,"Beer, Wine and Spirits Taxes"
Revenue,2020-01-01 00:00:00.000.10,582
Attribute,2020-01-01 00:00:00.000.11,Electricity Payments in Lieu of Taxes
Revenue,2020-01-01 00:00:00.000.11,505
Attribute,2020-01-01 00:00:00.000.12,Other Taxes
Revenue,2020-01-01 00:00:00.000.12,623
Attribute,2020-01-01 00:00:00.000.13,Canada Health Transfer
Revenue,2020-01-01 00:00:00.000.13,15640
Attribute,2020-01-01 00:00:00.000.14,Canada Social Transfer
Revenue,2020-01-01 00:00:00.000.14,5650
Attribute,2020-01-01 00:00:00.000.15,Equalization
Revenue,2020-01-01 00:00:00.000.15,0
Attribute,2020-01-01 00:00:00.000.16,Infrastructure Programs
Revenue,2020-01-01 00:00:00.000.16,400
Attribute,2020-01-01 00:00:00.000.17,Labour Market Programs
Revenue,2020-01-01 00:00:00.000.17,1054
Attribute,2020-01-01 00:00:00.000.18,Other Federal Payments
Revenue,2020-01-01 00:00:00.000.18,1756
Attribute,2020-01-01 00:00:00.000.19,Vehicle and Driver Registration Fees
Revenue,2020-01-01 00:00:00.000.19,2055
Attribute,2020-01-01 00:00:00.000.20,Miscellaneous Other Non-Tax Revenue
Revenue,2020-01-01 00:00:00.000.20,1222
Attribute,2020-01-01 00:00:00.000.21,Other Fees and Licences
Revenue,2020-01-01 00:00:00.000.21,1156
Attribute,2020-01-01 00:00:00.000.22,Reimbursements
Revenue,2020-01-01 00:00:00.000.22,1005
Attribute,2020-01-01 00:00:00.000.23,Royalties
Revenue,2020-01-01 00:00:00.000.23,283
Attribute,2020-01-01 00:00:00.000.24,Power Supply Contract Recoveries
Revenue,2020-01-01 00:00:00.000.24,122
Attribute,2020-01-01 00:00:00.000.25,Carbon Allowance Proceeds
Revenue,2020-01-01 00:00:00.000.25,0
Attribute,2020-01-01 00:00:00.000.26,Electricity Debt Retirement Charge
Revenue,2020-01-01 00:00:00.000.26,0
Attribute,2020-01-01 00:00:00.000.27,Sales and Rentals
Revenue,2020-01-01 00:00:00.000.27,1369
Attribute,2020-01-01 00:00:00.000.28,Education Property Tax
Revenue,2020-01-01 00:00:00.000.28,6179
Attribute,2020-01-01 00:00:00.000.29,Net Reduction of Power Purchase Contracts
Revenue,2020-01-01 00:00:00.000.29,30
Attribute,2020-01-01 00:00:00.000.30,Social Housing Agreement
Revenue,2020-01-01 00:00:00.000.30,484
Attribute,2020-01-01 00:00:00.000.31,Liquor Control Board of Ontario
Revenue,2020-01-01 00:00:00.000.31,2402
Attribute,2020-01-01 00:00:00.000.32,Ontario Lottery and Gaming Corporation
Revenue,2020-01-01 00:00:00.000.32,2309
Attribute,2020-01-01 00:00:00.000.33,Ontario Portion of the Federal Cannabis Excise  Duty
Revenue,2020-01-01 00:00:00.000.33,48
Attribute,2020-01-01 00:00:00.000.34,Direct Transfers to Broader Public-Sector  Organizations
Revenue,2020-01-01 00:00:00.000.34,414
Attribute,2020-01-01 00:00:00.000.35,"Fees, Donations and Other Revenues from  Hospitals, School Boards and Colleges"
Revenue,2020-01-01 00:00:00.000.35,9281
Attribute,2020-01-01 00:00:00.000.36,Ontario Power Generation Inc./Hydro One Ltd.
Revenue,2020-01-01 00:00:00.000.36,1167
Attribute,2020-01-01 00:00:00.000.37,Ontario Cannabis Store
Revenue,2020-01-01 00:00:00.000.37,19
Attribute,2021-01-01 00:00:00.000,Revenue Item
Revenue,2021-01-01 00:00:00.000,2021
Attribute,2021-01-01 00:00:00.000.1,Personal Income Tax
Revenue,2021-01-01 00:00:00.000.1,35876
Attribute,2021-01-01 00:00:00.000.2,Sales Taxes
Revenue,2021-01-01 00:00:00.000.2,26042
Attribute,2021-01-01 00:00:00.000.3,Corporations Tax
Revenue,2021-01-01 00:00:00.000.3,11435
Attribute,2021-01-01 00:00:00.000.4,Employer Health Tax
Revenue,2021-01-01 00:00:00.000.4,6480
Attribute,2021-01-01 00:00:00.000.5,Ontario Health Premium
Revenue,2021-01-01 00:00:00.000.5,3958
Attribute,2021-01-01 00:00:00.000.6,Gasoline Tax
Revenue,2021-01-01 00:00:00.000.6,2120
Attribute,2021-01-01 00:00:00.000.7,Land Transfer Tax
Revenue,2021-01-01 00:00:00.000.7,3481
Attribute,2021-01-01 00:00:00.000.8,Tobacco Tax
Revenue,2021-01-01 00:00:00.000.8,1103
Attribute,2021-01-01 00:00:00.000.9,Fuel Tax
Revenue,2021-01-01 00:00:00.000.9,711
Attribute,2021-01-01 00:00:00.000.10,"Beer, Wine and Spirits Taxes"
Revenue,2021-01-01 00:00:00.000.10,615
Attribute,2021-01-01 00:00:00.000.11,Electricity Payments in Lieu of Taxes
Revenue,2021-01-01 00:00:00.000.11,557
Attribute,2021-01-01 00:00:00.000.12,Other Taxes
Revenue,2021-01-01 00:00:00.000.12,581
Attribute,2021-01-01 00:00:00.000.13,Canada Health Transfer
Revenue,2021-01-01 00:00:00.000.13,16208
Attribute,2021-01-01 00:00:00.000.14,Canada Social Transfer
Revenue,2021-01-01 00:00:00.000.14,5815
Attribute,2021-01-01 00:00:00.000.15,Equalization
Revenue,2021-01-01 00:00:00.000.15,0
Attribute,2021-01-01 00:00:00.000.16,Infrastructure Programs
Revenue,2021-01-01 00:00:00.000.16,1025
Attribute,2021-01-01 00:00:00.000.17,Labour Market Programs
Revenue,2021-01-01 00:00:00.000.17,1521
Attribute,2021-01-01 00:00:00.000.18,Other Federal Payments
Revenue,2021-01-01 00:00:00.000.18,8450
Attribute,2021-01-01 00:00:00.000.19,Vehicle and Driver Registration Fees
Revenue,2021-01-01 00:00:00.000.19,2065
Attribute,2021-01-01 00:00:00.000.20,Miscellaneous Other Non-Tax Revenue
Revenue,2021-01-01 00:00:00.000.20,1241
Attribute,2021-01-01 00:00:00.000.21,Other Fees and Licences
Revenue,2021-01-01 00:00:00.000.21,1042
Attribute,2021-01-01 00:00:00.000.22,Reimbursements
Revenue,2021-01-01 00:00:00.000.22,1174
Attribute,2021-01-01 00:00:00.000.23,Royalties
Revenue,2021-01-01 00:00:00.000.23,342
