Sector,variable,value
Transportation - Transit,Total              Infrastructure              Expenditures            2015–16 Interim1,"3,293"
Transportation - Provincial Highways,Total              Infrastructure              Expenditures            2015–16 Interim1,"2,206"
"Transportation - Other Transportation, Property and    Planning",Total              Infrastructure              Expenditures            2015–16 Interim1,815
Health - Hospitals,Total              Infrastructure              Expenditures            2015–16 Interim1,"2,174"
Health - Other Health,Total              Infrastructure              Expenditures            2015–16 Interim1,258
Education,Total              Infrastructure              Expenditures            2015–16 Interim1,"1,930"
Postsecondary - Colleges and Other,Total              Infrastructure              Expenditures            2015–16 Interim1,385
Postsecondary - Universities,Total              Infrastructure              Expenditures            2015–16 Interim1,209
Social,Total              Infrastructure              Expenditures            2015–16 Interim1,373
Justice,Total              Infrastructure              Expenditures            2015–16 Interim1,198
Other Sectors5,Total              Infrastructure              Expenditures            2015–16 Interim1,"1,101"
Total Infrastructure    Expenditures,Total              Infrastructure              Expenditures            2015–16 Interim1,"12,941"
Transportation - Transit,2016–17 Plan:            Investment            in Capital            Assets2,"4,701"
Transportation - Provincial Highways,2016–17 Plan:            Investment            in Capital            Assets2,"2,108"
"Transportation - Other Transportation, Property and    Planning",2016–17 Plan:            Investment            in Capital            Assets2,603
Health - Hospitals,2016–17 Plan:            Investment            in Capital            Assets2,"2,621"
Health - Other Health,2016–17 Plan:            Investment            in Capital            Assets2,60
Education,2016–17 Plan:            Investment            in Capital            Assets2,"1,834"
Postsecondary - Colleges and Other,2016–17 Plan:            Investment            in Capital            Assets2,608
Postsecondary - Universities,2016–17 Plan:            Investment            in Capital            Assets2,–
Social,2016–17 Plan:            Investment            in Capital            Assets2,8
Justice,2016–17 Plan:            Investment            in Capital            Assets2,58
Other Sectors5,2016–17 Plan:            Investment            in Capital            Assets2,436
Total Infrastructure    Expenditures,2016–17 Plan:            Investment            in Capital            Assets2,"13,037"
Transportation - Transit,2016–17 Plan:                          Transfers    and            Other Infrastructure            Expenditures3,688
Transportation - Provincial Highways,2016–17 Plan:                          Transfers    and            Other Infrastructure            Expenditures3,43
"Transportation - Other Transportation, Property and    Planning",2016–17 Plan:                          Transfers    and            Other Infrastructure            Expenditures3,166
Health - Hospitals,2016–17 Plan:                          Transfers    and            Other Infrastructure            Expenditures3,263
Health - Other Health,2016–17 Plan:                          Transfers    and            Other Infrastructure            Expenditures3,248
Education,2016–17 Plan:                          Transfers    and            Other Infrastructure            Expenditures3,171
Postsecondary - Colleges and Other,2016–17 Plan:                          Transfers    and            Other Infrastructure            Expenditures3,4
Postsecondary - Universities,2016–17 Plan:                          Transfers    and            Other Infrastructure            Expenditures3,187
Social,2016–17 Plan:                          Transfers    and            Other Infrastructure            Expenditures3,305
Justice,2016–17 Plan:                          Transfers    and            Other Infrastructure            Expenditures3,197
Other Sectors5,2016–17 Plan:                          Transfers    and            Other Infrastructure            Expenditures3,934
Total Infrastructure    Expenditures,2016–17 Plan:                          Transfers    and            Other Infrastructure            Expenditures3,"3,203"
Transportation - Transit,2016–17 Plan:            Total            Infrastructure            Expenditures4,"5,389"
Transportation - Provincial Highways,2016–17 Plan:            Total            Infrastructure            Expenditures4,"2,150"
"Transportation - Other Transportation, Property and    Planning",2016–17 Plan:            Total            Infrastructure            Expenditures4,768
Health - Hospitals,2016–17 Plan:            Total            Infrastructure            Expenditures4,"2,884"
Health - Other Health,2016–17 Plan:            Total            Infrastructure            Expenditures4,308
Education,2016–17 Plan:            Total            Infrastructure            Expenditures4,"2,005"
Postsecondary - Colleges and Other,2016–17 Plan:            Total            Infrastructure            Expenditures4,613
Postsecondary - Universities,2016–17 Plan:            Total            Infrastructure            Expenditures4,187
Social,2016–17 Plan:            Total            Infrastructure            Expenditures4,312
Justice,2016–17 Plan:            Total            Infrastructure            Expenditures4,255
Other Sectors5,2016–17 Plan:            Total            Infrastructure            Expenditures4,"1,369"
Total Infrastructure    Expenditures,2016–17 Plan:            Total            Infrastructure            Expenditures4,"16,240"
