Revenue Category,Revenue Item,variable,value
Taxation Revenue,Personal Income Tax,2015–16,31141
Taxation Revenue,Sales Taxes,2015–16,23455
Taxation Revenue,Corporations Tax,2015–16,11428
Taxation Revenue,Education Property Tax,2015–16,5839
Taxation Revenue,Employer Health Tax,2015–16,5649
Taxation Revenue,Ontario Health Premium,2015–16,3453
Taxation Revenue,Gasoline Tax,2015–16,2459
Taxation Revenue,Land Transfer Tax,2015–16,2118
Taxation Revenue,Tobacco Tax,2015–16,1226
Taxation Revenue,Fuel Tax,2015–16,751
Taxation Revenue,"Beer, Wine and Spirits Taxes",2015–16,582
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise Duty,2015–16,0
Taxation Revenue,Electricity Payments in Lieu of Taxes,2015–16,3247
Taxation Revenue,Other Taxes,2015–16,470
Taxation Revenue,Total,2015–16,91818
Government of Canada,Canada Health Transfer,2015–16,13089
Government of Canada,Canada Social Transfer,2015–16,4984
Government of Canada,Equalization,2015–16,2363
Government of Canada,Infrastructure Programs,2015–16,146
Government of Canada,Labour Market Programs,2015–16,927
Government of Canada,Social Housing,2015–16,455
Government of Canada,Other Federal Payments,2015–16,893
Government of Canada,Direct Transfers to Broader Public-Sector Organizations,2015–16,284
Government of Canada,Total,2015–16,23141
Income from Government Business Enterprises,Ontario Lottery and Gaming Corporation,2015–16,2234
Income from Government Business Enterprises,Liquor Control Board of Ontario,2015–16,1956
Income from Government Business Enterprises,Ontario Cannabis Retail Corporation,2015–16,0
Income from Government Business Enterprises,Ontario Power Generation Inc./Hydro One Ltd.1,2015–16,719
Income from Government Business Enterprises,Total,2015–16,4909
Other Non-Tax Revenue,Reimbursements,2015–16,991
Other Non-Tax Revenue,Vehicle and Driver Registration Fees,2015–16,1565
Other Non-Tax Revenue,Electricity Debt Retirement Charge,2015–16,859
Other Non-Tax Revenue,Power Supply Contract Recoveries,2015–16,875
Other Non-Tax Revenue,Sales and Rentals,2015–16,2102
Other Non-Tax Revenue,Carbon Allowance Proceeds,2015–16,0
Other Non-Tax Revenue,Other Fees and Licences,2015–16,964
Other Non-Tax Revenue,Net Reduction of Power Purchase Contract Liability,2015–16,172
Other Non-Tax Revenue,Royalties,2015–16,274
Other Non-Tax Revenue,"Fees, Donations and Other Revenues from Hospitals, School Boards and Colleges",2015–16,7493
Other Non-Tax Revenue,Miscellaneous Other Non-Tax Revenue,2015–16,985
Other Non-Tax Revenue,Total,2015–16,16280
Total Revenue,,2015–16,136148
Taxation Revenue,Personal Income Tax,Actual2016–17,30671
Taxation Revenue,Sales Taxes,Actual2016–17,24750
Taxation Revenue,Corporations Tax,Actual2016–17,14872
Taxation Revenue,Education Property Tax,Actual2016–17,5868
Taxation Revenue,Employer Health Tax,Actual2016–17,5908
Taxation Revenue,Ontario Health Premium,Actual2016–17,3575
Taxation Revenue,Gasoline Tax,Actual2016–17,2626
Taxation Revenue,Land Transfer Tax,Actual2016–17,2728
Taxation Revenue,Tobacco Tax,Actual2016–17,1230
Taxation Revenue,Fuel Tax,Actual2016–17,742
Taxation Revenue,"Beer, Wine and Spirits Taxes",Actual2016–17,589
Taxation Revenue,Ontario Portion of the Federal Cannabis Excise Duty,Actual2016–17,0
