Column1,2017FullCategory,2017FullSubcategory,variable,value
Column2,Accessibility Directorate of Ontario (Total),,2018,
Column3,Advanced Education and Skills Development (Total),,2018,
Column4,"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,2018,
Column5,Attorney General (Total),,2018,1742.0
Column6,"Children, Community and Social Services", Time-Limited Investments in Affordable and Supportive Housing,2018,
Column7,"Children, Community and Social Services (Total)",,2018,16300.0
Column8,"Children, Community and Social Services (Total)",,2018,16300.0
Column9,"Children, Community and Social Services (Total)",,2018,16300.0
Column10,"Children, Community and Social Services (Total)",,2018,16300.0
Column11,"Children, Community and Social Services (Total)",,2018,16300.0
Column12,"Children, Community and Social Services (Total)",,2018,16300.0
Column13,"Children, Community and Social Services (Total)",,2018,16300.0
Column14,"Children, Community and Social Services (Total)",,2018,16300.0
Column15,Citizenship and Immigration (Total),,2018,
Column16,Community Safety and Correctional Services, Time-Limited Support for 2015 Pan/Parapan American Games Security,2018,
Column17,Community Safety and Correctional Services (Total),,2018,
Column18,Education (Total),,2018,28923.0
Column19,"Energy, Northern Development and Mines", Ontario Clean Energy Benefit,2018,
Column20,"Energy, Northern Development and Mines", Strategic Asset Management and Transformation Related to Hydro One,2018,
Column21,"Energy, Northern Development and Mines", Electricity Cost Relief Programs,2018,2834.0
Column22,"Energy, Northern Development and Mines (Total)",,2018,4117.0
Column23,"Energy, Northern Development and Mines (Total)",,2018,4117.0
Column24,"Energy, Northern Development and Mines (Total)",,2018,4117.0
Column25,"Energy, Northern Development and Mines (Total)",,2018,4117.0
Column26,"Energy, Northern Development and Mines (Total)",,2018,4117.0
Column27,"Energy, Northern Development and Mines (Total)",,2018,4117.0
Column28,"Energy, Northern Development and Mines (Total)",,2018,4117.0
Column29,"Energy, Northern Development and Mines (Total)",,2018,4117.0
Column30,"Energy, Northern Development and Mines (Total)",,2018,4117.0
Column31,"Energy, Northern Development and Mines (Total)",,2018,4117.0
Column32,"Energy, Northern Development and Mines (Total)",,2018,4117.0
Column33,"Energy, Northern Development and Mines (Total)",,2018,4117.0
Column34,Executive Offices, Time-Limited Assistance,2018,0.0
Column35,Executive Offices (Total),,2018,37.0
Column36,Executive Offices (Total),,2018,37.0
Column37,Finance, Ontario Municipal Partnership Fund,2018,506.0
Column38,Finance, Power Supply Contract Costs,2018,191.0
Column39,Finance (Total),,2018,1540.0
Column40,Government and Consumer Services (Total),,2018,1650.0
Column41,Government and Consumer Services (Total),,2018,1650.0
Column42,Infrastructure, Federal–Provincial Infrastructure Programs,2018,248.0
Column43,Infrastructure (Total),,2018,475.0
Column44,International Trade (Total),,2018,
Column45,Municipal Affairs/Housing," Time-Limited Investments in Municipal, Social and Affordable Housing",2018,
Column46,Natural Resources and Forestry, Emergency Forest Firefighting,2018,117.0
Column47,Natural Resources and Forestry (Total),,2018,726.0
Column48,Natural Resources and Forestry (Total),,2018,726.0
Column49,Natural Resources and Forestry (Total),,2018,726.0
Column50,Natural Resources and Forestry (Total),,2018,726.0
Column51,Natural Resources and Forestry (Total),,2018,726.0
Column52,Natural Resources and Forestry (Total),,2018,726.0
Column53,Natural Resources and Forestry (Total),,2018,726.0
Column54,Natural Resources and Forestry (Total),,2018,726.0
Column55,Seniors Affairs (Total),,2018,
Column56,Status of Women (Total),,2018,
Column57,Total Expense,,2018,154266.0
Column58,Transportation, Time-Limited Investments in Infrastructure,2018,
Column59,Transportation (Total),,2018,4588.0
Column60,Treasury Board Secretariat, Capital Contingency Fund,2018,0.0
Column61,Treasury Board Secretariat, Operating Contingency Fund,2018,0.0
Column62,Treasury Board Secretariat (Total),,2018,1636.0
Column63,Treasury Board Secretariat (Total),,2018,1636.0
Column64,Treasury Board Secretariat (Total),,2018,1636.0
Column65,Treasury Board Secretariat (Total),,2018,1636.0
Column66,Treasury Board Secretariat (Total),,2018,1636.0
Column67,Treasury Board Secretariat (Total),,2018,1636.0
Column68,Treasury Board Secretariat (Total),,2018,1636.0
Column69,Treasury Board Secretariat (Total),,2018,1636.0
Column70,Treasury Board Secretariat, Employee and Pensioner Benefits17,2018,1442.0
Column71,Board of Internal Economy (Total),,2018,296.0
Column72,Year-End Savings,,2018,
Column73,Education, Teachers’ Pension Plan,2018,1659.0
Column74,Municipal Affairs and Housing, Time-Limited Investments,2018,559.0
Column75,Interest on Debt18,,2018,11903.0
Column76,Municipal Affairs and Housing (Total),,2018,1368.0
Column77,Municipal Affairs and Housing (Total),,2018,1368.0
Column78,Municipal Affairs and Housing (Total),,2018,1368.0
Column79,Municipal Affairs and Housing (Total),,2018,1368.0
Column80,"Heritage, Sport, Tourism and Culture Industries", Time-Limited Investments to Support 2015 Pan/Parapan American Games,2018,
Column81,"Agriculture, Food and Rural Affairs (Total)5",,2018,993.0
Column82,"Agriculture, Food and Rural Affairs (Total)5",,2018,993.0
Column83,"Agriculture, Food and Rural Affairs (Base)",,2018,384.0
Column84,"Agriculture, Food and Rural Affairs (Base)",,2018,384.0
Column85,"Agriculture, Food and Rural Affairs (Base)",,2018,384.0
Column86,"Agriculture, Food and Rural Affairs (Base)",,2018,384.0
Column87,"Agriculture, Food and Rural Affairs (Base)",,2018,384.0
Column88,"Agriculture, Food and Rural Affairs (Base)",,2018,384.0
Column89,"Agriculture, Food and Rural Affairs (Base)",,2018,384.0
Column90,"Agriculture, Food and Rural Affairs (Base)",,2018,384.0
Column91,Community Safety and Correctional Services (Base),,2018,
Column92,Government and Consumer Services, Realty,2018,982.0
Column93,Government and Consumer Services (Base),,2018,668.0
Column94,Government and Consumer Services (Base),,2018,668.0
Column95,"Agriculture, Food and Rural Affairs", COVID‑19 Time-Limited Funding6,2018,
Column96,"Agriculture, Food and Rural Affairs", Federal-Provincial Infrastructure Programs,2018,102.0
Column97,"Agriculture, Food and Rural Affairs", Municipal Infrastructure Program Investments3,2018,195.0
Column98,"Agriculture, Food and Rural Affairs", Demand-Driven Risk Management and Time-Limited Programs4,2018,312.0
