Item,variable,value
Taxation Revenue,2012–13,
Personal Income Tax,2012–13,25574.0
Sales Tax1,2012–13,20957.0
Corporations Tax,2012–13,12093.0
Education Property Tax2,2012–13,5511.0
Employer Health Tax,2012–13,5137.0
Ontario Health Premium,2012–13,3067.0
Gasoline Tax,2012–13,2390.0
Land Transfer Tax,2012–13,1484.0
Tobacco Tax,2012–13,1142.0
Fuel Tax,2012–13,710.0
Beer and Wine Tax,2012–13,560.0
Electricity Payments-In-Lieu of Taxes,2012–13,324.0
Other Taxes,2012–13,469.0
Total,2012–13,79418.0
Government of Canada,2012–13,
Canada Health Transfer,2012–13,11315.0
Canada Social Transfer,2012–13,4591.0
Equalization,2012–13,3261.0
Infrastructure Programs,2012–13,116.0
Labour Market Programs,2012–13,897.0
Social Housing,2012–13,483.0
Wait Times Reduction Fund,2012–13,97.0
Other Federal Payments,2012–13,901.0
Total,2012–13,21661.0
Government Business Enterprises,2012–13,
Ontario Lottery and Gaming Corporation,2012–13,1816.0
Liquor Control Board of Ontario,2012–13,1721.0
Ontario Power Generation Inc./Hydro One Inc.,2012–13,932.0
Total,2012–13,4469.0
Other Non-Tax Revenue,2012–13,
Reimbursements,2012–13,932.0
Vehicle and Driver Registration Fees,2012–13,1125.0
Electricity Debt Retirement Charge,2012–13,939.0
Power Supply Contract Recoveries,2012–13,1323.0
Sales and Rentals,2012–13,1188.0
Other Fees and Licences,2012–13,760.0
Net Reduction of Power Purchase Contract Liability,2012–13,263.0
Royalties,2012–13,226.0
Miscellaneous Other Non-Tax Revenue3,2012–13,1065.0
Total,2012–13,7821.0
Total Revenue,2012–13,113369.0
Taxation Revenue,Actual            2013–14,
Personal Income Tax,Actual            2013–14,26929.0
Sales Tax1,Actual            2013–14,20481.0
Corporations Tax,Actual            2013–14,11423.0
Education Property Tax2,Actual            2013–14,5457.0
Employer Health Tax,Actual            2013–14,5283.0
Ontario Health Premium,Actual            2013–14,3128.0
Gasoline Tax,Actual            2013–14,2363.0
Land Transfer Tax,Actual            2013–14,1614.0
Tobacco Tax,Actual            2013–14,1110.0
Fuel Tax,Actual            2013–14,718.0
Beer and Wine Tax,Actual            2013–14,557.0
Electricity Payments-In-Lieu of Taxes,Actual            2013–14,543.0
Other Taxes,Actual            2013–14,360.0
Total,Actual            2013–14,79966.0
Government of Canada,Actual            2013–14,
Canada Health Transfer,Actual            2013–14,11940.0
Canada Social Transfer,Actual            2013–14,4689.0
Equalization,Actual            2013–14,3169.0
Infrastructure Programs,Actual            2013–14,123.0
Labour Market Programs,Actual            2013–14,909.0
Social Housing,Actual            2013–14,474.0
Wait Times Reduction Fund,Actual            2013–14,96.0
Other Federal Payments,Actual            2013–14,877.0
Total,Actual            2013–14,22277.0
Government Business Enterprises,Actual            2013–14,
Ontario Lottery and Gaming Corporation,Actual            2013–14,2009.0
Liquor Control Board of Ontario,Actual            2013–14,1723.0
Ontario Power Generation Inc./Hydro One Inc.,Actual            2013–14,1605.0
Total,Actual            2013–14,5337.0
Other Non-Tax Revenue,Actual            2013–14,
Reimbursements,Actual            2013–14,962.0
Vehicle and Driver Registration Fees,Actual            2013–14,1248.0
Electricity Debt Retirement Charge,Actual            2013–14,954.0
Power Supply Contract Recoveries,Actual            2013–14,1296.0
Sales and Rentals,Actual            2013–14,1160.0
Other Fees and Licences,Actual            2013–14,759.0
Net Reduction of Power Purchase Contract Liability,Actual            2013–14,243.0
Royalties,Actual            2013–14,242.0
Miscellaneous Other Non-Tax Revenue3,Actual            2013–14,1467.0
Total,Actual            2013–14,8331.0
Total Revenue,Actual            2013–14,115911.0
Taxation Revenue,Interim            2014–15,
Personal Income Tax,Interim            2014–15,"29,028"
Sales Tax1,Interim            2014–15,"21,740"
Corporations Tax,Interim            2014–15,"10,148"
Education Property Tax2,Interim            2014–15,"5,632"
Employer Health Tax,Interim            2014–15,"5,430"
Ontario Health Premium,Interim            2014–15,"3,350"
Gasoline Tax,Interim            2014–15,"2,383"
Land Transfer Tax,Interim            2014–15,"1,758"
Tobacco Tax,Interim            2014–15,"1,163"
Fuel Tax,Interim            2014–15,738
Beer and Wine Tax,Interim            2014–15,566
Electricity Payments-In-Lieu of Taxes,Interim            2014–15,209
Other Taxes,Interim            2014–15,509
Total,Interim            2014–15,"82,654"
Government of Canada,Interim            2014–15,
Canada Health Transfer,Interim            2014–15,"12,413"
Canada Social Transfer,Interim            2014–15,"4,847"
Equalization,Interim            2014–15,"1,988"
Infrastructure Programs,Interim            2014–15,149
Labour Market Programs,Interim            2014–15,909
Social Housing,Interim            2014–15,458
Wait Times Reduction Fund,Interim            2014–15,–
Other Federal Payments,Interim            2014–15,949
Total,Interim            2014–15,"21,713"
Government Business Enterprises,Interim            2014–15,
Ontario Lottery and Gaming Corporation,Interim            2014–15,"1,935"
Liquor Control Board of Ontario,Interim            2014–15,"1,811"
Ontario Power Generation Inc./Hydro One Inc.,Interim            2014–15,"1,565"
Total,Interim            2014–15,"5,311"
Other Non-Tax Revenue,Interim            2014–15,
Reimbursements,Interim            2014–15,989
Vehicle and Driver Registration Fees,Interim            2014–15,"1,442"
Electricity Debt Retirement Charge,Interim            2014–15,948
Power Supply Contract Recoveries,Interim            2014–15,920
Sales and Rentals,Interim            2014–15,"2,260"
Other Fees and Licences,Interim            2014–15,914
Net Reduction of Power Purchase Contract Liability,Interim            2014–15,217
Royalties,Interim            2014–15,248
Miscellaneous Other Non-Tax Revenue3,Interim            2014–15,901
Total,Interim            2014–15,"8,839"
Total Revenue,Interim            2014–15,"118,517"
Taxation Revenue,Plan            2015–16,
Personal Income Tax,Plan            2015–16,"30,377"
Sales Tax1,Plan            2015–16,"22,982"
Corporations Tax,Plan            2015–16,"11,342"
Education Property Tax2,Plan            2015–16,"5,715"
Employer Health Tax,Plan            2015–16,"5,680"
Ontario Health Premium,Plan            2015–16,"3,458"
Gasoline Tax,Plan            2015–16,"2,457"
Land Transfer Tax,Plan            2015–16,"1,782"
Tobacco Tax,Plan            2015–16,"1,262"
Fuel Tax,Plan            2015–16,752
Beer and Wine Tax,Plan            2015–16,575
Electricity Payments-In-Lieu of Taxes,Plan            2015–16,524
Other Taxes,Plan            2015–16,491
Total,Plan            2015–16,"87,397"
Government of Canada,Plan            2015–16,
Canada Health Transfer,Plan            2015–16,"13,065"
Canada Social Transfer,Plan            2015–16,"4,976"
Equalization,Plan            2015–16,"2,363"
Infrastructure Programs,Plan            2015–16,308
Labour Market Programs,Plan            2015–16,914
Social Housing,Plan            2015–16,448
Wait Times Reduction Fund,Plan            2015–16,–
Other Federal Payments,Plan            2015–16,816
Total,Plan            2015–16,"22,890"
Government Business Enterprises,Plan            2015–16,
Ontario Lottery and Gaming Corporation,Plan            2015–16,"1,920"
Liquor Control Board of Ontario,Plan            2015–16,"1,880"
Ontario Power Generation Inc./Hydro One Inc.,Plan            2015–16,"1,012"
Total,Plan            2015–16,"4,812"
Other Non-Tax Revenue,Plan            2015–16,
Reimbursements,Plan            2015–16,980
Vehicle and Driver Registration Fees,Plan            2015–16,"1,592"
Electricity Debt Retirement Charge,Plan            2015–16,865
Power Supply Contract Recoveries,Plan            2015–16,793
Sales and Rentals,Plan            2015–16,"2,803"
Other Fees and Licences,Plan            2015–16,979
Net Reduction of Power Purchase Contract Liability,Plan            2015–16,172
Royalties,Plan            2015–16,262
Miscellaneous Other Non-Tax Revenue3,Plan            2015–16,845
Total,Plan            2015–16,"9,291"
Total Revenue,Plan            2015–16,"124,390"
