2018 Category,variable,value
Accessibility Directorate of Ontario (Total),2021 Category,Seniors and Accessibility
Advanced Education and Skills Development (Total),2021 Category,Education
"Agriculture, Food and Rural Affairs (Base)",2021 Category,"Agriculture, Food and Rural Affairs (Base)"
"Agriculture, Food and Rural Affairs",2021 Category,"Agriculture, Food and Rural Affairs"
"Agriculture, Food and Rural Affairs (Total)",2021 Category,"Agriculture, Food and Rural Affairs (Total)"
Attorney General (Total),2021 Category,Attorney General (Total)
Board of Internal Economy (Total),2021 Category,Board of Internal Economy (Total)
Children and Youth Services (Total),2021 Category,"Children, Community and Social Services    (Total)"
Citizenship and Immigration (Total),2021 Category,Other
"Children, Community and Social Services(Base)",2021 Category,"Children, Community and Social Services    (Base)"
"Children, Community and Social Services",2021 Category,"Children, Community and Social Services"
"Children, Community and Social Services(Total)",2021 Category,"Children, Community and Social Services    (Total)"
Community Safety and Correctional Services (Base),2021 Category,Other
Community Safety and Correctional Services,2021 Category,Other
Community Safety and Correctional Services (Total),2021 Category,Other
"Economic Development, Job Creation and Trade (Total)",2021 Category,"Economic Development, Job Creation and Trade    (Total)"
Education (Base),2021 Category,Education (Base)
Education,2021 Category,Education
Education (Total),2021 Category,Education (Total)
"Energy, Northern Development and Mines (Base)",2021 Category,"Energy, Northern Development and Mines    (Base)13"
"Energy, Northern Development and Mines",2021 Category,"Energy, Northern Development and Mines"
"Energy, Northern Development and Mines (Total)",2021 Category,"Energy, Northern Development and Mines    (Total)"
"Environment, Conservation and Parks",2021 Category,"Environment, Conservation and Parks"
Executive Offices (Base),2021 Category,Executive Offices (Base)
Executive Offices,2021 Category,Executive Offices
Executive Offices (Total),2021 Category,Executive Offices (Total)
Finance (Base),2021 Category,Finance    (Base)
Finance,2021 Category,Finance
Finance (Total),2021 Category,Finance    (Total)
Francophone Affairs (Total),2021 Category,Francophone Affairs (Total)
Government and Consumer Services (Total),2021 Category,Government    and Consumer Services (Total)
Health and Long-Term Care (Total),2021 Category,Health (Total)20
Indigenous Affairs (Base),2021 Category,Indigenous Affairs (Base)
Indigenous Affairs,2021 Category,Indigenous Affairs
Indigenous Affairs (Total),2021 Category,Indigenous Affairs (Total)
Infrastructure (Base),2021 Category,Infrastructure    (Base)
Infrastructure,2021 Category,Infrastructure
Infrastructure (Total),2021 Category,Infrastructure    (Total)
International Trade (Total),2021 Category,Other
"Labour, Training and Skills Development (Total)",2021 Category,"Labour, Training and Skills Development    (Total)"
Municipal Affairs/Housing (Base),2021 Category,Municipal Affairs and Housing (Base)
Municipal Affairs/Housing,2021 Category,Municipal Affairs and Housing
Municipal Affairs/Housing (Total),2021 Category,Municipal Affairs and Housing (Total)
Natural Resources and Forestry (Base),2021 Category,Natural Resources and Forestry (Base)
Emergency Forest Firefighting,2021 Category,Natural Resources and Forestry
Natural Resources and Forestry (Total),2021 Category,Natural Resources and Forestry (Total)
Northern Development and Mines (Total),2021 Category,"Energy, Northern Development and Mines    (Total)"
Seniors Affairs (Total),2021 Category,Seniors and Accessibility (Total)
Status of Women (Total),2021 Category,Other
"Heritage, Sport, Tourism and Culture Industries (Base)",2021 Category,"Heritage,    Sport, Tourism and Culture Industries (Base)"
"Heritage, Sport, Tourism and Culture Industries",2021 Category,"Heritage,    Sport, Tourism and Culture Industries"
"Heritage, Sport, Tourism and Culture Industries (Total)",2021 Category,"Heritage,    Sport, Tourism and Culture Industries (Total)"
Transportation (Base),2021 Category,Transportation (Base)
Transportation,2021 Category,Transportation
Transportation (Total),2021 Category,Transportation (Total)
Treasury Board Secretariat (Base),2021 Category,Treasury Board Secretariat (Base)
Treasury Board Secretariat,2021 Category,Treasury Board Secretariat
Treasury Board Secretariat (Total),2021 Category,Treasury Board Secretariat (Total)
Interest on Debt1,2021 Category,Interest on Debt39
Year-End Savings2,2021 Category,Other
PRRT Savings,2021 Category,Other
Total Expense,2021 Category,Total Expense
