Category,Subcategory,variable,value
"Agriculture, Food and Rural Affairs (Base)",,Actual 2016–17,1031
"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,Actual 2016–17,0
"Agriculture, Food and Rural Affairs (Total)",,Actual 2016–17,1031
Attorney General (Total),,Actual 2016–17,1937
Board of Internal Economy (Total),,Actual 2016–17,219
"Children, Community and Social Services (Total)",,Actual 2016–17,15789
"Economic Development, Job Creation and Trade (Total)",,Actual 2016–17,1025
Education (Base),,Actual 2016–17,26580
Education, Teachers’ Pension Plan3,Actual 2016–17,987
Education (Total),,Actual 2016–17,27567
"Energy, Northern Development and Mines (Base)",,Actual 2016–17,1300
"Energy, Northern Development and Mines", Electricity Cost Relief Programs,Actual 2016–17,426
"Energy, Northern Development and Mines (Total)",,Actual 2016–17,1726
"Environment, Conservation and Parks (Base)",,Actual 2016–17,652
"Environment, Conservation and Parks", Time-Limited Investments,Actual 2016–17,0
"Environment, Conservation and Parks (Total)",,Actual 2016–17,652
Executive Offices (Total),,Actual 2016–17,45
Finance (Base),,Actual 2016–17,862
Finance, Ontario Municipal Partnership Fund,Actual 2016–17,505
Finance, Power Supply Contract Costs,Actual 2016–17,838
Finance (Total),,Actual 2016–17,2205
Francophone Affairs (Total),,Actual 2016–17,5
Government and Consumer Services (Total),,Actual 2016–17,716
Health and Long-Term Care (Total),,Actual 2016–17,56293
Indigenous Affairs (Base),,Actual 2016–17,88
Indigenous Affairs, One-Time Investments including Settlements4,Actual 2016–17,40
Indigenous Affairs (Total),,Actual 2016–17,128
Infrastructure (Base),,Actual 2016–17,90
Infrastructure, Federal–Provincial Infrastructure Programs,Actual 2016–17,8
Infrastructure (Total),,Actual 2016–17,97
"Labour, Training and Skills Development14 (Total)",,Actual 2016–17,308
Municipal Affairs and Housing (Base),,Actual 2016–17,978
Municipal Affairs and Housing, Time-Limited Investments,Actual 2016–17,565
Municipal Affairs and Housing (Total),,Actual 2016–17,1544
Natural Resources and Forestry (Base),,Actual 2016–17,622
Natural Resources and Forestry, Emergency Forest Firefighting,Actual 2016–17,107
Natural Resources and Forestry (Total),,Actual 2016–17,729
Seniors and Accessibility (Total),,Actual 2016–17,38
Solicitor General (Total),,Actual 2016–17,2683
"Tourism, Culture and Sport (Base)",,Actual 2016–17,1465
"Tourism, Culture and Sport", Time-Limited Funding: Ontario 150 and Pan/Parapan American Games,Actual 2016–17,96
"Tourism, Culture and Sport (Total)",,Actual 2016–17,1561
"Training, Colleges and Universities (Base)",,Actual 2016–17,9000
"Training, Colleges and Universities", Student Financial Assistance,Actual 2016–17,1048
"Training, Colleges and Universities", Time-Limited Infrastructure Funding under the Strategic Investment Fund,Actual 2016–17,200
"Training, Colleges and Universities (Total)",,Actual 2016–17,10248
Transportation (Base),,Actual 2016–17,3644
Transportation, Federal–Provincial Infrastructure Programs,Actual 2016–17,0
Transportation (Total),,Actual 2016–17,3644
Treasury Board Secretariat (Base),,Actual 2016–17,189
Treasury Board Secretariat, Employee and Pensioner Benefits5,Actual 2016–17,1082
Treasury Board Secretariat, Operating Contingency Fund,Actual 2016–17,0
Treasury Board Secretariat, Capital Contingency Fund,Actual 2016–17,0
Treasury Board Secretariat (Total),,Actual 2016–17,1271
Interest on Debt6,,Actual 2016–17,11709
Year-End Savings,,Actual 2016–17,0
Total Expense,,Actual 2016–17,143169
"Agriculture, Food and Rural Affairs (Base)",,Actual 2017–18,904
"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,Actual 2017–18,102
"Agriculture, Food and Rural Affairs (Total)",,Actual 2017–18,1006
Attorney General (Total),,Actual 2017–18,2041
Board of Internal Economy (Total),,Actual 2017–18,303
"Children, Community and Social Services (Total)",,Actual 2017–18,16416
"Economic Development, Job Creation and Trade (Total)",,Actual 2017–18,1005
Education (Base),,Actual 2017–18,27299
Education, Teachers’ Pension Plan3,Actual 2017–18,1659
Education (Total),,Actual 2017–18,28958
"Energy, Northern Development and Mines (Base)",,Actual 2017–18,1387
"Energy, Northern Development and Mines", Electricity Cost Relief Programs,Actual 2017–18,2834
"Energy, Northern Development and Mines (Total)",,Actual 2017–18,4221
"Environment, Conservation and Parks (Base)",,Actual 2017–18,764
"Environment, Conservation and Parks", Time-Limited Investments,Actual 2017–18,145
"Environment, Conservation and Parks (Total)",,Actual 2017–18,909
Executive Offices (Total),,Actual 2017–18,48
Finance (Base),,Actual 2017–18,870
Finance, Ontario Municipal Partnership Fund,Actual 2017–18,506
Finance, Power Supply Contract Costs,Actual 2017–18,191
Finance (Total),,Actual 2017–18,1567
Francophone Affairs (Total),,Actual 2017–18,6
Government and Consumer Services (Total),,Actual 2017–18,795
Health and Long-Term Care (Total),,Actual 2017–18,59260
Indigenous Affairs (Base),,Actual 2017–18,88
Indigenous Affairs, One-Time Investments including Settlements4,Actual 2017–18,1122
Indigenous Affairs (Total),,Actual 2017–18,1210
Infrastructure (Base),,Actual 2017–18,71
Infrastructure, Federal–Provincial Infrastructure Programs,Actual 2017–18,248
Infrastructure (Total),,Actual 2017–18,320
"Labour, Training and Skills Development14 (Total)",,Actual 2017–18,317
Municipal Affairs and Housing (Base),,Actual 2017–18,1041
Municipal Affairs and Housing, Time-Limited Investments,Actual 2017–18,334
Municipal Affairs and Housing (Total),,Actual 2017–18,1375
Natural Resources and Forestry (Base),,Actual 2017–18,664
Natural Resources and Forestry, Emergency Forest Firefighting,Actual 2017–18,117
Natural Resources and Forestry (Total),,Actual 2017–18,781
Seniors and Accessibility (Total),,Actual 2017–18,48
Solicitor General (Total),,Actual 2017–18,2792
"Tourism, Culture and Sport (Base)",,Actual 2017–18,1585
"Tourism, Culture and Sport", Time-Limited Funding: Ontario 150 and Pan/Parapan American Games,Actual 2017–18,6
"Tourism, Culture and Sport (Total)",,Actual 2017–18,1590
"Training, Colleges and Universities (Base)",,Actual 2017–18,9372
"Training, Colleges and Universities", Student Financial Assistance,Actual 2017–18,1663
"Training, Colleges and Universities", Time-Limited Infrastructure Funding under the Strategic Investment Fund,Actual 2017–18,209
"Training, Colleges and Universities (Total)",,Actual 2017–18,11244
Transportation (Base),,Actual 2017–18,4118
Transportation, Federal–Provincial Infrastructure Programs,Actual 2017–18,404
Transportation (Total),,Actual 2017–18,4522
Treasury Board Secretariat (Base),,Actual 2017–18,189
Treasury Board Secretariat, Employee and Pensioner Benefits5,Actual 2017–18,1442
Treasury Board Secretariat, Operating Contingency Fund,Actual 2017–18,0
Treasury Board Secretariat, Capital Contingency Fund,Actual 2017–18,0
Treasury Board Secretariat (Total),,Actual 2017–18,1631
Interest on Debt6,,Actual 2017–18,11903
Year-End Savings,,Actual 2017–18,0
Total Expense,,Actual 2017–18,154266
"Agriculture, Food and Rural Affairs (Base)",,Interim22018–19,1065
"Agriculture, Food and Rural Affairs", Time-Limited Investments in Infrastructure,Interim22018–19,97
"Agriculture, Food and Rural Affairs (Total)",,Interim22018–19,1162
Attorney General (Total),,Interim22018–19,2088
Board of Internal Economy (Total),,Interim22018–19,395
"Children, Community and Social Services (Total)",,Interim22018–19,17042
"Economic Development, Job Creation and Trade (Total)",,Interim22018–19,968
Education (Base),,Interim22018–19,29080
Education, Teachers’ Pension Plan3,Interim22018–19,1677
Education (Total),,Interim22018–19,30757
"Energy, Northern Development and Mines (Base)",,Interim22018–19,1458
"Energy, Northern Development and Mines", Electricity Cost Relief Programs,Interim22018–19,4293
"Energy, Northern Development and Mines (Total)",,Interim22018–19,5751
"Environment, Conservation and Parks (Base)",,Interim22018–19,688
"Environment, Conservation and Parks", Time-Limited Investments,Interim22018–19,295
"Environment, Conservation and Parks (Total)",,Interim22018–19,983
Executive Offices (Total),,Interim22018–19,45
Finance (Base),,Interim22018–19,915
Finance, Ontario Municipal Partnership Fund,Interim22018–19,510
Finance, Power Supply Contract Costs,Interim22018–19,183
Finance (Total),,Interim22018–19,1608
Francophone Affairs (Total),,Interim22018–19,6
Government and Consumer Services (Total),,Interim22018–19,714
Health and Long-Term Care (Total),,Interim22018–19,62158
Indigenous Affairs (Base),,Interim22018–19,81
Indigenous Affairs, One-Time Investments including Settlements4,Interim22018–19,65
Indigenous Affairs (Total),,Interim22018–19,146
Infrastructure (Base),,Interim22018–19,108
Infrastructure, Federal–Provincial Infrastructure Programs,Interim22018–19,344
Infrastructure (Total),,Interim22018–19,453
"Labour, Training and Skills Development14 (Total)",,Interim22018–19,319
Municipal Affairs and Housing (Base),,Interim22018–19,850
Municipal Affairs and Housing, Time-Limited Investments,Interim22018–19,635
Municipal Affairs and Housing (Total),,Interim22018–19,1484
