Item,variable,value
Other Non-Tax Revenue — Reimbursements,2013–14,962
Other Non-Tax Revenue — Vehicle and Driver Registration    Fees,2013–14,1248
Other Non-Tax Revenue — Electricity Debt Retirement    Charge,2013–14,954
Other Non-Tax Revenue — Power Supply Contract Recoveries,2013–14,1296
Other Non-Tax Revenue — Sales and Rentals,2013–14,1160
Other Non-Tax Revenue — Cap-and-Trade Proceeds,2013–14,0
Other Non-Tax Revenue — Other Fees and Licences,2013–14,759
Other Non-Tax Revenue — Net Reduction of Power Purchase    Contract Liability,2013–14,243
Other Non-Tax Revenue — Royalties,2013–14,242
Other Non-Tax Revenue — Miscellaneous Other Non-Tax    Revenue3,2013–14,1467
Total Other Non-Tax Revenue,2013–14,8331
Other Non-Tax Revenue — Reimbursements,Actual 2014–15,985
Other Non-Tax Revenue — Vehicle and Driver Registration    Fees,Actual 2014–15,1433
Other Non-Tax Revenue — Electricity Debt Retirement    Charge,Actual 2014–15,956
Other Non-Tax Revenue — Power Supply Contract Recoveries,Actual 2014–15,950
Other Non-Tax Revenue — Sales and Rentals,Actual 2014–15,2336
Other Non-Tax Revenue — Cap-and-Trade Proceeds,Actual 2014–15,0
Other Non-Tax Revenue — Other Fees and Licences,Actual 2014–15,693
Other Non-Tax Revenue — Net Reduction of Power Purchase    Contract Liability,Actual 2014–15,217
Other Non-Tax Revenue — Royalties,Actual 2014–15,275
Other Non-Tax Revenue — Miscellaneous Other Non-Tax    Revenue3,Actual 2014–15,1196
Total Other Non-Tax Revenue,Actual 2014–15,9041
Other Non-Tax Revenue — Reimbursements,Interim 2015–16,979
Other Non-Tax Revenue — Vehicle and Driver Registration    Fees,Interim 2015–16,1592
Other Non-Tax Revenue — Electricity Debt Retirement    Charge,Interim 2015–16,868
Other Non-Tax Revenue — Power Supply Contract Recoveries,Interim 2015–16,784
Other Non-Tax Revenue — Sales and Rentals,Interim 2015–16,2174
Other Non-Tax Revenue — Cap-and-Trade Proceeds,Interim 2015–16,0
Other Non-Tax Revenue — Other Fees and Licences,Interim 2015–16,940
Other Non-Tax Revenue — Net Reduction of Power Purchase    Contract Liability,Interim 2015–16,172
Other Non-Tax Revenue — Royalties,Interim 2015–16,271
Other Non-Tax Revenue — Miscellaneous Other Non-Tax    Revenue3,Interim 2015–16,781
Total Other Non-Tax Revenue,Interim 2015–16,8561
Other Non-Tax Revenue — Reimbursements,Plan 2016–17,983
Other Non-Tax Revenue — Vehicle and Driver Registration    Fees,Plan 2016–17,1751
Other Non-Tax Revenue — Electricity Debt Retirement    Charge,Plan 2016–17,625
Other Non-Tax Revenue — Power Supply Contract Recoveries,Plan 2016–17,643
Other Non-Tax Revenue — Sales and Rentals,Plan 2016–17,2421
Other Non-Tax Revenue — Cap-and-Trade Proceeds,Plan 2016–17,478
Other Non-Tax Revenue — Other Fees and Licences,Plan 2016–17,987
Other Non-Tax Revenue — Net Reduction of Power Purchase    Contract Liability,Plan 2016–17,129
Other Non-Tax Revenue — Royalties,Plan 2016–17,287
Other Non-Tax Revenue — Miscellaneous Other Non-Tax    Revenue3,Plan 2016–17,795
Total Other Non-Tax Revenue,Plan 2016–17,9099
