BRIDGE_FLUGBEWEGUNG_POSITION.dss_create_time,BRIDGE_FLUGBEWEGUNG_POSITION.dss_update_time,BRIDGE_FLUGBEWEGUNG_POSITION.FACT_FLUGBEWEGUNG_SK,BRIDGE_FLUGBEWEGUNG_POSITION.FACT_POSITION_SK,BRIDGE_FLUGBEWEGUNG_POSITION.FlugbewegungsnummerFirstLeg,BRIDGE_FLUGBEWEGUNG_POSITION.FlugbewegungsnummerLastLeg,BRIDGE_FLUGBEWEGUNG_POSITION.LegTyp
2018-10-17 14:54:39.000,2018-11-02 05:45:52.000,650846,317815,662619.0,663029.0,
2018-10-17 14:54:55.000,2018-11-02 05:45:47.000,487145,243336,472218.0,472223.0,
2018-10-17 14:54:34.000,2018-11-02 05:45:34.000,60434,17220,55317.0,55326.0,
2018-10-17 14:54:58.000,2018-11-02 05:45:36.000,678049,318660,715592.0,715594.0,LastLeg
2018-10-17 14:54:43.000,2018-11-02 05:45:36.000,176411,87065,178728.0,178730.0,LastLeg
2018-10-17 14:54:36.000,2018-11-02 05:45:30.000,45581,29672,43459.0,43461.0,FirstLeg
2018-10-17 14:54:48.000,2018-11-02 05:45:39.000,327389,105694,307038.0,307108.0,LastLeg
2018-10-17 14:54:48.000,2018-11-02 05:45:36.000,265696,88836,282299.0,282302.0,FirstLeg
2018-10-17 14:54:55.000,2018-11-02 05:45:51.000,571420,271852,595697.0,595699.0,FirstLeg
2018-10-17 14:55:06.000,2018-11-02 05:45:49.000,432282,201434,491365.0,491369.0,FirstLeg
2018-10-17 14:54:47.000,2018-11-02 05:45:36.000,300760,151613,263783.0,263785.0,FirstLeg
2018-10-17 14:54:41.000,2018-11-02 05:45:36.000,114795,54652,166623.0,166625.0,LastLeg
2018-10-17 14:54:37.000,2018-11-02 05:45:32.000,55627,910,69781.0,69783.0,
2018-10-17 14:54:57.000,2018-11-02 05:45:49.000,541895,300038,565508.0,565511.0,
2018-10-17 14:54:59.000,2018-11-02 05:45:43.000,357514,132014,378691.0,378693.0,
2018-10-17 14:55:04.000,2018-11-02 05:45:47.000,694860,313636,696401.0,696404.0,LastLeg
2018-10-17 14:54:51.000,2018-11-02 05:45:51.000,634104,285015,623257.0,623259.0,FirstLeg
2018-10-17 14:54:55.000,2018-11-02 05:45:48.000,571989,215754,571249.0,571251.0,
2018-10-17 14:54:37.000,2018-11-02 05:45:32.000,92943,59620,104469.0,104471.0,LastLeg
2018-10-17 14:54:38.000,2018-11-02 05:45:44.000,644901,260660,641785.0,641787.0,LastLeg
2018-10-17 14:54:37.000,2018-11-02 05:45:31.000,15868,52472,20014.0,20017.0,
