Code_Type_Client,Libelle_Type_Client
"EURL","Entreprise individuelle ou unipersonnelle à responsabilité limitée"
"SARL","Société à Responsabilité Limitée"
"SNC","Société en Nom Collectif"
"SA","Société Anonyme"
"SCS","Société en Commandité Simple"
"SCA","Société en Commandite par Action"
"GIE","Groupement d'Intérêt Economique"
"SELARL","La société d'exercice libéral à responsabilité limitée"
"SAS","La société par actions simplifiée"
"SASU","La société par actions simplifiée unipersonnelle"
"SCP","La société civile professionnelle"
"AUTO","L'auto entrepreneur"
"MICRO","La micro entreprise"
