Code_Adresse,Code postal,Ville,Cle_departement
"AD0001","01500","AMBERIEU-EN-BUGEY","CD1CP67"
"AD0002","01100","OYONNAX","CD1CP67"
"AD0003","01200","BELLEGARDE-SUR-VALSERINE","CD1CP67"
"AD0004","01000","BOURG-EN-BRESSE","CD1CP67"
"AD0005","01170","GEX","CD1CP67"
"AD0006","02200","SOISSONS","CD2CP67"
"AD0007","02300","CHAUNY","CD2CP67"
"AD0008","02000","LAON","CD2CP67"
"AD0009","02700","TERGNIER","CD2CP67"
"AD0010","02400","CHATEAU-THIERRY","CD2CP67"
"AD0011","02100","SAINT-QUENTIN","CD2CP67"
"AD0012","02600","VILLERS-COTTERETS","CD2CP67"
"AD0013","03400","YZEURE","CD3CP67"
"AD0014","03100","MONTLUCON","CD3CP67"
"AD0015","03200","VICHY","CD3CP67"
"AD0016","03300","CUSSET","CD3CP67"
"AD0017","03000","MOULINS","CD3CP67"
"AD0018","04100","MANOSQUE","CD4CP67"
"AD0019","04000","DIGNE-LES-BAINS","CD4CP67"
"AD0020","05000","GAP","CD5CP67"
"AD0021","05100","BRIANCON","CD5CP67"
"AD0022","06140","VENCE","CD6CP67"
"AD0023","06130","GRASSE","CD6CP67"
"AD0024","06240","BEAUSOLEIL","CD6CP67"
"AD0025","06560","VALBONNE","CD6CP67"
"AD0026","06220","VALLAURIS","CD6CP67"
"AD0027","06370","MOUANS-SARTOUX","CD6CP67"
"AD0028","06160","ANTIBES","CD6CP67"
"AD0029","06150","CANNES","CD6CP67"
"AD0030","06270","VILLENEUVE-LOUBET","CD6CP67"
"AD0031","06250","MOUGINS","CD6CP67"
"AD0032","06110","LE CANNET","CD6CP67"
"AD0033","06510","CARROS","CD6CP67"
"AD0034","06340","LA TRINITE","CD6CP67"
"AD0035","06800","CAGNES-SUR-MER","CD6CP67"
"AD0036","06500","MENTON","CD6CP67"
"AD0037","06700","SAINT-LAURENT-DU-VAR","CD6CP67"
"AD0038","06000","NICE","CD6CP67"
"AD0039","06190","ROQUEBRUNE-CAP-MARTIN","CD6CP67"
"AD0040","06210","MANDELIEU-LA-NAPOULE","CD6CP67"
"AD0041","07500","GUILHERAND-GRANGES","CD7CP67"
"AD0042","07300","TOURNON-SUR-RHONE","CD7CP67"
