Project,Task,Start,End,Is Milestone,Duration
Project 2,Task 3,2020-06-01 00:00:00.000,2020-06-30 00:00:00.000,No,29
Project 2,Task 8,2023-08-01 00:00:00.000,2023-12-31 00:00:00.000,No,152
Project 2,Task 4,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,Yes,91
Project 3,Task 5,2020-10-01 00:00:00.000,2021-10-30 00:00:00.000,No,394
Project 1,Task 1,2019-01-01 00:00:00.000,2019-03-31 00:00:00.000,No,89
Project 2,Task 6,2021-11-01 00:00:00.000,2022-12-31 00:00:00.000,No,425
Project 2,Task 11,2026-04-01 00:00:00.000,2026-04-30 00:00:00.000,No,29
Project 3,Task 1,2019-01-01 00:00:00.000,2019-03-31 00:00:00.000,No,89
Project 2,Task 7,2023-01-01 00:00:00.000,2023-07-31 00:00:00.000,Yes,211
Project 3,Task 8,2023-08-01 00:00:00.000,2023-12-31 00:00:00.000,No,152
Project 1,Task 2,2019-04-01 00:00:00.000,2020-05-31 00:00:00.000,Yes,426
Project 1,Task 5,2020-10-01 00:00:00.000,2021-10-30 00:00:00.000,No,394
Project 1,Task 6,2021-11-01 00:00:00.000,2022-12-31 00:00:00.000,No,425
Project 1,Task 3,2020-06-01 00:00:00.000,2020-06-30 00:00:00.000,No,29
Project 2,Task 10,2026-01-01 00:00:00.000,2026-03-31 00:00:00.000,No,89
Project 3,Task 6,2021-11-01 00:00:00.000,2022-12-31 00:00:00.000,No,425
Project 1,Task 4,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,Yes,91
Project 3,Task 9,2024-01-01 00:00:00.000,2025-12-31 00:00:00.000,Yes,730
Project 3,Task 7,2023-01-01 00:00:00.000,2023-07-31 00:00:00.000,Yes,211
Project 3,Task 2,2019-04-01 00:00:00.000,2020-05-31 00:00:00.000,Yes,426
Project 3,Task 10,2026-01-01 00:00:00.000,2026-03-31 00:00:00.000,No,89
Project 3,Task 4,2020-07-01 00:00:00.000,2020-09-30 00:00:00.000,No,91
Project 2,Task 2,2019-04-01 00:00:00.000,2020-05-31 00:00:00.000,No,426
Project 2,Task 5,2020-10-01 00:00:00.000,2021-10-30 00:00:00.000,No,394
Project 2,Task 9,2024-01-01 00:00:00.000,2025-12-31 00:00:00.000,Yes,730
Project 3,Task 3,2020-06-01 00:00:00.000,2020-06-30 00:00:00.000,Yes,29
Project 2,Task 1,2019-01-01 00:00:00.000,2019-03-31 00:00:00.000,Yes,89
